自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,アルト,HA36S,2014/12～,4WD専用,660,NA,,Fr：-15～-25mm<br>Rr：-25～-35mm,15843,,265966,HA36S4WDFK-qq-e-f1-11k,HA36S4WDFK-qq-e-d-11k,4511478257200,HA36S4WDFK,TANABE,FUNTORIDE,1台分,2.1/1.5,純正バンプカット不要,S,,,26000,31200,,
スズキ,アルト,HA36S,2014/12～,FF専用,660,NA,,Fr：-20～-30mm<br>Rr：-20～-30mm,15843,,265967,HA36SFK-qq-e-f1-12k,HA36SFK-qq-e-d-12k,4511478257309,HA36SFK,TANABE,FUNTORIDE,1台分,2.0/2.1,純正バンプカット不要,F,,,26000,31200,,
スズキ,アルトターボRS,HA36S,2015/03～,FF専用,660,ターボ,,Fr：-25～-35mm<br>Rr：-30～-40mm,15843,,265968,HA36SFK-qq-e-f1-13k,HA36SFK-qq-e-d-13k,4511478257309,HA36SFK,TANABE,FUNTORIDE,1台分,2.0/2.1,純正バンプカット不要,ベースグレード,,,26000,31200,,
スズキ,アルトワークス,HA36S,2015/12～,4WD専用,660,ターボ,,Fr：-25～-35mm<br>Rr：-25～-35mm,15843,,265964,HA36S4WDFK-qq-e-f1-14k,HA36S4WDFK-qq-e-d-14k,4511478257200,HA36S4WDFK,TANABE,FUNTORIDE,1台分,2.1/1.5,純正バンプカット不要,ベースグレード,,,26000,31200,,
スズキ,アルトワークス,HA36S,2015/12～,FF専用,660,ターボ,,Fr：-25～-35mm<br>Rr：-25～-35mm,15843,,265965,HA36SFK-qq-e-f1-15k,HA36SFK-qq-e-d-15k,4511478257309,HA36SFK,TANABE,FUNTORIDE,1台分,2.0/2.1,純正バンプカット不要,ベースグレード,,,26000,31200,,
スズキ,スイフト,ZC32S,2011/12～2016/12,FF,1600,NA,,Fr：-20～-30mm<br>Rr：-15～-25mm,18890,,266005,ZC32SFK-qq-e-f1-26k,ZC32SFK-qq-e-d-26k,4511478257408,ZC32SFK,TANABE,FUNTORIDE,1台分,2.3/3.2,純正バンプカット不要,ベースグレード,,,31000,34300,,
スズキ,スイフト,ZC33S,2017/09～,FF,1400,ターボ,,Fr：-20～-30mm<br>Rr：-15～-25mm,18890,,266006,ZC33SFK-qq-e-f1-27k,ZC33SFK-qq-e-d-27k,4511478257316,ZC33SFK,TANABE,FUNTORIDE,1台分,3.2/3.3,15/なし,スポーツ,,バッグフォグ装着車高さ注意,31000,34300,,
スバル,BRZ,ZC6,2012/03～,FR,2000,NA,,Fr：-5～-10mm<br>Rr：-5～-15mm,21272,,266282,ZC6FK-qq-e-f1-3k,ZC6FK-qq-e-d-3k,4511478257354,ZC6FK,TANABE,FUNTORIDE,1台分,3.4/4.3,純正バンプカット不要,S,,フォグランプ高さ注意,35000,36700,,
スバル,BRZ,ZC6,2016/08～,FR,2000,NA,MC後専用,Fr：-15～-25mm<br>Rr：-20～-30mm,21272,,266283,ZN6MCFK-qq-e-f1-4k,ZN6MCFK-qq-e-d-4k,4511478257248,ZN6MCFK,TANABE,FUNTORIDE,1台分,3.0/4.8,20/15,S,,,35000,36700,,
スバル,WRX S4,VAG,2014/08～,4WD,2000,ターボ,ビルシュタインダンパー車,Fr：-15～-25mm<br>Rr：-10～-20mm,21272,,266284,VMGFK-qq-e-f1-9k,VMGFK-qq-e-d-9k,4511478257446,VMGFK,TANABE,FUNTORIDE,1台分,4.7/5.2,なし/10,2.0GT-Sアイサイト,,,35000,39700,,
