自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,MRワゴン,MF21S,2001/12～2004/02,4WD,660,ターボ,1型専用<br>2型装着不可,Fr：-60～-70mm<br>Rr：-25～-35mm,11965,,266093,MF21S4WDDK-qq-e-f1-179,MF21S4WDDK-qq-e-d-179,4511478188061,MF21S4WDDK,TANABE,SUSTEC DF210,1台分,2.3/2.0,純正バンプカット不要,T,,,20000,27200,,
スズキ,MRワゴン,MF21S,2001/12～2004/02,FF,660,ターボ,1型専用<br>2型装着不可,Fr：-45～-55mm<br>Rr：-35～-45mm,11965,,266092,MF21SFFDK-qq-e-f1-174,MF21SFFDK-qq-e-d-174,4511478188054,MF21SFFDK,TANABE,SUSTEC DF210,1台分,2.3/2.0,純正バンプカット不要,T,,,20000,27200,,
スズキ,MRワゴン,MF21S,2004/02～2006/01,FF,660,ターボ,,Fr：-45～-55mm<br>Rr：-45～-55mm,11965,,266094,MF21SMCDK-qq-e-f1-175,MF21SMCDK-qq-e-d-175,4511478189846,MF21SMCDK,TANABE,SUSTEC DF210,1台分,3.1/2.4,純正バンプカット不要,G2型,,,20000,27200,,
スズキ,MRワゴン,MF22S,2006/08～2011/01,FF,660,NA,,Fr：-35～-45mm<br>Rr：-40～-50mm,11965,,266096,MF22SDK-qq-e-f1-177,MF22SDK-qq-e-d-177,4511478189822,MF22SDK,TANABE,SUSTEC DF210,1台分,3.4/2.7,純正バンプカット不要,G,,,20000,27200,,
スズキ,MRワゴン,MF33S,2011/01～2016/03,FF,660,NA,,Fr：-35～-45mm<br>Rr：-45～-55mm,11965,,266097,HE22SDK-qq-e-f1-176,HE22SDK-qq-e-d-176,4511478253943,HE22SDK,TANABE,SUSTEC DF210,1台分,2.7/2.1,純正バンプカット不要,G,,,20000,27200,,
スズキ,MRワゴン,MF33S,2011/01～2016/03,FF,660,ターボ,,Fr：-45～-55mm<br>Rr：-45～-55mm,11965,,266099,HE22SDK-qq-e-f1-178,HE22SDK-qq-e-d-178,4511478253943,HE22SDK,TANABE,SUSTEC DF210,1台分,2.7/2.1,純正バンプカット不要,T,,,20000,27200,,
スズキ,アルト,HA25S,2009/12～2014/12,FF,660,NA,,Fr：-30～-40mm<br>Rr：-35～-45mm,11965,,265956,HE22SDK-qq-e-f1-180,HE22SDK-qq-e-d-180,4511478253943,HE22SDK,TANABE,SUSTEC DF210,1台分,2.7/2.1,純正バンプカット不要,G,,,20000,27200,,
スズキ,アルト,HA25V,2009/12～2014/12,FF,660,NA,,データなし,11965,,265958,HE22SDK-qq-e-f1-181,HE22SDK-qq-e-d-181,4511478253943,HE22SDK,TANABE,SUSTEC DF210,1台分,2.7/2.1,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,20000,27200,,
スズキ,アルトエコ,HA35S,2011/12～2013/02,FF,660,NA,,データなし,11965,,265960,HE22SDK-qq-e-f1-182,HE22SDK-qq-e-d-182,4511478253943,HE22SDK,TANABE,SUSTEC DF210,1台分,2.7/2.1,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,20000,27200,,
スズキ,エブリイ,DA64V,2005/08～2015/02,4WD,660,NA,,Fr：-25～-35mm<br>Rr：-25～-35mm,11965,,265974,DA64WDK-qq-e-f1-183,DA64WDK-qq-e-d-183,4511478189433,DA64WDK,TANABE,SUSTEC DF210,1台分,3.3/3.9,純正バンプカット不要,PU,,,20000,27200,,
スズキ,エブリイ,DA64V,2005/08～2015/02,FR,660,NA,,Fr：-25～-35mm<br>Rr：-35～-45mm,11965,,265981,DA64WDK-qq-e-f1-184,DA64WDK-qq-e-d-184,4511478189433,DA64WDK,TANABE,SUSTEC DF210,1台分,3.4/3.9,純正バンプカット不要,GA,,,20000,27200,,
スズキ,エブリイワゴン,DA64W,2005/08～2015/02,4WD,660,ターボ,,Fr：-35～-45mm<br>Rr：-30～-40mm,11965,,265983,DA64WDK-qq-e-f1-186,DA64WDK-qq-e-d-186,4511478189433,DA64WDK,TANABE,SUSTEC DF210,1台分,3.3/3.9,純正バンプカット不要,PZターボSP,,,20000,27200,,
スズキ,エブリイワゴン,DA64W,2005/08～2015/02,FR,660,ターボ,,Fr：-30～-40mm<br>Rr：-30～-40mm,11965,,265977,DA64WDK-qq-e-f1-185,DA64WDK-qq-e-d-185,4511478189433,DA64WDK,TANABE,SUSTEC DF210,1台分,3.4/3.9,純正バンプカット不要,PZターボ,,,20000,27200,,
スズキ,スイフト,ZC11S,2004/11～2010/09,FF,1300,NA,ZC11S専用<br>ZC21Sは地上高不足の為適合不可,Fr：-40～-50mm<br>Rr：-40～-50mm,14956,,265994,ZC11SDK-qq-e-f1-190,ZC11SDK-qq-e-d-190,4511478250232,ZC11SDK,TANABE,SUSTEC DF210,1台分,3.5/3.5,純正バンプカット不要,1.3XG,,,25000,30300,,
スズキ,スイフト,ZC32S,2011/12～2016/12,FF,1600,NA,,Fr：-30～-40mm<br>Rr：-25～-35mm,14956,,266004,ZC32SDK-qq-e-f1-191,ZC32SDK-qq-e-d-191,4511478254667,ZC32SDK,TANABE,SUSTEC DF210,1台分,2.5/3.2,純正バンプカット不要,ベースグレード,,,25000,30300,,
スズキ,スイフト,ZC71S,2007/05～2010/09,FF,1200,NA,,Fr：-30～-40mm<br>Rr：-30～-40mm,14956,,265993,ZC11SDK-qq-e-f1-192,ZC11SDK-qq-e-d-192,4511478250232,ZC11SDK,TANABE,SUSTEC DF210,1台分,3.6/3.3,純正バンプカット不要,1.2XG,,,25000,30300,,
