自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,MRワゴン,MF21S,2004/02～2006/01,FF,660,ターボ,,Fr：-30～-40mm<br>Rr：-25～-35mm,13760,,266095,MF21SMCNK-qq-e-f1-762,MF21SMCNK-qq-e-d-762,4511478189853,MF21SMCNK,TANABE,SUSTEC NF210,1台分,3.2/2.7,純正バンプカット不要,G2型,,,23000,29100,,
スズキ,MRワゴン,MF33S,2011/01～2016/03,FF,660,NA,,Fr：-20～-30mm<br>Rr：-25～-35mm,13760,,266098,MH23SNK-qq-e-f1-763,MH23SNK-qq-e-d-763,4511478253523,MH23SNK,TANABE,SUSTEC NF210,1台分,2.2/1.9,純正バンプカット不要,G,,,23000,29100,,
スズキ,MRワゴン,MF33S,2011/01～2016/03,FF,660,ターボ,,Fr：-20～-30mm<br>Rr：-30～-40mm,13760,,266100,MH23SNK-qq-e-f1-764,MH23SNK-qq-e-d-764,4511478253523,MH23SNK,TANABE,SUSTEC NF210,1台分,2.2/1.9,純正バンプカット不要,T,,,23000,29100,,
スズキ,アルト,HA25S,2009/12～2014/12,FF,660,NA,,Fr：-15～-25mm<br>Rr：-20～-30mm,13760,,265957,HE22SNK-qq-e-f1-765,HE22SNK-qq-e-d-765,4511478253936,HE22SNK,TANABE,SUSTEC NF210,1台分,2.3/1.9,純正バンプカット不要,G,,,23000,29100,,
スズキ,アルト,HA25V,2009/12～2014/12,FF,660,NA,,データなし,13760,,265959,HE22SNK-qq-e-f1-766,HE22SNK-qq-e-d-766,4511478253936,HE22SNK,TANABE,SUSTEC NF210,1台分,2.3/1.9,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,23000,29100,,
スズキ,アルトエコ,HA35S,2011/12～2013/02,FF,660,NA,,データなし,13760,,265961,HE22SNK-qq-e-f1-767,HE22SNK-qq-e-d-767,4511478253936,HE22SNK,TANABE,SUSTEC NF210,1台分,2.3/1.9,純正バンプカット不要,現車未確認,未計測の為、車高データなし,,23000,29100,,
スズキ,アルトエコ,HA35S,2013/02～2014/12,FF,660,NA,,Fr：-20～-30mm<br>Rr：-15～-25mm,13760,,265963,HA35SMCNK-qq-e-f1-768,HA35SMCNK-qq-e-d-768,4511478255336,HA35SMCNK,TANABE,SUSTEC NF210,1台分,2.2/2.1,純正バンプカット不要,ECO-L(4型),,,23000,29100,,
スズキ,アルトターボRS,HA36S,2015/03～,4WD専用,660,ターボ,,Fr：-20～-30mm<br>Rr：-10～-20mm,13760,,265962,HA36S4WDNK-qq-e-f1-769,HA36S4WDNK-qq-e-d-769,4511478255732,HA36S4WDNK,TANABE,SUSTEC NF210,1台分,1.8/1.2,純正バンプカット不要,ベースグレード,,,23000,29100,,
スズキ,イグニス,FF21S,2016/02～,4WD,1200,NA,,Fr：-25～-35mm<br>Rr：-15～-25mm,16752,,265972,FF21S4WDNK-qq-e-f1-105k,FF21S4WDNK-qq-e-d-105k,4511478256753,FF21S4WDNK,TANABE,SUSTEC NF210,1台分,1.8/2.2,純正バンプカット不要,Fリミテッド,リアスプリング下側端末を車両前方4時～5時方向へ向け装着(純正同等),,28000,32100,,
スズキ,イグニス,FF21S,2016/02～,FF,1200,NA,,Fr：-25～-35mm<br>Rr：-20～-30mm,16752,,265970,FF21SNK-qq-e-f1-770,FF21SNK-qq-e-d-770,4511478256111,FF21SNK,TANABE,SUSTEC NF210,1台分,1.9/1.8,純正バンプカット不要,ハイブリッドMX,,,28000,32100,,
スズキ,エブリイ,DA62W,2001/09～2005/08,FR(4WD装着可),660,ターボ,,Fr：-25～-35mm<br>Rr：-25～-35mm,13760,,265985,DA62WNK-qq-e-f1-772,DA62WNK-qq-e-d-772,4511478186777,DA62WNK,TANABE,SUSTEC NF210,1台分,2.9/3.2,純正バンプカット不要,ジョイポップターボ,,,23000,29100,,
スズキ,エブリイ,DA64V,2005/08～2015/02,4WD,660,NA,,Fr：-10～-20mm<br>Rr：-15～-25mm,13760,,265975,DA64WNK-qq-e-f1-771,DA64WNK-qq-e-d-771,4511478189426,DA64WNK,TANABE,SUSTEC NF210,1台分,2.5/3.1,純正バンプカット不要,PU,,,23000,29100,,
スズキ,エブリイ,DA64V,2005/08～2015/02,FR,660,NA,,Fr：-10～-20mm<br>Rr：-15～-25mm,13760,,265982,DA64WNK-qq-e-f1-773,DA64WNK-qq-e-d-773,4511478189426,DA64WNK,TANABE,SUSTEC NF210,1台分,2.6/3.0,純正バンプカット不要,GA,,,23000,29100,,
