自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,車高調整幅,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,推奨車高 mm(F/R),バネレート kg/mm(F/R),仕様,フロントキャンバー調整,マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,MRワゴン,MF21S,2001/12～2003/09,FF,660,NA,MC後(03/09～)装着不可<br>リアダンパー下側取付幅:32mm車用,Fr：-15～-58mm<br>Rr：-20～-50mm,60346,,264245,CRMF21SK-qq-e-f1-150,CRMF21SK-qq-e-d-150,4511478354077,CRMF21SK,TANABE,SUSTEC PRO CR,-46/-40,4.0/2.0,減衰力固定式<br>ネジ式,,X1型,,,79800,74900,,
スズキ,MRワゴン,MF21S,2003/09～2006/01,FF,660,ターボ,MC後(03/09～)<br>リアダンパー下側取付幅:60mm車用,Fr：-18～-61mm<br>Rr：-37～-61mm,60346,,264246,CRMF21SMCK-qq-e-f1-148,CRMF21SMCK-qq-e-d-148,4511478354084,CRMF21SMCK,TANABE,SUSTEC PRO CR,-49/-50,4.0/3.0,減衰力固定式<br>ネジ式,,G2型,,,79800,74900,,
スズキ,MRワゴン,MF22S,2006/08～2011/01,FF(4WD装着可),660,NA,,Fr：-19～-62mm<br>Rr：-27～-58mm,60346,,264248,CRMH21SMCK-qq-e-f1-149,CRMH21SMCK-qq-e-d-149,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,-37/-38,3.0/3.0,減衰力固定式<br>ネジ式,,X,,,79800,74900,,
スズキ,MRワゴン,MF33S,2011/01～2016/03,FF,660,ターボ,全グレード共通,Fr：-2～-52mm<br>Rr：-35～-63mm,60346,,264247,CRMF33SK-qq-e-f1-151,CRMF33SK-qq-e-d-151,4511478354060,CRMF33SK,TANABE,SUSTEC PRO CR,-28/-35,3.0/2.0,減衰力固定式<br>ネジ式,,T,,,79800,74900,,
スズキ,アルト,HA24S,2004/09～2009/12,FF,660,NA,,データなし,60346,,264538,CRMH21SMCK-qq-e-f1-55k,CRMH21SMCK-qq-e-d-55k,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,アルト,HA24V,2004/09～2009/12,FF,660,NA,,データなし,60346,,264539,CRMH21SMCK-qq-e-f1-56k,CRMH21SMCK-qq-e-d-56k,4511478354213,CRMH21SMCK,TANABE,SUSTEC PRO CR,データなし,3.0/3.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,アルト,HA25S,2009/12～2014/12,FF,660,NA,,データなし,60346,,264540,CRMH23SK-qq-e-f1-57k,CRMH23SK-qq-e-d-57k,4511478354206,CRMH23SK,TANABE,SUSTEC PRO CR,データなし,4.0/2.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,アルト,HA25V,2009/12～2014/12,FF,660,NA,,データなし,60346,,264541,CRMH23SK-qq-e-f1-58k,CRMH23SK-qq-e-d-58k,4511478354206,CRMH23SK,TANABE,SUSTEC PRO CR,データなし,4.0/2.0,減衰力固定式<br>ネジ式,,現車未確認,未計測の為、車高データなし,,79800,74900,,
スズキ,アルト,HA36S,2014/12～,4WD専用,660,NA専用,,Fr：-11～-48mm<br>Rr：-30～-52mm,60346,,264542,CRHA36SNA4WDK-qq-e-f1-59k,CRHA36SNA4WDK-qq-e-d-59k,4511478355739,CRHA36SNA4WDK,TANABE,SUSTEC PRO CR,-42/-48,3.0/3.0,減衰力固定式<br>ネジ式,,S,,,79800,74900,,
スズキ,アルト,HA36S,2014/12～,FF専用,660,NA専用,,Fr：-18～-51mm<br>Rr：-26～-58mm,60346,,264543,CRHA36SNAK-qq-e-f1-60k,CRHA36SNAK-qq-e-d-60k,4511478355722,CRHA36SNAK,TANABE,SUSTEC PRO CR,-34/-42,3.0/3.0,減衰力固定式<br>ネジ式,,F,,,79800,74900,,
