自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,車高調整幅,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,推奨車高 mm(F/R),バネレート kg/mm(F/R),仕様,フロントキャンバー調整,マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,ハスラー,MR31S,2014/01～,4WD専用,660,NA,,Fr：0～-78mm<br>Rr：-41～-65mm,88703,,265008,ZT40MR41S4WDK-qq-e-f1-540k,ZT40MR41S4WDK-qq-e-d-540k,4511478356316,ZT40MR41S4WDK,TANABE,SUSTEC PRO ZT40,-50/-55,3.0/2.0,減衰力調整式<br>全長調整式,,G,リア車高調整スペーサー式<br>リアダンパーはノーマル形状及び14段調整,,118000,103500,,
スズキ,ハスラー,MR41S,2015/05～,FF専用,660,NA,,Fr：0～-65mm<br>Rr：-30～-58mm,88703,,265010,ZT40MR41SK-qq-e-f1-542k,ZT40MR41SK-qq-e-d-542k,4511478356309,ZT40MR41SK,TANABE,SUSTEC PRO ZT40,-35/-45,3.0/2.0,減衰力調整式<br>全長調整式,,G,リア車高調整スペーサー式<br>リアダンパーはノーマル形状及び14段調整,,118000,103500,,
スズキ,ハスラー,MR41S,2015/05～,4WD専用,660,ターボ,,Fr：0～-70mm<br>Rr：-44～-65mm,88703,,265009,ZT40MR41S4WDK-qq-e-f1-541k,ZT40MR41S4WDK-qq-e-d-541k,4511478356316,ZT40MR41S4WDK,TANABE,SUSTEC PRO ZT40,-40/-55,3.0/2.0,減衰力調整式<br>全長調整式,,Jスタイル II,リア車高調整スペーサー式<br>リアダンパーはノーマル形状及び14段調整,,118000,103500,,
スズキ,ランディ,SC25,2007/01～2010/12,FF,2000,NA,,データなし,118397,,265040,ZT40C25K-qq-e-f1-572k,ZT40C25K-qq-e-d-572k,4511478355210,ZT40C25K,TANABE,SUSTEC PRO ZT40,データなし,6.0/6.0,減衰力調整式<br>全長調整式,可,現車未確認,未計測の為、車高データなし<br>フロント/リア共に純正バンプラバー/ダストブーツ使用,,158000,133500,,
スズキ,ランディ,SC26,2010/12～2016/08,FF,2000,NA,,データなし,118397,,265041,ZT40C25K-qq-e-f1-573k,ZT40C25K-qq-e-d-573k,4511478355210,ZT40C25K,TANABE,SUSTEC PRO ZT40,データなし,6.0/6.0,減衰力調整式<br>全長調整式,可,現車未確認,リア内装カバー加工必要<br>未計測の為、車高データなし,,158000,133500,,
スズキ,ワゴンR,MH34S,2012/06～2017/02,4WD,660,ターボ,,Fr：-18～-69mm<br>Rr：-22～-45mm,88703,,265043,ZT40MH34S4WDK-qq-e-f1-575k,ZT40MH34S4WDK-qq-e-d-575k,4511478356422,ZT40MH34S4WDK,TANABE,SUSTEC PRO ZT40,-45/-45,3.0/2.0,減衰力調整式<br>全長調整式,,スティングレーT,リア車高調整スペーサー式<br>リアダンパーはノーマル形状及び14段調整<br>フロント純正アッパーマウント使用,,118000,103500,,
スズキ,ワゴンR,MH34S,2012/09～2017/02,FF,660,NA,,Fr：0～-64mm<br>Rr：-18～-47mm,88703,,265044,ZT40MH44SK-qq-e-f1-576k,ZT40MH44SK-qq-e-d-576k,4511478356415,ZT40MH44SK,TANABE,SUSTEC PRO ZT40,-25～-45/-25～-45,3.0/2.0,減衰力調整式<br>全長調整式,,スティングレーX,リア車高調整スペーサー式<br>リアダンパーはノーマル形状及び14段調整<br>フロント純正アッパーマウント使用,,118000,103500,,
スズキ,ワゴンR,MH44S,2014/08～2017/02,FF,660,ターボ,,Fr：0～-65mm<br>Rr：-20～-48mm,88703,,265045,ZT40MH44SK-qq-e-f1-577k,ZT40MH44SK-qq-e-d-577k,4511478356415,ZT40MH44SK,TANABE,SUSTEC PRO ZT40,-20～-40/-25～-45,3.0/2.0,減衰力調整式<br>全長調整式,,スティングレーT,リア車高調整スペーサー式<br>リアダンパーはノーマル形状及び14段調整<br>フロント純正アッパーマウント使用,,118000,103500,,
スズキ,ワゴンR,MH55S,2017/02～,FF,660,ターボ,,Fr：0～-54mm<br>Rr：-38～-60mm,88703,,265046,ZT40MH55SK-qq-e-f1-578k,ZT40MH55SK-qq-e-d-578k,4511478356224,ZT40MH55SK,TANABE,SUSTEC PRO ZT40,-40/-50,3.0/3.0,減衰力調整式<br>全長調整式,,スティングレイハイブリッドT,リアダンパーはノーマル形状及び14段調整<br>フロント純正アッパーマウント使用,,118000,103500,,
スバル,シフォン,LA600F,2016/12～2019/06,FF,660,NA,,データなし,88703,,264979,ZT40LA600SK-qq-e-f1-509k,ZT40LA600SK-qq-e-d-509k,4511478355425,ZT40LA600SK,TANABE,SUSTEC PRO ZT40,データなし,4.0/3.0,減衰力調整式<br>全長調整式,可,現車未確認,未計測の為、車高データなし<br>リアダンパーはノーマル形状及び14段調整<br>リア純正ダストブーツ/バンプラバー使用,,118000,103500,,
