自動車メーカー,車種,型式,年式,駆動,排気量,過給機,適合詳細,ダウン量,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,バネレート kg/mm(F/R),バンプカット量 (F/R),マッチンググレード,備考,注意事項,定価,SET価格,,取付特記事項
スズキ,イグニス,FF21S,2016/02～,4WD,1200,NA,,Fr：+15～+25mm<br>Rr：+25～+35mm,20319,,265971,FF21S4WDUK-qq-e-f1-23,FF21S4WDUK-qq-e-d-23,4511478256746,FF21S4WDUK,TANABE,DEVIDE UP210,1台分,2.1/2.3,純正バンプカット不要,Fリミテッド,リアスプリング下側端末を車両前方4時～5時方向へ向け装着(純正同等),,34000,35800,,
スズキ,イグニス,FF21S,2016/02～,FF,1200,NA,,Fr：+20～+30mm<br>Rr：+25～+35mm,20319,,265969,FF21SUK-qq-e-f1-1089,FF21SUK-qq-e-d-1089,4511478256135,FF21SUK,TANABE,DEVIDE UP210,1台分,2.1/2.0,純正バンプカット不要,ハイブリッドMX,,,34000,35800,,
スズキ,エブリイ,DA64V,2005/08～2015/02,4WD,660,NA,,Fr：+35～+45mm<br>Rr：+5～+15mm,17349,,265973,DA64WUK-qq-e-f1-1090,DA64WUK-qq-e-d-1090,4511478256142,DA64WUK,TANABE,DEVIDE UP210,1台分,3.0/3.5,純正バンプカット不要,PA,,,29000,32700,,
スズキ,エブリイワゴン,DA17W,2015/02～2019/06,FR,660,ターボ,,Fr：+20～+30mm<br>Rr：+15～+25mm,17349,,265979,DA17WUK-qq-e-f1-1092,DA17WUK-qq-e-d-1092,4511478256081,DA17WUK,TANABE,DEVIDE UP210,1台分,3.5/3.6,純正バンプカット不要,PZターボSP(MC前),,,29000,32700,,
スズキ,エブリイワゴン,DA17W,2019/06～,FR,660,ターボ,,Fr：+30～+40mm<br>Rr：+15～+25mm,17349,,265987,DA17WUK-qq-e-f1-201k,DA17WUK-qq-e-d-201k,4511478256081,DA17WUK,TANABE,DEVIDE UP210,1台分,3.5/3.6,純正バンプカット不要,PZターボSP(MC後),,,29000,32700,,
スズキ,エブリイワゴン,DA64W,2005/08～2015/02,FR(4WD装着可),660,ターボ,,Fr：+20～+30mm<br>Rr：+15～+25mm,17349,,265976,DA64WUK-qq-e-f1-1091,DA64WUK-qq-e-d-1091,4511478256142,DA64WUK,TANABE,DEVIDE UP210,1台分,3.0/3.5,,PZターボ,,,29000,32700,,
スズキ,クロスビー,MN71S,2017/12～,4WD,1000,ハイブリッド,,Fr：+35～+45mm<br>Rr：+10～+20mm,20319,,265989,MN71S4WDUK-qq-e-f1-24,MN71S4WDUK-qq-e-d-24,4511478256616,MN71S4WDUK,TANABE,DEVIDE UP210,1台分,2.6/2.3,純正バンプカット不要,ハイブリッドMZ,リアスプリング下側端末を車両前方4時～5時方向へ向け装着(純正同等),,34000,35800,,
スズキ,クロスビー,MN71S,2017/12～,FF,1000,ハイブリッド,,Fr：+30～+40mm<br>Rr：+10～+20mm,20319,,265991,MN71SUK-qq-e-f1-25,MN71SUK-qq-e-d-25,4511478256623,MN71SUK,TANABE,DEVIDE UP210,1台分,2.6/2.9,純正バンプカット不要,ハイブリッドMX,,,34000,35800,,
スズキ,ジムニー,JB64W,2018/07～,4WD,660,ターボ,,Fr：+25～+35mm<br>Rr：+20～+30mm,18546,,266323,JB64WUK-qq-e-f1-202k,JB64WUK-qq-e-d-202k,4511478256852,JB64WUK,TANABE,DEVIDE UP210,1台分,2.0/2.6,純正バンプカット不要,XL,,,31000,34000,,
スズキ,ジムニーシエラ,JB74W,2018/07～,4WD,1500,NA,,Fr：+30～+40mm<br>Rr：+15～+25mm,20319,,266324,JB74WUK-qq-e-f1-203k,JB74WUK-qq-e-d-203k,4511478257019,JB74WUK,TANABE,DEVIDE UP210,1台分,2.4/2.6,純正バンプカット不要,JC,,,34000,35800,,
スズキ,スペーシアギア,MK53S,2018/12～,4WD,660,ターボ,,Fr：+25～+35mm<br>Rr：+20～+30mm,18546,,266011,MK53SG4WDUK-qq-e-f1-204k,MK53SG4WDUK-qq-e-d-204k,4511478257064,MK53SG4WDUK,TANABE,DEVIDE UP210,1台分,2.1/2.1,純正バンプカット不要,ハイブリッドXZターボ,,,31000,34000,,
