自動車メーカー,車種,型式,年式,エンジン,駆動方式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,スプリング付属,EDFC対応,減衰力調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
VOLKSWAGEN,ゴルフVI,1KCAV,2009/04～2013/04,1400,FF,TSI ハイライン,,64426,,263246,VSF56-B1SS2-qq-e-86k,VSF56-B1SS2-qq-e-d-86k,4589533460087,VSF56-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,不可,○/○,純正マウント/純正マウント,-25/-40,2.9/3.8,274/307,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,100600
スズキ,スイフト,ZC11S,2004/11～2010/08,1300,FF,1.3XG/1.3XE,,64426,,263278,VSU46-B1SS2-qq-e-7,VSU46-B1SS2-qq-e-d-7,4582202767975,VSU46-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-25/-30,2.9/3.0,304/288,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
スズキ,スイフト,ZC21S,2004/11～2010/08,1500,FF,1.5XS,,64426,,263279,VSU46-B1SS2-qq-e-8,VSU46-B1SS2-qq-e-d-8,4582202767975,VSU46-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-25/-30,2.9/3.0,304/288,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
スズキ,スイフト,ZC71S,2008/06～2010/08,1200,FF,1.2XE/1.2XG/1.2XG-L/1.2スタイル/1.2スタイルL/1.2XGエアロ,,64426,,263280,VSU46-B1SS2-qq-e-9,VSU46-B1SS2-qq-e-d-9,4582202767975,VSU46-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-30/-30,2.9/3.0,304/288,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
スバル,BRZ,ZC6,2012/03～2016/07,2000,FR,S/R,AT車は灯火類高さが保安基準に抵触するため装着不可,64426,,263266,VSQ54-B1SS2-qq-e-73k,VSQ54-B1SS2-qq-e-d-73k,4589533460094,VSQ54-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-25/-20,3.0/4.6,245/265,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
スバル,BRZ,ZC6,2016/08～,2000,FR,S/R,,64426,,263267,VSQ54-B1SS2-qq-e-74k,VSQ54-B1SS2-qq-e-d-74k,4589533460094,VSQ54-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-20/-15,3.0/4.6,245/265,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
スバル,フォレスター,SH5,2007/12～2012/11,2000,4WD,2.0X/2.0XS/2.0XT,,64426,,263268,VSS94-B1SS2-qq-e-75k,VSS94-B1SS2-qq-e-d-75k,4582202769955,VSS94-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-45/-40,4.0/3.2,269/306,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,83600
スバル,フォレスター,SJG,2012/11～2018/06,2000,4WD,2.0XT/2.0XTアイサイト,E型(H29/03～)は取付不可,64426,,263269,VSSA2-B1SS2-qq-e-76k,VSSA2-B1SS2-qq-e-d-76k,4582202769931,VSSA2-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-40/-45,4.3/4.8,263/319,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,83600
トヨタ,86,ZN6,2016/08～,2000,FR,GTリミテッド/GT/G,マイナーチェンジ前(～H28/07)は取付不可,64426,,263265,VSQ54-B1SS2-qq-e-46k,VSQ54-B1SS2-qq-e-d-46k,4589533460094,VSQ54-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-20/-15,3.0/4.6,245/265,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,82000,80600
トヨタ,アルテッツァ,GXE10,1998/10～2005/07,2000,FR,AS200/Zエディション/Lエディション,,50110,,263281,VSY20-B1SS2-qq-e-47k,VSY20-B1SS2-qq-e-d-47k,4582202769818,VSY20-B1SS2,TEIN,EnduraPro PLUS SP KIT,有,可,○/○,純正マウント/純正マウント,-40/-25,5.5/4.4,286/331,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,63000,65400
