自動車メーカー,車種,型式,年式,エンジン,駆動方式,グレード,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,スプリング付属,EDFC対応,減衰力調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
VOLKSWAGEN,ゴルフVI,1KCAV,2009/04～2013/04,1400,FF,TSI ハイライン,,56891,,263287,VSF56-A1SS2-qq-e-45k,VSF56-A1SS2-qq-e-d-45k,4589533460070,VSF56-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-40,2.9/3.8,274/307,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,92600
スズキ,スイフト,ZC11S,2004/11～2010/08,1300,FF,1.3XG/1.3XE,,56891,,263323,VSU46-A1SS2-qq-e-15,VSU46-A1SS2-qq-e-d-15,4582202767968,VSU46-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-30,2.9/3.0,304/288,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
スズキ,スイフト,ZC21S,2004/11～2010/08,1500,FF,1.5XS,,56891,,263324,VSU46-A1SS2-qq-e-16,VSU46-A1SS2-qq-e-d-16,4582202767968,VSU46-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-30,2.9/3.0,304/288,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
スズキ,スイフト,ZC71S,2008/06～2010/08,1200,FF,1.2XE/1.2XG/1.2XG-L/1.2スタイル/1.2スタイルL/1.2XGエアロ,,56891,,263325,VSU46-A1SS2-qq-e-17,VSU46-A1SS2-qq-e-d-17,4582202767968,VSU46-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,2.9/3.0,304/288,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
スバル,BRZ,ZC6,2012/03～2016/07,2000,FR,S/R,,56891,,263311,VSQ54-A1SS2-qq-e-28k,VSQ54-A1SS2-qq-e-d-28k,4589533460100,VSQ54-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-20,3.0/4.6,245/265,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
スバル,BRZ,ZC6,2016/08～,2000,FR,S/R,,56891,,263312,VSQ54-A1SS2-qq-e-29k,VSQ54-A1SS2-qq-e-d-29k,4589533460100,VSQ54-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-20/-15,3.0/4.6,245/265,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
スバル,フォレスター,SH5,2007/12～2012/11,2000,4WD,2.0X/2.0XS/2.0XT,,56891,,263313,VSS94-A1SS2-qq-e-30k,VSS94-A1SS2-qq-e-d-30k,4582202769962,VSS94-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-45/-40,4.0/3.2,269/306,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,75600
スバル,フォレスター,SJG,2012/11～2018/06,2000,4WD,2.0XT/2.0XTアイサイト,E型(H29/03～)は取付不可,56891,,263314,VSSA2-A1SS2-qq-e-31k,VSSA2-A1SS2-qq-e-d-31k,4582202769948,VSSA2-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-40/-45,4.3/4.8,263/319,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,75600
トヨタ,86,ZN6,2016/08～,2000,FR,GTリミテッド/GT/G,マイナーチェンジ前(～H28/07)は取付不可,56891,,263310,VSQ54-A1SS2-qq-e-1k,VSQ54-A1SS2-qq-e-d-1k,4589533460100,VSQ54-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-20/-25,3.0/4.6,245/265,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,アルテッツァ,GXE10,1998/10～2005/07,2000,FR,AS200/Zエディション/Lエディション,,42577,,263326,VSY20-A1SS2-qq-e-2k,VSY20-A1SS2-qq-e-d-2k,4582202769801,VSY20-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-40/-25,5.5/4.4,286/331,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,53000,57400
トヨタ,アルテッツァ,SXE10,1998/10～2005/07,2000,FR,RS200/Zエディション/Lエディション,,42577,,263327,VSY20-A1SS2-qq-e-3k,VSY20-A1SS2-qq-e-d-3k,4582202769801,VSY20-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-25,5.5/4.4,286/331,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,53000,57400
トヨタ,アルファード,AGH30W,2015/01～2017/12,2500,FF,G/X/S/S Aパッケージ/S Cパッケージ,サイドリフトアップシート装着車を除く,56891,,263317,VSTB4-A1SS2-qq-e-4k,VSTB4-A1SS2-qq-e-d-4k,4582202769245,VSTB4-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,アルファード,AGH30W,2018/01～,2500,FF,G/X/S/S Aパッケージ/S Cパッケージ,サイドリフトアップシート装着車を除く,56891,,263318,VSTB4-A1SS2-qq-e-5k,VSTB4-A1SS2-qq-e-d-5k,4582202769245,VSTB4-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-25,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,アルファード,ANH20W,2008/05～2014/12,2400,FF,240S/240X/240G,,56891,,263286,VSC84-A1SS2-qq-e-6k,VSC84-A1SS2-qq-e-d-6k,4582202768491,VSC84-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,3.3/8.2,313/300,リア:純正ダストブーツの加工が必要。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,アルファード,GGH30W,2015/01～2017/12,3500,FF,SA/SA Cパッケージ/GF/エグゼクティブラウンジ,サイドリフトアップシート装着車を除く,56891,,263321,VSTB8-A1SS2-qq-e-7k,VSTB8-A1SS2-qq-e-d-7k,4582202768552,VSTB8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-35,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,アルファード,GGH30W,2018/01～,3500,FF,GF/SC/エグゼクティブラウンジ/エグゼクティブラウンジS,サイドリフトアップシート装着車を除く,56891,,263322,VSTB8-A1SS2-qq-e-8k,VSTB8-A1SS2-qq-e-d-8k,4582202768552,VSTB8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-40/-30,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,ヴィッツ,NCP91,2005/02～2010/12,1500,FF,RS,,56891,,263292,VSL70-A1SS2-qq-e-12k,VSL70-A1SS2-qq-e-d-12k,4582202767944,VSL70-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-20,2.8/3.2,282/320,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,ヴィッツ,SCP90,2005/02～2010/12,1300,FF,U,,56891,,263293,VSL70-A1SS2-qq-e-14,VSL70-A1SS2-qq-e-d-14,4582202767944,VSL70-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-25,2.8/3.2,282/320,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,ヴェルファイア,AGH30W,2015/01～2017/12,2500,FF,Z/Z Aエディション/Z Gエディション/V/X,サイドリフトアップシート装着車を除く,56891,,263315,VSTB4-A1SS2-qq-e-14k,VSTB4-A1SS2-qq-e-d-14k,4582202769245,VSTB4-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,ヴェルファイア,AGH30W,2018/01～,2500,FF,Z/Z Aエディション/Z Gエディション/V/X,サイドリフトアップシート装着車を除く,56891,,263316,VSTB4-A1SS2-qq-e-15k,VSTB4-A1SS2-qq-e-d-15k,4582202769245,VSTB4-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-25/-25,3.5/6.7,306/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,ヴェルファイア,ANH20W,2008/05～2014/12,2400,FF,2.4V/2.4Z/2.4X,,56891,,263285,VSC84-A1SS2-qq-e-16k,VSC84-A1SS2-qq-e-d-16k,4582202768491,VSC84-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-30/-30,3.3/8.2,313/300,リア:純正ダストブーツの加工が必要。<br>車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
トヨタ,ヴェルファイア,GGH30W,2015/01～2017/12,3500,FF,ZA/ZA Gエディション/VL/エグゼクティブラウンジ,サイドリフトアップシート装着車を除く,56891,,263319,VSTB8-A1SS2-qq-e-17k,VSTB8-A1SS2-qq-e-d-17k,4582202768552,VSTB8-A1SS2,TEIN,EnduraPro SP KIT,有,不可,-/-,純正マウント/純正マウント,-35/-35,3.5/6.7,311/315,車高調整不可。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,72000,72600
