自動車メーカー,車種,型式,グレード,年式,ダウン量 mm(F/R),販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,エンジン,駆動方式,適合詳細,スプリングレート Kgf/mm(F/R),自由長 mm(F/R),備考,注意事項,定価,SET価格
スズキ,MRワゴン,MF21S,ターボT/E/X/Xナビパッケージ,2001/11～2005/12,-45/-35,15154,,263000,SKU20-K1B00-qq-e-179,SKU20-K1B00-qq-e-d-179,4571104665045,SKU20-K1B00,TEIN,S.TECH K-SPECIAL,660,FF,2型「スポーツ」、Aリミテッドは取付不可,2.9/2.5,264/248,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,26500,32300
スズキ,MRワゴン,MF21S,ターボT/E/X/Xナビパッケージ,2001/11～2005/12,-55/-30,15154,,263071,SKU20-K1B00-qq-e-180,SKU20-K1B00-qq-e-d-180,4571104665045,SKU20-K1B00,TEIN,S.TECH K-SPECIAL,660,4WD,2型「スポーツ」、Aリミテッドは取付不可,2.9/2.5,264/248,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,26500,32300
スズキ,MRワゴン,MF33S,T/G/X,2011/01～,-45/-40,15420,,262862,SKK34-K1B00-qq-e-182,SKK34-K1B00-qq-e-d-182,4571104666714,SKK34-K1B00,TEIN,S.TECH K-SPECIAL,660,FF,,2.1/2.1,265/220,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27000,32600
スズキ,MRワゴン,MF33S,T/G/X,2011/01～,-40/-35,15420,,263047,SKK34-K1B00-qq-e-181,SKK34-K1B00-qq-e-d-181,4571104666714,SKK34-K1B00,TEIN,S.TECH K-SPECIAL,660,4WD,,2.1/2.1,265/220,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27000,32600
スズキ,エブリイワゴン,DA17W,JPターボ/PZターボ/PZターボスペシャル,2015/02～,-20/-35,15685,,263012,SKU36-K1B00-qq-e-183,SKU36-K1B00-qq-e-d-183,4571104665304,SKU36-K1B00,TEIN,S.TECH K-SPECIAL,660,FR,,3.6/4.1,225/279,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27500,32900
スズキ,エブリイワゴン,DA64W,JPターボ/PZターボ/JP/PZターボスペシャル,2005/08～2008/03,-35/-40,15685,,263013,SKU36-K1B00-qq-e-184,SKU36-K1B00-qq-e-d-184,4571104665304,SKU36-K1B00,TEIN,S.TECH K-SPECIAL,660,FR,,3.6/4.1,225/279,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27500,32900
スズキ,エブリイワゴン,DA64W,JPターボ/PZターボ/JP/PZターボスペシャル,2008/04～2015/01,-35/-40,15685,,263075,SKU36-K1B00-qq-e-185,SKU36-K1B00-qq-e-d-185,4571104665304,SKU36-K1B00,TEIN,S.TECH K-SPECIAL,660,FR,,3.6/4.1,225/279,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27500,32900
スズキ,スペーシア,MK32S,G/X/T,2013/03～2015/04,-40/-40,15420,,262863,SKK34-K1B00-qq-e-186,SKK34-K1B00-qq-e-d-186,4571104666714,SKK34-K1B00,TEIN,S.TECH K-SPECIAL,660,FF,,2.1/2.1,265/220,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27000,32600
スズキ,スペーシア,MK32S,G/X/T,2013/03～2015/04,-40/-45,15420,,263027,SKUA0-K1B00-qq-e-187,SKUA0-K1B00-qq-e-d-187,4571104666998,SKUA0-K1B00,TEIN,S.TECH K-SPECIAL,660,4WD,,2.5/2.1,259/215,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27000,32600
スズキ,スペーシアカスタム,MK32S,TS/XS/GS,2013/06～2015/04,-40/-40,15420,,262864,SKK34-K1B00-qq-e-188,SKK34-K1B00-qq-e-d-188,4571104666714,SKK34-K1B00,TEIN,S.TECH K-SPECIAL,660,FF,,2.1/2.1,265/220,数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,27000,32600
