自動車メーカー,車種,型式,グレード,年式,販売価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,エンジン,駆動方式,適合詳細,スプリング付属,EDFC対応,減衰力調整(F/R),全長調整(F/R),マウント(F/R),基準車高純正比 mm(F/R),車高調整範囲純正比 mm(F/R)最大:下限～上限,車高調整範囲純正比 mm(F/R)推奨:下限～上限,スプリングレート Kgf/mm(F/R),自由長 mm(F/R),内径 mm(F/R),備考,注意事項,定価,SET価格,取付特記事項
スバル,BRZ,ZC6,RA,2012/03～2016/07,282164,,260989,DSQ54-81LS1-qq-e-0589,DSQ54-81LS1-qq-e-d-0589,4582202757358,DSQ54-81LS1,TEIN,SUPER RACING,2000,FR,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-35,-55～-20/-53～-13,-50～-30/-45～-25,10/12,140/150,φ70/φ65,リア:内装のカット、または取外しが必要。<br>推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外となる可能性があります。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,371000,304400,
スバル,BRZ,ZC6,S/R,2012/03～2016/07,282164,,260988,DSQ54-81LS1-qq-e-0588,DSQ54-81LS1-qq-e-d-0588,4582202757358,DSQ54-81LS1,TEIN,SUPER RACING,2000,FR,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-35,-55～-20/-53～-13,-50～-30/-45～-25,10/12,140/150,φ70/φ65,リア:内装のカット、または取外しが必要。<br>推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外となる可能性があります。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,371000,304400,
スバル,WRX STI,VAB,STI,2014/08～,255794,,260997,DSSB0-81LS1-qq-e-0591,DSSB0-81LS1-qq-e-d-0591,4582202761423,DSSB0-81LS1,TEIN,SUPER RACING,2000,4WD,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-35,-63～-10/-60～-13,-50～-30/-45～-25,14/16,150/150,φ65/φ65,リア:内装のカット、または取外しが必要。<br>推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外となる可能性があります。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,336000,280100,
スバル,WRX STI,VAB,STI タイプS,2014/08～,255794,,260996,DSSB0-81LS1-qq-e-0590,DSSB0-81LS1-qq-e-d-0590,4582202761423,DSSB0-81LS1,TEIN,SUPER RACING,2000,4WD,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-35,-63～-10/-60～-13,-50～-30/-45～-25,14/16,150/150,φ65/φ65,リア:内装のカット、または取外しが必要。<br>推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外となる可能性があります。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,336000,280100,
スバル,インプレッサ,GRB,WRX STI,2007/10～2014/08,255794,,260992,DSS78-81LS1-qq-e-0592,DSS78-81LS1-qq-e-d-0592,4582202753152,DSS78-81LS1,TEIN,SUPER RACING,2000,4WD,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-45/-35,-90～+0/-50～+0,-55～-35/-45～-25,10/10,175/175,φ65/φ65,推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外になる可能性あり。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,336000,280100,
スバル,インプレッサ,GRF,WRX STI Aライン,2009/02～2014/08,255794,,260993,DSS78-81LS1-qq-e-0593,DSS78-81LS1-qq-e-d-0593,4582202753152,DSS78-81LS1,TEIN,SUPER RACING,2500,4WD,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-35,-85～-5/-50～+0,-50～-30/-45～-25,10/10,175/175,φ65/φ65,推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外になる可能性あり。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,336000,280100,
スバル,インプレッサ,GVB,WRX STI,2010/07～2014/08,255794,,260994,DSS78-81LS1-qq-e-0594,DSS78-81LS1-qq-e-d-0594,4582202753152,DSS78-81LS1,TEIN,SUPER RACING,2000,4WD,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-45/-25,-90～-10/-40～+10,-55～-35/-35～-15,10/10,175/175,φ65/φ65,推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外になる可能性あり。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,336000,280100,
スバル,インプレッサ,GVF,WRX STI Aライン,2010/07～2014/08,255794,,260995,DSS78-81LS1-qq-e-0595,DSS78-81LS1-qq-e-d-0595,4582202753152,DSS78-81LS1,TEIN,SUPER RACING,2500,4WD,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-45/-30,-90～-10/-45～+5,-55～-35/-40～-20,10/10,175/175,φ65/φ65,推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外になる可能性あり。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,336000,280100,
トヨタ,86,ZN6,GTリミテッド/GT/G,2012/04～2016/07,282164,,260987,DSQ54-81LS1-qq-e-0576,DSQ54-81LS1-qq-e-d-0576,4582202757358,DSQ54-81LS1,TEIN,SUPER RACING,2000,FR,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-40,-55～-20/-58～-18,-50～-30/-50～-30,10/12,140/150,φ70/φ65,リア:内装のカット、または取外しが必要。<br>推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外となる可能性があります。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,371000,304400,
トヨタ,86,ZN6,RC,2012/04～2016/07,282164,,260986,DSQ54-81LS1-qq-e-0575,DSQ54-81LS1-qq-e-d-0575,4582202757358,DSQ54-81LS1,TEIN,SUPER RACING,2000,FR,,無,可,○/○,○/○,キャンバー・キャスター調整式(ピロボールアッパーマウント付属)/ピロボールアッパーマウント付属,-40/-40,-55～-20/-58～-18,-50～-30/-50～-30,10/12,140/150,φ70/φ65,リア:内装のカット、または取外しが必要。<br>推奨スプリングは高荷重タイプを選択して下さい。<br>数値はノーマル車高比で算出しております。<br>推奨車高調整範囲:メーカーにて取付確認を行った値となります。,車高ダウン量はサーキット走行での推奨値となり、保安基準適合外となる可能性があります。<br>車高データは開発車両における参考測定値データのため、車両の個体差・組み付け条件により差が生じることがあります。(また左右で差が生じたり、なじみにより組み付け後、しばらくして車高が下がる場合があります。)<br>推奨車高調整範囲外で使用するとショックや車両に破損が生じる可能性があり、保安基準適合外となることがあります。その場合の破損につきましては、メーカーでは一切の責任を負いかねますのでご了承ください。<br>装着するホイールサイズやオフセット、タイヤ銘柄やサイズ等により、メーカー基準位置でも走行時に干渉等が発生する場合があります。,371000,304400,
