自動車メーカー,車種,型式,年式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,マウント(F/R),バネ(F/R),ダウン量,仕様,備考,注意事項,定価,送料,SET価格
AUDI,A3,GH-8PAXW/GH-8PBLR/GH-8PBGU,03～13,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,474211,,246197,CM-AU10-qq-e-f1-8k,CM-AU10-qq-e-d-8k,CM-AU10,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,16K/18K,,フルタップ式車高調,現車確認必要,,500000,2000,522000
AUDI,A3,GH-8PAXW/GH-8PBLR/GH-8PBGU,03～13,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,474211,,246493,CM-AU11-qq-e-f1-9k,CM-AU11-qq-e-d-9k,CM-AU11,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,16K/18K,,フルタップ式車高調,現車確認必要,,500000,2000,522000
AUDI,A3 スポーツバック,ABA-8PBSE/ABA-8PCAX/ABA-8PBYT/ABA-8PBZB/ABA-8PCDA/ABA-8PBLR/ABA-8PBLX/ABA-8PBVY/ABA-8PAXX/ABA-8PBWA/DBA-8PBSE/DBA-8PCAX/DBA-8PBYT/DBA-8PBZB/DBA-8PCDA/DBA-8PBLR/DBA-8PBLX/DBA-8PBVY/DBA-8PAXX/DBA-8PBWA/GH-8PBSE/GH-8PCAX/GH-8PBYT/GH-8PBZB/GH-8PCDA/GH-8PBLR/GH-8PBLX/GH-8PBVY/GH-8PAXX/GH-8PBWA,04～13,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,474211,,246788,CM-AU06-qq-e-f1-6k,CM-AU06-qq-e-d-6k,CM-AU06,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,現車確認必要,,500000,2000,522000
AUDI,A3 スポーツバック,ABA-8PBSE/ABA-8PCAX/ABA-8PBYT/ABA-8PBZB/ABA-8PCDA/ABA-8PBLR/ABA-8PBLX/ABA-8PBVY/ABA-8PAXX/ABA-8PBWA/DBA-8PBSE/DBA-8PCAX/DBA-8PBYT/DBA-8PBZB/DBA-8PCDA/DBA-8PBLR/DBA-8PBLX/DBA-8PBVY/DBA-8PAXX/DBA-8PBWA/GH-8PBSE/GH-8PCAX/GH-8PBYT/GH-8PBZB/GH-8PCDA/GH-8PBLR/GH-8PBLX/GH-8PBVY/GH-8PAXX/GH-8PBWA,04～13,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,474211,,247069,CM-AU07-qq-e-f1-7k,CM-AU07-qq-e-d-7k,CM-AU07,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,16K/18K,,フルタップ式車高調,現車確認必要,,500000,2000,522000
BMW,1シリーズ E81,,04～11,4気筒,474211,,247362,CM-BM54-qq-e-f1-19k,CM-BM54-qq-e-d-19k,CM-BM54,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,,,500000,2000,517000
BMW,1シリーズ E81,,04～11,6気筒,474211,,247363,CM-BM55-qq-e-f1-20k,CM-BM55-qq-e-d-20k,CM-BM55,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,,,500000,2000,517000
BMW,1シリーズ E82,ABA-UC30/ABA-UC35,08～12,6気筒<br>適合グレード:135i,474211,,246496,CM-BM57-qq-e-f1-22k,出さない,CM-BM57,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,,,500000,2000,出さない
BMW,1シリーズ E82,LBA-UC20,08～12,4気筒<br>適合グレード:120i,474211,,246495,CM-BM56-qq-e-f1-21k,出さない,CM-BM56,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,,,500000,2000,出さない
BMW,1シリーズ E87,ABA-UE16/LBA-UE16/GH-UE16/ABA-UF16/LBA-UF16/GH-UF16/ABA-UF18/LBA-UF18/GH-UF18/ABA-UF20/LBA-UF20/GH-UF20,04～11,4気筒<br>適合グレード:116i/118i/120i,474211,,247364,CM-BM58-qq-e-f1-23k,CM-BM58-qq-e-d-23k,CM-BM58,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,,,500000,2000,517000
BMW,1シリーズ E87,ABA-UF30,04～11,6気筒<br>適合グレード:130i,474211,,247365,CM-BM59-qq-e-f1-24k,CM-BM59-qq-e-d-24k,CM-BM59,XYZ,CMタイプ車高調,調整式ピロアッパー/純正アッパー,18K/18K,,フルタップ式車高調,,,500000,2000,517000
