自動車メーカー,車種,型式,年式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,マウント(F/R),バネ(F/R),ダウン量,仕様,備考,注意事項,定価,送料,SET価格
ALFAROMEO,147,ABA-937AB/GH-937AB/GF-937AB/ABA-937BXB/GH-937BXB/GF-937BXB,01～11,4気筒,113190,,246855,SS-AL03-qq-e-f1-316,SS-AL03-qq-e-d-316,SS-AL03,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,16K/4K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,152500
ALFAROMEO,147GTA,GH-937AXL,01～11,6気筒,113190,,246856,SS-AL04-qq-e-f1-317,SS-AL04-qq-e-d-317,SS-AL04,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,19K/4K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,152500
ALFAROMEO,156,E-932A1/GF-932A1/GH-932A1/E-932AC/GF-932AC/GH-932AC,97～06,6気筒<br>3.2 GTA除く,113190,,247162,SS-AL08-qq-e-f1-319,SS-AL08-qq-e-d-319,SS-AL08,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,19K/4K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,152500
ALFAROMEO,156,E-932A2/E-932AXA/GF-932A2/GF-932AXA/GH-932A2/GH-932AXA,97～06,4気筒,113190,,247161,SS-AL07-qq-e-f1-318,SS-AL07-qq-e-d-318,SS-AL07,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,16K/4K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,152500
ALFAROMEO,156GTA,GH-932AXB,02～06,3.2 6気筒,113190,,247438,SS-AL09-qq-e-f1-320,SS-AL09-qq-e-d-320,SS-AL09,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,19K/5K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,152500
ALFAROMEO,GT,ABA-93720L/GH-93720L,04～11,4気筒,113190,,247735,SS-AL11-qq-e-f1-321,SS-AL11-qq-e-d-321,SS-AL11,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,16K/4K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,152500
ALFAROMEO,GT,GH-93732L,04～11,6気筒,113190,,246857,SS-AL12-qq-e-f1-322,出さない,SS-AL12,XYZ,SSタイプ車高調,アルミリジット/純正アッパー,19K/4K,,フルタップ式車高調<br>減衰力30段,,,148000,2000,出さない
AUDI,A1,ABA-8XCAX/DBA-8XCAX/ABA-8XCTH/DBA-8XCTH,11～18,2WD,105766,,247439,SS-AU01-qq-e-f1-323,SS-AU01-qq-e-d-323,SS-AU01,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,8K/4K,,フルタップ式車高調<br>減衰力30段,,フロント装着後減衰力調整不可,138000,2000,149700
AUDI,A3,GF-8LAGN/GF-8LAPG/GF-8LAGU/GF-8LAUQ/GH-8LAGN/GH-8LAPG/GH-8LAGU/GH-8LAUQ,97～03,2WD<br>フロントストラット外径:50mm,113190,,247736,SS-AU02-qq-e-f1-324,出さない,SS-AU02,XYZ,SSタイプ車高調,純正アッパー/純正アッパー,9K/5K,,フルタップ式車高調<br>減衰力30段,現車確認必要,リア装着後減衰力調整不可,148000,2000,出さない
AUDI,A3 3ドア,GH-8PAXW/GH-8PBLR/GH-8PBGU,03～13,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,105766,,247440,SS-AU10-qq-e-f1-326,SS-AU10-qq-e-d-326,SS-AU10,XYZ,SSタイプ車高調,調整式ピロアッパー/純正アッパー,9K/5K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,138000,2000,149700
