自動車メーカー,車種,型式,年式,適合詳細,販売価格,Camp価格,商品ID,物販コード,取付コード,メーカー品番,メーカー名,商品名,マウント(F/R),バネ(F/R),ダウン量,仕様,備考,注意事項,定価,送料,SET価格
ALFAROMEO,147,ABA-937AB/GH-937AB/GF-937AB/ABA-937BXB/GH-937BXB/GF-937BXB,01～11,4気筒,133621,,246980,TS-AL03-qq-e-f1-847,TS-AL03-qq-e-d-847,TS-AL03,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,18.6K/4.5K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
ALFAROMEO,147GTA,GH-937AXL,01～11,6気筒,133621,,247827,TS-AL04-qq-e-f1-848,TS-AL04-qq-e-d-848,TS-AL04,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,20K/4.5K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
ALFAROMEO,156,E-932A1/GF-932A1/GH-932A1/E-932AC/GF-932AC/GH-932AC,97～06,6気筒<br>3.2 GTA除く,133621,,246714,TS-AL08-qq-e-f1-850,TS-AL08-qq-e-d-850,TS-AL08,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,20K/5.3K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
ALFAROMEO,156,E-932A2/E-932AXA/GF-932A2/GF-932AXA/GH-932A2/GH-932AXA,97～06,4気筒,133621,,246981,TS-AL07-qq-e-f1-849,TS-AL07-qq-e-d-849,TS-AL07,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,18.6K/5.3K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
ALFAROMEO,156GTA,GH-932AXB,02～06,3.2 6気筒,133621,,247281,TS-AL09-qq-e-f1-851,TS-AL09-qq-e-d-851,TS-AL09,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,20K/5.3K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
ALFAROMEO,GT,ABA-93720L/GH-93720L,04～11,4気筒,133621,,246715,TS-AL11-qq-e-f1-852,TS-AL11-qq-e-d-852,TS-AL11,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,18.6K/5.3K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,173100
ALFAROMEO,GT,GH-93732L,04～11,6気筒,133621,,247282,TS-AL12-qq-e-f1-853,出さない,TS-AL12,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,20K/5.3K,,フルタップ式車高調<br>減衰力30段,,,168000,2000,出さない
AUDI,A3 3ドア,GH-8PAXW/GH-8PBLR/GH-8PBGU,03～13,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,125865,,247284,TS-AU10-qq-e-f1-855,TS-AU10-qq-e-d-855,TS-AU10,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 3ドア,GH-8PAXW/GH-8PBLR/GH-8PBGU,03～13,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,125865,,246983,TS-AU11-qq-e-f1-856,TS-AU11-qq-e-d-856,TS-AU11,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 3ドア クワトロ,GH-8PBDBF/GH-8PBMJF,03～13,4WD<br>ストラット外径:50mm<br>電子制御ショック非対応,125865,,246719,TS-AU08-qq-e-f1-857,TS-AU08-qq-e-d-857,TS-AU08,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 3ドア クワトロ,GH-8PBDBF/GH-8PBMJF,03～13,4WD<br>ストラット外径:55mm<br>電子制御ショック非対応,125865,,247283,TS-AU09-qq-e-f1-858,TS-AU09-qq-e-d-858,TS-AU09,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 カブリオレ,8P,08～13,2WD<br>ストラット外径:55mm,125865,,247596,TS-AU12-qq-e-f1-859,TS-AU12-qq-e-d-859,TS-AU12,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,10.5K/6K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 スポーツバック,ABA-8PBSE/ABA-8PCAX/ABA-8PBYT/ABA-8PBZB/ABA-8PCDA/ABA-8PBLR/ABA-8PBLX/ABA-8PBVY/ABA-8PAXX/ABA-8PBWA/DBA-8PBSE/DBA-8PCAX/DBA-8PBYT/DBA-8PBZB/DBA-8PCDA/DBA-8PBLR/DBA-8PBLX/DBA-8PBVY/DBA-8PAXX/DBA-8PBWA/GH-8PBSE/GH-8PCAX/GH-8PBYT/GH-8PBZB/GH-8PCDA/GH-8PBLR/GH-8PBLX/GH-8PBVY/GH-8PAXX/GH-8PBWA,04～13,2WD<br>ストラット外径:50mm<br>電子制御ショック非対応,125865,,246982,TS-AU06-qq-e-f1-860,TS-AU06-qq-e-d-860,TS-AU06,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 スポーツバック,ABA-8PBSE/ABA-8PCAX/ABA-8PBYT/ABA-8PBZB/ABA-8PCDA/ABA-8PBLR/ABA-8PBLX/ABA-8PBVY/ABA-8PAXX/ABA-8PBWA/DBA-8PBSE/DBA-8PCAX/DBA-8PBYT/DBA-8PBZB/DBA-8PCDA/DBA-8PBLR/DBA-8PBLX/DBA-8PBVY/DBA-8PAXX/DBA-8PBWA/GH-8PBSE/GH-8PCAX/GH-8PBYT/GH-8PBZB/GH-8PCDA/GH-8PBLR/GH-8PBLX/GH-8PBVY/GH-8PAXX/GH-8PBWA,04～13,2WD<br>ストラット外径:55mm<br>電子制御ショック非対応,125865,,246718,TS-AU07-qq-e-f1-861,TS-AU07-qq-e-d-861,TS-AU07,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 スポーツバック クワトロ,ABA-8PBMJF/GH-8PBMJF/ABA-8PBUBF/GH-8PBUBF/ABA-8PCCZF/GH-8PCCZF,04～13,4WD<br>ストラット外径:50mm<br>電子制御ショック非対応,125865,,246716,TS-AU04-qq-e-f1-862,TS-AU04-qq-e-d-862,TS-AU04,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A3 スポーツバック クワトロ,ABA-8PBMJF/GH-8PBMJF/ABA-8PBUBF/GH-8PBUBF/ABA-8PCCZF/GH-8PCCZF,04～13,4WD<br>ストラット外径:55mm<br>電子制御ショック非対応,125865,,246717,TS-AU05-qq-e-f1-863,TS-AU05-qq-e-d-863,TS-AU05,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,170000
AUDI,A4 B5,E-8DADR/E-8DABC/E-8DAGA,95～98,2WD 前期,141376,,246720,TS-AU13-qq-e-f1-864,出さない,TS-AU13,XYZ,TSタイプ車高調,固定式ピロアッパー/固定式ピロアッパー,14K/7.2K,,フルタップ式車高調<br>減衰力30段,,装着後減衰力調整不可,178000,2000,出さない
AUDI,A4 B5,E-8DAEBF/E-8DAAHF/E-8DACKF/E-8DAGAF,95～98,4WD 前期,133621,,247597,TS-AU14-qq-e-f1-865,出さない,TS-AU14,XYZ,TSタイプ車高調,固定式ピロアッパー/純正アッパー,14K/13.3K,,減衰力30段<br>リア:ネジ式,,装着後減衰力調整不可,168000,2000,出さない
AUDI,Q3,8U,12～UP,4WD<br>ストラット外径:55mm<br>電子制御ショック非対応,125865,,247598,TS-AU44-1-qq-e-f1-240k,出さない,TS-AU44-1,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/6K,,フルタップ式車高調<br>減衰力30段,,,158000,2000,出さない
AUDI,TT,ABA-8JBWA/ABA-8JCES,06～15,2WD<br>フロントストラット外径:55mm,125865,,246405,TS-AU40-qq-e-f1-867,出さない,TS-AU40,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,出さない
AUDI,TT,GF-8NAUQ/GH-8NAUQ/GF-8NBVR/GH-8NBVR,98～06,2WD<br>フロントストラット外径:50mm,125865,,247285,TS-AU38-qq-e-f1-238k,出さない,TS-AU38,XYZ,TSタイプ車高調,純正アッパー/純正アッパー,10.5K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,リア装着後減衰力調整不可,158000,2000,出さない
AUDI,TT RS,8JCEPF,10～15,フロントストラット外径:55mm,125865,,246984,TS-AU41-1-qq-e-f1-239k,出さない,TS-AU41-1,XYZ,TSタイプ車高調,調整式ピロアッパー/純正アッパー,12K/8K,,フルタップ式車高調<br>減衰力30段,現車確認必要,,158000,2000,出さない
