自動車メーカー,車種,型式,駆動方式,適合詳細,SET価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,年式,商品名,取付位置,備考,仕様,定価,販売価格
スバル,BRZ,ZC6,2WD,,14800,,258076,05142209001-qq-25,05142209001-qq-d-25,Largus,,ストラットタワーバー,リア,ラゲッジパネル加工必要<br>内装加工必要,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
トヨタ,86,ZN6,2WD,,14800,,258076,05142209001-qq-25,05142209001-qq-d-25,Largus,,ストラットタワーバー,リア,ラゲッジパネル加工必要<br>内装加工必要,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
トヨタ,アルファード,ANH10W/MNH10W/ANH15W/MNH15W,ANH10W/MNH10W:2WD<br>ANH15W/MNH15W:4WD,TEMS車取付不可,12800,,258064,05141109006-qq-10,05141109006-qq-d-10,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
トヨタ,ノア/ヴォクシー,AZR60G/AZR65G,AZR60G:2WD<br>AZR65G:4WD,TEMS車取付不可,14800,,258063,05141109003-qq-13,05141109003-qq-d-13,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
トヨタ,マークII/クレスタ/チェイサー,JZX90/JZX100,2WD,ターボ専用<br>クルーズコントロール車取付不可,10800,,258072,05141109016-qq-16,05141109016-qq-d-16,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
トヨタ,マークX,GRX120/GRX125/GRX130/GRX133,GRX120/GRX130/GRX133:2WD<br>GRX125:4WD,GRX120/GRX125:TEMS車取付不可<br>GRX130/GRX133:AVS車取付不可,10800,,258073,05141109017-qq-17,05141109017-qq-d-17,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
日産,シルビア,S14/S15,2WD,,10800,,258059,05141107004-qq-3,05141107004-qq-d-3,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
日産,シルビア,S14/S15,2WD,,12800,,258074,05142207003-qq-21,05142207003-qq-d-21,Largus,,ストラットタワーバー,リア,スピーカ―ボード加工必要,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
日産,スカイライン,ECR33/ER34,2WD,ECR33:4WD不可<br>ER34:NA不可,10800,,258060,05141107005-qq-4,05141107005-qq-d-4,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
日産,スカイライン,ECR33/ER34,2WD,ER34:4ドア不可,14800,,258075,05142207004-qq-22,05142207004-qq-d-22,Largus,,ストラットタワーバー,リア,スピーカ―ボード加工必要,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
ホンダ,ステップワゴン,RF3/RF4/RF5/RF6/RF7/RF8,RF3/RF5/RF7:2WD<br>RF4/RF6/RF8:4WD,,10800,,258058,05141103009-qq-2,05141103009-qq-d-2,Largus,,ストラットタワーバー,フロント,,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
マツダ,ロードスター,ND5RC,2WD,,14800,,258079,05142210002-qq-20,05142210002-qq-d-20,Largus,,ストラットタワーバー,リア,内装加工必要,本体:アルミ製<br>ブラケット:スチール製<br>レッドアルマイト加工&ショットブラスト加工,9800,9800
