自動車メーカー,車種,型式,年式,Fr/Rr,適合詳細,備考,注意事項,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,定価,掛け,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,フロント,,,,11000,,130445,71521080140-qq-0120,4580439053403,P61 108,brembo,ブラックパッド,9000,70,9000,2000
スズキ,Kei,HN21S,98/10～01/03,フロント,ターボ,,,11000,,130446,71521080140-qq-0121,4580439053403,P61 108,brembo,ブラックパッド,9000,70,9000,2000
スズキ,Kei,HN21S,98/10～01/03,フロント,NA,,,11000,,130448,71521080140-qq-0123,4580439053403,P61 108,brembo,ブラックパッド,9000,70,9000,2000
スズキ,Keiワークス,HN22S,01/03～04/11,フロント,WORKS ターボ及びNA車に適合,,,11000,,130447,71521080140-qq-0122,4580439053403,P61 108,brembo,ブラックパッド,9000,70,9000,2000
スズキ,Keiワークス,HN22S,01/03～04/11,リア,WORKS ターボに適合,,,11000,,133232,71521086021-qq-01264,4580439024304,P28 025,brembo,ブラックパッド,9000,70,9000,2000
スズキ,MRワゴン,MF21S,01/12～04/11,フロント,NA,,,11000,,130452,71521080140-qq-0127,4580439053403,P61 108,brembo,ブラックパッド,9000,70,9000,2000
スズキ,MRワゴン,MF21S,01/12～05/12,フロント,ターボ,,,11000,,130451,71521080140-qq-0126,4580439053403,P61 108,brembo,ブラックパッド,9000,70,9000,2000
スズキ,SX4,YA11S/YB11S/YC11S,06/07～14/11,フロント,,,,11000,,130057,71521070101-qq-074,4580439023949,P56 021,brembo,ブラックパッド,9000,70,9000,2000
スズキ,SX4,YA41S/YB41S,06/07～14/11,フロント,,,,11000,,130058,71521070101-qq-075,4580439023949,P56 021,brembo,ブラックパッド,9000,70,9000,2000
スズキ,SX4,YA41S/YB41S,06/07～14/11,リア,,,,11000,,133225,71521086011-qq-04472,4580439024298,P28 022,brembo,ブラックパッド,9000,70,9000,2000
スズキ,SX4 Sクロス,YA22S/YB22S,15/02～,フロント,,,,12000,,130456,71521080150-qq-0131,4580439053465,P79 032,brembo,ブラックパッド,9000,70,9000,3000
スズキ,SX4 Sクロス,YA22S/YB22S,15/02～,リア,,,,12000,,130092,71521080020-qq-0109,4580439045675,P79 029,brembo,ブラックパッド,9000,70,9000,3000
スズキ,X-90,LB11S,95/10～98/12,フロント,,,,11000,,133141,71521080051-qq-04426,4580439024229,P79 006,brembo,ブラックパッド,9000,70,9000,2000
スズキ,アルト,CL21V,90/02～91/08,フロント,,,,11000,,131039,71521080011-qq-01868,4580439024199,P15 001,brembo,ブラックパッド,9000,70,9000,2000
スズキ,アルト,CL22V,91/09～94/11,フロント,,,,11000,,133112,71521080011-qq-01892,4580439024199,P15 001,brembo,ブラックパッド,9000,70,9000,2000
スズキ,アルト,CM22V,90/02～94/10,フロント,ワークス除く(NA車)<br>車台No.250001から,,,11000,,133113,71521080011-qq-01893,4580439024199,P15 001,brembo,ブラックパッド,9000,70,9000,2000
