自動車メーカー,車種,型式,年式,Fr/Rr,適合詳細,備考,注意事項,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,定価,掛け,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,フロント,,,,12000,,130472,71523081070-qq-0812,4580439053410,P61 108N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,Kei,HN21S,98/10～01/03,フロント,ターボ,,,12000,,130473,71523081070-qq-0813,4580439053410,P61 108N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,Kei,HN21S,98/10～01/03,フロント,NA,,,12000,,130475,71523081070-qq-0815,4580439053410,P61 108N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,Keiワークス,HN22S,01/03～04/11,フロント,WORKS ターボ及びNA車に適合,,,12000,,130474,71523081070-qq-0814,4580439053410,P61 108N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,Keiワークス,HN22S,01/03～04/11,リア,WORKS ターボに適合,,,12000,,134864,71523030020-qq-01563,4580439034570,P28 025N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,MRワゴン,MF21S,01/12～04/11,フロント,NA,,,12000,,130479,71523081070-qq-0819,4580439053410,P61 108N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,MRワゴン,MF21S,01/12～05/12,フロント,ターボ,,,12000,,130478,71523081070-qq-0818,4580439053410,P61 108N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,SX4,YA11S/YB11S/YC11S,06/07～14/11,フロント,,,,18000,,130252,71523070950-qq-0795,4580439033603,P56 021N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,SX4,YA41S/YB41S,06/07～14/11,フロント,,,,18000,,130253,71523070950-qq-0796,4580439033603,P56 021N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,SX4,YA41S/YB41S,06/07～14/11,リア,,,,18000,,135222,71523036190-qq-02063,4580439032828,P28 022N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,SX4 Sクロス,YA22S/YB22S,15/02～,リア,,,,19000,,136101,71523080080-qq-03250,4580439035911,P79 029N,brembo,プレミアムセラミックパッド,16000,65,16000,3000
スズキ,X-90,LB11S,95/10～98/12,フロント,,,,18000,,136105,71523080090-qq-03256,4580439035843,P79 006N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,アルト,CM21V,90/02～94/11,フロント,,,,12000,,136074,71523080020-qq-03216,4580439035850,P79 036N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト,CM22V,90/02～94/10,フロント,ワークス除く(NA車)<br>車台No.250001まで,,,12000,,136076,71523080020-qq-03218,4580439035850,P79 036N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト,CS22S,91/09～94/11,フロント,車台No.250001までのワークス除くNA/3ドア車及び車台No.800001までのワークス除くNA/5ドア車に適合,,,12000,,136077,71523080020-qq-03219,4580439035850,P79 036N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト,HA11S/HB11S/HC11V/HD11V,94/11～98/09,フロント,ワークス除く/NA,,,12000,,131257,71523080030-qq-03224,4580439035867,P79 034N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト,HA12S,98/10～00/12,リア,ターボ,,,12000,,134862,71523030020-qq-01561,4580439034570,P28 025N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト,HA22S,98/10～04/08,リア,ターボ,,,12000,,134863,71523030020-qq-01562,4580439034570,P28 025N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト,HA36S,14/12～,フロント,ワークス&RS(ターボ),,,12000,,130172,71523010020-qq-0690,4580439034471,P79 012N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,アルト/アルトワークス,CP21S,90/02～91/08,フロント,ABS無(NA)及びWORKS ie(SOHC ターボ),,,12000,,136075,71523080020-qq-03217,4580439035850,P79 036N,brembo,プレミアムセラミックパッド,10000,65,10000,2000
スズキ,エスクード,TA01R,88/05～97/10,フロント,,,,18000,,131263,71523080090-qq-03251,4580439035843,P79 006N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA01V,88/05～97/10,フロント,,,,18000,,136102,71523080090-qq-03253,4580439035843,P79 006N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA01W,88/05～97/10,フロント,,,,18000,,136103,71523080090-qq-03254,4580439035843,P79 006N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA02W/TD02W/TA52W/TD52W,97/11～00/10,フロント,,,,18000,,136106,71523081050-qq-03262,4580439033818,P79 008N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA11W,88/05～97/10,フロント,,,,18000,,136111,71523081060-qq-03268,4580439033825,P79 009N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA31W,88/05～97/10,フロント,,,,18000,,136112,71523081060-qq-03269,4580439033825,P79 009N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA51W/TD51W/TD61W,88/05～97/10,フロント,,,,18000,,136113,71523081060-qq-03270,4580439033825,P79 009N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TA74W/TD54W/TD94W,05/05～08/05,フロント,,,,18000,,131258,71523080040-qq-03231,4580439035874,P79 018N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TD01W,88/05～97/10,フロント,,,,18000,,136104,71523080090-qq-03255,4580439035843,P79 006N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TD11W,88/05～97/10,フロント,,,,18000,,136110,71523081060-qq-03267,4580439033825,P79 009N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TD31W,88/05～97/10,フロント,,,,18000,,136114,71523081060-qq-03271,4580439033825,P79 009N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TD32W/TD62W,97/11～00/10,フロント,,,,18000,,136115,71523081060-qq-03272,4580439033825,P79 009N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TDA4W/TAB4W,08/06～15/10,フロント,,,,18000,,136083,71523080040-qq-03232,4580439035874,P79 018N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
スズキ,エスクード,TDA4W/TAB4W,08/06～15/10,リア,,,,18000,,130268,71523086620-qq-0826,4580439033832,P56 068N,brembo,プレミアムセラミックパッド,16000,65,16000,2000
