自動車メーカー,車種,型式,年式,Fr/Rr,適合詳細,備考,注意事項,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,定価,掛け,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,フロント,フロント:ベンチディスク車に適合,,,18500,,137924,71561080060-qq-01775,4580439021433,09.9599.10,brembo,スタンダードブレーキディスク,15500,60,15500,3000
スズキ,Kei,HN21S,98/10～01/03,フロント,NA<br>フロント:ソリッドディスク車に適合,UVコーティング,,17000,,130760,71561080150-qq-01868,4580439053762,08.D164.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,Kei,HN21S,98/10～01/03,フロント,ターボ<br>フロント:ベンチディスク車に適合,,,18500,,137925,71561080060-qq-01806,4580439021433,09.9599.10,brembo,スタンダードブレーキディスク,15500,60,15500,3000
スズキ,Kei,HN22S,01/03～04/11,フロント,NA車の車台No.643167までの車両に適合(DJグレードを除く),UVコーティング,,17000,,130759,71561080150-qq-01867,4580439053762,08.D164.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,Kei,HN22S,04/11～,フロント,NA車の車台No.643168からの車両に適合,UVコーティング,,17000,,130767,71561080160-qq-01878,4580439053779,08.D170.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,Kei/Keiワークス,HN22S,01/03～04/11,フロント,NA車は車台No.643167までのグレードDJに適合<br>ターボ車は01/03からのWORKS以外と02/11からのWORKSに適合<br>フロント:ベンチディスク車,,,18500,,137926,71561080060-qq-01807,4580439021433,09.9599.10,brembo,スタンダードブレーキディスク,15500,60,15500,3000
スズキ,Keiワークス,HN22S,02/11～04/11,リア,ターボ,UVコーティング,,17000,,130798,71561086020-qq-01909,4580439053731,08.D145.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,MRワゴン,MF21S,01/12～04/11,フロント,NA,UVコーティング,,17000,,130762,71561080150-qq-01870,4580439053762,08.D164.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,MRワゴン,MF21S,01/12～05/12,フロント,ターボ,,,16000,,137921,71561080050-qq-01787,4580439022348,09.3095.20,brembo,スタンダードブレーキディスク,13000,60,13000,3000
スズキ,MRワゴン,MF21S,04/11～05/12,フロント,NA,UVコーティング,,17000,,130772,71561080160-qq-01883,4580439053779,08.D170.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,MRワゴン,MF22S,06/01～11/01,フロント,NA,UVコーティング,,17000,,130771,71561080160-qq-01882,4580439053779,08.D170.11,brembo,スタンダードブレーキディスク,14000,60,14000,3000
スズキ,MRワゴン,MF22S,06/01～11/01,フロント,ターボ,,,16000,,137912,71561080050-qq-01766,4580439022348,09.3095.20,brembo,スタンダードブレーキディスク,13000,60,13000,3000
