自動車メーカー,車種,型式,年式,Fr/Rr,適合詳細,備考,注意事項,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,定価,掛け,販売価格,工賃
スバル,BRZ,ZC6,12/03～13/08,フロント,RA及びR標準車に適合,UVコーティング,,33000,,130828,71563020010-qq-02734,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,BRZ,ZC6,13/08～,フロント,RA/R 15インチブレーキ(リア:ソリッド)車に適合,UVコーティング,,33000,,130829,71563020010-qq-02735,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,WRX,VAG,14/08～,フロント,S4 tS<br>フロントキャリパー:Brembo製,UVコーティング/ハイカーボン/ピラーベンチレーション,,63000,,130909,71563020020-qq-02819,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,4000
スバル,WRX STI,VAB,14/08～17/06,フロント,,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130908,71563020020-qq-02818,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサ,GC8,98/08～00/08,フロント,NA<br>SRX,UVコーティング,,33000,,130842,71563020010-qq-02748,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GD9,02/10～03/08,フロント,20S,UVコーティング,,33000,,130856,71563020010-qq-02762,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GF8,98/08～00/08,フロント,SRX,UVコーティング,,33000,,130859,71563020010-qq-02765,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GG2/GG3,04/05～06/05,フロント,15i-S,UVコーティング,,33000,,130865,71563020010-qq-02771,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GG9,00/08～02/10,フロント,,UVコーティング,,33000,,130866,71563020010-qq-02772,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GG9,02/10～07/06,フロント,,UVコーティング,,33000,,130867,71563020010-qq-02773,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GGA,00/08～02/10,フロント,20K/ユーロ(A～B型),UVコーティング,,33000,,130869,71563020010-qq-02775,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GGC/GGD,06/05～07/06,フロント,1.5R<br>リア:ディスク,UVコーティング,,33000,,130868,71563020010-qq-02774,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GH2/GH3,07/06～11/12,フロント,1.5i-S,UVコーティング,,33000,,130870,71563020010-qq-02776,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GH6/GH7,07/06～10/04,フロント,,UVコーティング,,33000,,130871,71563020010-qq-02777,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GH6/GH7,10/04～11/12,フロント,,UVコーティング,,33000,,130872,71563020010-qq-02778,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサ,GRB,07/11～,フロント,Sti<br>Brembo製キャリパー,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130904,71563020020-qq-02814,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサ,GRF,09/02～,フロント,STi Aライン オプション Brembo製キャリパー/tS Brembo製キャリパー,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130905,71563020020-qq-02815,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサ,GVB,07/11～,フロント,Sti<br>キャリパー:Brembo製,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130906,71563020020-qq-02816,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサ,GVF,09/02～,フロント,STi Aライン オプション Brembo製キャリパー/tS Brembo製キャリパー,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130907,71563020020-qq-02817,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサG4,GJ2/GJ3,15/08～16/10,フロント,セダン<br>E型 アイサイト付<br>フロント:277x24mm ディスク車に適合,UVコーティング,,33000,,130873,71563020010-qq-02779,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GC8,92/11～93/09,フロント,セダン<br>A型(RA含む),UVコーティング,,33000,,130844,71563020010-qq-02750,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GC8,93/10～94/08,フロント,セダン<br>B型 MT車(RA含む)及びB型 4AT車に適合,UVコーティング,,33000,,130845,71563020010-qq-02751,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GC8,94/09～96/08,フロント,セダン<br>C型(RA含む),UVコーティング,,33000,,130846,71563020010-qq-02752,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GC8,96/09～97/08,フロント,セダン<br>D型 RAを含む15インチ車に適合,UVコーティング,,33000,,130847,71563020010-qq-02753,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GC8,97/09～00/08,フロント,セダン<br>E～G型(RA含む),UVコーティング,,33000,,130848,71563020010-qq-02754,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GC8,98/01～98/08,フロント,クーペ<br>タイプR Vリミテッド(E型),UVコーティング,,33000,,130843,71563020010-qq-02749,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GD9,00/08～02/10,フロント,WRX NA(A～B型),UVコーティング,,33000,,130857,71563020010-qq-02763,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GDA,00/08～02/10,フロント,NB(A/B型),UVコーティング,,33000,,130858,71563020010-qq-02764,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GF8,93/10～96/08,フロント,A～C型,UVコーティング,,33000,,130860,71563020010-qq-02766,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GF8,96/09～98/08,フロント,D～E型,UVコーティング,,33000,,130861,71563020010-qq-02767,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX,GF8,98/09～99/08,フロント,F～G型,UVコーティング,,33000,,130862,71563020010-qq-02768,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,93/10～94/08,フロント,セダン<br>B型(GC8B48D),UVコーティング,,33000,,130849,71563020010-qq-02755,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,94/09～95/08,フロント,セダン<br>C型 RA(GC8C47D),UVコーティング,,33000,,130850,71563020010-qq-02756,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,95/08～96/08,フロント,セダン<br>Ver.II(C型・RA含む),UVコーティング,,33000,,130851,71563020010-qq-02757,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,96/09～97/08,フロント,セダン<br>Ver.III(D型)/RA(15インチ),UVコーティング,,33000,,130852,71563020010-qq-02758,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,97/09～98/08,フロント,セダン<br>Ver.IV(E型)/RA(15インチ),UVコーティング,,33000,,130853,71563020010-qq-02759,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,98/09～99/08,フロント,セダン<br>Ver.V(F型)/RA(15インチ),UVコーティング,,33000,,130854,71563020010-qq-02760,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GC8,99/09～00/08,フロント,セダン<br>Ver.VI(G型)/RA(15インチ),UVコーティング,,33000,,130855,71563020010-qq-02761,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GDB,04/06～07/11,フロント,E型-G型(RA スペックC含む)PCD:114.3/Brembo製キャリパー装着車,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130901,71563020020-qq-02811,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GDB,04/06～07/11,リア,E型-G型(RA スペックC含む)PCD:114.3/Brembo製キャリパー装着車,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130910,71563026000-qq-02820,4580439053113,09.7813.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GDB,04/12～05/11,フロント,S203 PCD:114.3<br>Brembo製キャリパー装着車,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130902,71563020020-qq-02812,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GDB,04/12～05/11,リア,S203 PCD:114.3<br>Brembo製キャリパー装着車,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130912,71563026000-qq-02822,4580439053113,09.7813.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GDB,05/12～06/11,フロント,S204 PCD:114.3<br>Brembo製キャリパー装着車,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130903,71563020020-qq-02813,4580439053106,09.7812.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GDB,05/12～06/11,リア,S204 PCD:114.3<br>Brembo製キャリパー装着車,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130913,71563026000-qq-02823,4580439053113,09.7813.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GDB,06/12～07/11,リア,タイプRA-R(6POT)12本スリット,UVコーティング/ハイカーボン/ピラーベンチレーション,,62000,,130911,71563026000-qq-02821,4580439053113,09.7813.2X,brembo,エクストラブレーキディスク,59000,60,59000,3000
スバル,インプレッサWRX Sti,GF8,93/10～94/08,フロント,B型,UVコーティング,,33000,,130863,71563020010-qq-02769,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサWRX Sti,GF8,95/08～96/08,フロント,Ver.II(C型),UVコーティング,,33000,,130864,71563020010-qq-02770,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,インプレッサXV,GH2/GH3/GH6/GH7,10/06～11/12,フロント,,UVコーティング,,33000,,130899,71563020010-qq-02805,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,エクシーガ,YA4,08/06～10/04,フロント,,UVコーティング,,33000,,130830,71563020010-qq-02736,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,エクシーガ,YA4,10/04～,フロント,,UVコーティング,,33000,,130831,71563020010-qq-02737,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,エクシーガ,YA5,08/06～10/04,フロント,NA<br>2.0i,UVコーティング,,33000,,130832,71563020010-qq-02738,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,エクシーガ,YA5,10/04～,フロント,NA<br>2.0i,UVコーティング,,33000,,130833,71563020010-qq-02739,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SF5,97/02～02/03,フロント,ターボ<br>STi除く,UVコーティング,,33000,,130834,71563020010-qq-02740,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SF5,97/02～02/03,フロント,NA<br>STi除く,UVコーティング,,33000,,130835,71563020010-qq-02741,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SF9,97/02～02/03,フロント,,UVコーティング,,33000,,130836,71563020010-qq-02742,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SG5,02/03～04/12,フロント,NA,UVコーティング,,33000,,130837,71563020010-qq-02743,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SG5,05/01～07/12,フロント,NA,UVコーティング,,33000,,130838,71563020010-qq-02744,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SH5,07/12～12/11,フロント,NA<br>2.0 X/XS,UVコーティング,,33000,,130839,71563020010-qq-02745,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SHJ,10/10～12/11,フロント,,UVコーティング,,33000,,130840,71563020010-qq-02746,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,フォレスター,SJ5,12/11～18/07,フロント,,UVコーティング,,33000,,130841,71563020010-qq-02747,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,レガシィセダン,BC5,89/02～93/09,フロント,B4<br>15インチホイール,UVコーティング,,33000,,130874,71563020010-qq-02780,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,レガシィセダン,BD5,93/09～96/06,フロント,B4<br>ターボ<br>GT,UVコーティング,,33000,,130875,71563020010-qq-02781,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,レガシィセダン,BD5,93/09～96/06,フロント,B4<br>ターボ<br>RS<br>16インチ,UVコーティング,,33000,,130877,71563020010-qq-02783,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,レガシィセダン,BD5,93/09～96/06,フロント,B4<br>NA<br>TS-R 16インチホイール,UVコーティング,,33000,,130878,71563020010-qq-02784,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
スバル,レガシィセダン,BD5,96/06～98/12,フロント,B4<br>ターボ<br>GT,UVコーティング,,33000,,130876,71563020010-qq-02782,4580439051607,09.5674.2X,brembo,エクストラブレーキディスク,30000,60,30000,3000
