自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,MRワゴン,MF21S,01/12～05/12,ターボ,フロント,20000,,171798,FP3714011-qq-e-105k,4547726567081,3714011,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,20000,600,16000,4000
スズキ,MRワゴン,MF22S,06/01～11/01,ターボ,フロント,20000,,171799,FP3714011-qq-e-106k,4547726567081,3714011,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,20000,600,16000,4000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,20800,,171821,FP3754010-qq-e-131k,4547726567210,3754010,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,21000,600,16800,4000
スズキ,アルト,HA12S,98/10～00/12,ターボ,フロント,20000,,171795,FP3714011-qq-e-102k,4547726567081,3714011,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,20000,600,16000,4000
スズキ,アルト,HA22S,98/10～04/08,ターボ,フロント,20000,,171796,FP3714011-qq-e-103k,4547726567081,3714011,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,20000,600,16000,4000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,20800,,171812,FP3714049-qq-e-121k,4547726567265,3714049,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,21000,600,16800,4000
スズキ,イグニス,FF21S,16/02～,FF&4WD,フロント,20800,,171813,FP3714049-qq-e-122k,4547726567265,3714049,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,21000,600,16800,4000
スズキ,カプチーノ,EA11R/EA21R,91/10～98/10,,フロント,20800,,171792,FP3712645-qq-e-94k,4547726567029,3712645,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,21000,600,16800,4000
スズキ,カプチーノ,EA11R/EA21R,91/10～98/10,,リア,24800,,171819,FP3754002-qq-e-129k,4547726567067,3754002,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AH14S/AH64S/AJ14S/AJ64S,89/5～94/9,,フロント,20800,,171793,FP3712645-qq-e-95k,4547726567029,3712645,DIXCEL,ブレーキディスク,FP,スリット:×<br>熱処理:〇<br>ハイカーボン材:〇,,,21000,600,16800,4000
