自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,MRワゴン,MF21S,01/12～05/12,ターボ,フロント,24800,,173023,FS3714011-qq-e-619k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,MRワゴン,MF22S,06/01～11/01,ターボ,フロント,24800,,173024,FS3714011-qq-e-620k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,25600,,173042,FS3754010-qq-e-645k,4547726577219,3754010,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,アルト,HA12S,98/10～00/12,ターボ,フロント,24800,,173020,FS3714011-qq-e-616k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,アルト,HA22S,98/10～04/08,ターボ,フロント,24800,,173021,FS3714011-qq-e-617k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,25600,,173033,FS3714049-qq-e-635k,4547726577264,3714049,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,イグニス,FF21S,16/02～,FF&4WD,フロント,25600,,173034,FS3714049-qq-e-636k,4547726577264,3714049,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,カプチーノ,EA11R/EA21R,91/10～98/10,,フロント,25600,,173013,FS3712645-qq-e-608k,4547726577028,3712645,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,カプチーノ,EA11R/EA21R,91/10～98/10,,リア,29600,,173040,FS3754002-qq-e-643k,4547726577066,3754002,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,32000,600,25600,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AH14S/AH64S/AJ14S/AJ64S,89/5～94/9,,フロント,25600,,173014,FS3712645-qq-e-609k,4547726577028,3712645,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,クロスビー,MN71S,17/12～,,フロント,25600,,173038,FS3714049-qq-e-641k,4547726577264,3714049,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,スイフト,ZC31S,05/09～11/12,,フロント,28800,,173031,FS3714019-qq-e-628k,4547726577202,3714019,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,31000,600,24800,4000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,25600,,173041,FS3754010-qq-e-644k,4547726577219,3754010,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,スイフト,ZC32S,11/12～17/09,,フロント,28000,,173032,FS3714045-qq-e-633k,4547726578865,3714045,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,30000,600,24000,4000
スズキ,スイフト,ZC32S,11/12～17/09,,リア,24800,,173043,FS3754022-qq-e-646k,4547726578841,3754022,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,スイフト,ZC33S,17/09～,,フロント,32000,,173039,FS3714087-qq-e-642k,4547726579794,3714087,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,35000,600,28000,4000
スズキ,スイフト,ZC33S,17/09～,,リア,29600,,173044,FS3754024-qq-e-647k,4547726579817,3754024,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,32000,600,25600,4000
スズキ,スペーシア,MK53S,17/12～,NA・4WD<br>ベンチディスク,フロント,25600,,173036,FS3714049-qq-e-638k,4547726577264,3714049,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,スペーシアカスタム,MK53S,17/12～,ALL,フロント,25600,,173037,FS3714049-qq-e-639k,4547726577264,3714049,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,ソリオ,MA26S/MA36S/MA46S,15/08～,,フロント,25600,,173035,FS3714049-qq-e-637k,4547726577264,3714049,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,27000,600,21600,4000
スズキ,ラパン,HE21S,02/9～08/11,ターボ<br>車台No.→973851,フロント,24800,,173022,FS3714011-qq-e-618k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,ランディ,SGNC27,16/12～,,リア,29600,,172313,FS3259252-qq-e-788k,4547726572580,3259252,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,32000,600,25600,4000
スズキ,ワゴンR,MC11S/MC12S/MC21S/MC22S,98/10～03/08,ターボ,フロント,24800,,173025,FS3714011-qq-e-621k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,ワゴンR,MH21S,03/09～07/01,ターボ,フロント,24800,,173026,FS3714011-qq-e-622k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,ワゴンR,MH22S,07/01～08/01,ターボ,フロント,24800,,173027,FS3714011-qq-e-623k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,ワゴンR+,MA63S,99/6～00/11,,フロント,24800,,173028,FS3714011-qq-e-625k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,ワゴンRソリオ,MA34S/MA64S,00/11～,,フロント,24800,,173029,FS3714011-qq-e-626k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スズキ,ワゴンRワイド,MA61/MB61,96/12～99/6,,フロント,24800,,173030,FS3714011-qq-e-627k,4547726577080,3714011,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,26000,600,20800,4000
スバル,BRZ,ZC6,12/03～,RA レーシング(GAZOO ONE MAKE RACE 車両),フロント,28800,,172804,FS3617039-qq-e-347k,4547726573945,3617039,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,レースでの使用はレギュレーションに抵触致しますのでご注意下さい,31000,600,24800,4000
スバル,BRZ,ZC6,12/03～,RA レーシング(GAZOO ONE MAKE RACE 車両),リア,30400,,172979,FS3657024-qq-e-564k,4547726576946,3657024,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,レースでの使用はレギュレーションに抵触致しますのでご注意下さい,33000,600,26400,4000
スバル,BRZ,ZC6,12/03～,S,フロント,28800,,172803,FS3617039-qq-e-346k,4547726573945,3617039,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,31000,600,24800,4000
スバル,BRZ,ZC6,12/03～,,リア,30400,,172978,FS3657024-qq-e-563k,4547726576946,3657024,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,33000,600,26400,4000
スバル,BRZ,ZC6,12/03～13/08,R 標準車,フロント,28000,,172591,FS3612827-qq-e-124k,4547726576021,3612827,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,30000,600,24000,4000
スバル,BRZ,ZC6,12/03～13/08,R<br>17インチパフォーマンスパッケージ,フロント,28800,,172801,FS3617039-qq-e-344k,4547726573945,3617039,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,31000,600,24800,4000
スバル,BRZ,ZC6,12/03～13/08,RA,フロント,28000,,172589,FS3612827-qq-e-122k,4547726576021,3612827,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,30000,600,24000,4000
スバル,BRZ,ZC6,12/03～13/08,,リア,27200,,172928,FS3657020-qq-e-509k,4547726575864,3657020,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,29000,600,23200,4000
スバル,BRZ,ZC6,12/03～13/08,,リア,30400,,172977,FS3657024-qq-e-561k,4547726576946,3657024,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,33000,600,26400,4000
スバル,BRZ,ZC6,13/08～,R 15インチブレーキ(リア:ソリッド),フロント,28000,,172592,FS3612827-qq-e-125k,4547726576021,3612827,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,30000,600,24000,4000
スバル,BRZ,ZC6,13/08～,R<br>16インチブレーキ(リア:ベンチ),フロント,28800,,172802,FS3617039-qq-e-345k,4547726573945,3617039,DIXCEL,ブレーキディスク,FS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:〇,,,31000,600,24800,4000
