自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,,フロント,20800,,175070,HD3714017-qq-e-617k,4547726537121,3714017,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,Kei,HN21S,98/10～01/03,NA,フロント,18400,,175057,HD3714013-qq-e-604k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,Kei,HN21S,98/10～01/03,ターボ,フロント,20800,,175071,HD3714017-qq-e-618k,4547726537121,3714017,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,Kei,HN22S,01/03～,ターボ<br>ワークス以外,フロント,20800,,175073,HD3714017-qq-e-620k,4547726537121,3714017,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(DJグレード以外),フロント,18400,,175058,HD3714013-qq-e-605k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(グレードDJ),フロント,20800,,175072,HD3714017-qq-e-619k,4547726537121,3714017,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,22400,,175107,HD3714027-qq-e-672k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,フロント,20800,,175074,HD3714017-qq-e-621k,4547726537121,3714017,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,リア,23200,,175211,HD3754008-qq-e-795k,4547726537169,3754008,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,MRワゴン,MF21S,01/12～04/11,NA,フロント,18400,,175061,HD3714013-qq-e-608k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,MRワゴン,MF21S,04/11～05/12,NA,フロント,22400,,175112,HD3714027-qq-e-677k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,MRワゴン,MF22S,06/01～11/01,NA,フロント,22400,,175113,HD3714027-qq-e-678k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,MRワゴン,MF33S,11/01～,NA,フロント,22400,,175114,HD3714027-qq-e-679k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,MRワゴン,MF33S,11/01～,ターボ 4WD<br>ベンチディスク,フロント,20800,,175160,HD3714033-qq-e-727k,4547726536803,3714033,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,21000,600,16800,4000
スズキ,MRワゴン,MF33S,11/01～,ターボ FF<br>ソリッドディスク,フロント,22400,,175115,HD3714027-qq-e-680k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,SX4,YA11S/YB11S/YC11S,06/07～,,フロント,24800,,175172,HD3714035-qq-e-739k,4547726536902,3714035,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
スズキ,SX4,YA41S/YB41S,06/07～,,フロント,24800,,175173,HD3714035-qq-e-740k,4547726536902,3714035,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
スズキ,X-90,LB11S,95/10～98/12,,フロント,22400,,175179,HD3714053-qq-e-756k,4547726537114,3714053,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA11S/HB11S,94/11～98/9,WORKS(ターボ),フロント,24800,,175027,HD3714003-qq-e-549k,4547726537046,3714003,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
スズキ,アルト,HA11S/HB11S,94/11～98/9,ワークス以外(NA),フロント,22400,,175018,HD3714001-qq-e-534k,4547726537039,3714001,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA12S,98/10～00/12,NA,フロント,18400,,175049,HD3714013-qq-e-593k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA12S,98/10～00/12,ターボ,リア,23200,,175209,HD3754008-qq-e-793k,4547726537169,3754008,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,アルト,HA12V,98/10～00/12,,フロント,18400,,175050,HD3714013-qq-e-594k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA21S/HB21S,94/11～98/9,,フロント,24800,,175028,HD3714003-qq-e-550k,4547726537046,3714003,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
スズキ,アルト,HA21S/HB21S,94/11～98/9,,リア,26400,,175207,HD3754006-qq-e-791k,4547726537190,3754006,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,アルト,HA22S,98/10～04/08,NA,フロント,18400,,175051,HD3714013-qq-e-595k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA22S,98/10～04/08,ターボ,リア,23200,,175210,HD3754008-qq-e-794k,4547726537169,3754008,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,アルト,HA23S/HA23V,00/12～04/08,,フロント,18400,,175052,HD3714013-qq-e-596k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,18400,,175053,HD3714013-qq-e-597k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.135031→,フロント,22400,,175101,HD3714027-qq-e-665k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,18400,,175055,HD3714013-qq-e-599k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.135031→,フロント,22400,,175103,HD3714027-qq-e-667k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,18400,,175054,HD3714013-qq-e-598k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.509893→,フロント,22400,,175102,HD3714027-qq-e-666k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,18400,,175056,HD3714013-qq-e-600k,4547726537091,3714013,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,18000,600,14400,4000
スズキ,アルト,HA24V,04/08～09/12,車台No.104001→,フロント,22400,,175104,HD3714027-qq-e-668k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA25S/HA25V/HA35S,09/12～14/12,,フロント,22400,,175105,HD3714027-qq-e-669k,4547726531990,3714027,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,アルト,HA36S,14/12～,NA,フロント,19200,,175197,HD3714083-qq-e-781k,4547726539354,3714083,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,19000,600,15200,4000
スズキ,アルト,HA36V,14/12～,,フロント,19200,,175196,HD3714083-qq-e-780k,4547726539354,3714083,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,19000,600,15200,4000
スズキ,アルト,HC11V/HD11V,94/11～98/9,,フロント,22400,,175019,HD3714001-qq-e-535k,4547726537039,3714001,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,エスクード,TA01R/TA01W/TA01V,88/5～97/8,,フロント,22400,,175178,HD3714053-qq-e-750k,4547726537114,3714053,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,エスクード,TA02W/TA52W/TD02W/TD52W,97/11～,,フロント,26400,,175186,HD3714069-qq-e-767k,4547726533871,3714069,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,エスクード,TA11W/TA31W/TD11W/TD31W,94/12～97/10,,フロント,28000,,175007,HD3710015-qq-e-497k,4547726537077,3710015,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,30000,600,24000,4000
スズキ,エスクード,TA51W/TD51W/TD61W,96/10～97/10,,フロント,28000,,175008,HD3710015-qq-e-498k,4547726537077,3710015,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,30000,600,24000,4000
スズキ,エスクード,TA74W/TD54W/TD94W,05/05～08/05,,フロント,26400,,175183,HD3714065-qq-e-763k,4547726533703,3714065,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,エスクード,TD01W,90/8～97/10,,フロント,26400,,175185,HD3714067-qq-e-765k,4547726533864,3714067,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,エスクード,TD32W/TD62W/TL52W,98/2～,,フロント,26400,,175077,HD3714021-qq-e-625k,4547726537237,3714021,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,エスクード,TDA4W/TDB4W,08/05～15/10,,フロント,26400,,175184,HD3714065-qq-e-764k,4547726533703,3714065,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,エスクード,TDA4W/TDB4W,08/05～15/10,,リア,26400,,175215,HD3754018-qq-e-799k,4547726538326,3754018,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,エブリイ+,DA32W,99/6～01/05,,フロント,22400,,175193,HD3714075-qq-e-775k,4547726535912,3714075,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,エブリイランディ,DA32W,01/05～05/07,,フロント,22400,,175192,HD3714075-qq-e-774k,4547726535912,3714075,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,23000,600,18400,4000
スズキ,エリオ,RA21S/RB21S/RC51S/RD51S,01/01～,,フロント,27200,,175191,HD3714073-qq-e-772k,4547726535905,3714073,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,29000,600,23200,4000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,AA34S/AF34S,88/8～98/7,GT-i/GT-iA(DOHC),フロント,24800,,175181,HD3714063-qq-e-761k,4547726537244,3714063,DIXCEL,ブレーキディスク,HD,スリット:×<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
