自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,,フロント,25600,,177219,HS3714017-qq-e-757k,4547726547120,3714017,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,27000,600,21600,4000
スズキ,Kei,HN21S,98/10～01/03,NA,フロント,23200,,177206,HS3714013-qq-e-744k,4547726547090,3714013,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,Kei,HN21S,98/10～01/03,ターボ,フロント,25600,,177220,HS3714017-qq-e-758k,4547726547120,3714017,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,27000,600,21600,4000
スズキ,Kei,HN22S,01/03～,ターボ<br>ワークス以外,フロント,25600,,177222,HS3714017-qq-e-760k,4547726547120,3714017,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,27000,600,21600,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(DJグレード以外),フロント,23200,,177207,HS3714013-qq-e-745k,4547726547090,3714013,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(グレードDJ),フロント,25600,,177221,HS3714017-qq-e-759k,4547726547120,3714017,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,27000,600,21600,4000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,24800,,177256,HS3714027-qq-e-812k,4547726541999,3714027,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,26000,600,20800,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,フロント,25600,,177223,HS3714017-qq-e-761k,4547726547120,3714017,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,27000,600,21600,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,リア,26400,,177360,HS3754008-qq-e-935k,4547726547168,3754008,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,28000,600,22400,4000
スズキ,MRワゴン,MF21S,01/12～04/11,NA,フロント,23200,,177210,HS3714013-qq-e-748k,4547726547090,3714013,DIXCEL,ブレーキディスク,HS,スリット:〇<br>熱処理:〇<br>ハイカーボン材:×,,,24000,600,19200,4000
