自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,,フロント,15200,,180488,PD3714017-qq-e-367k,4547726517123,3714017,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Kei,HN21S,98/10～01/03,NA,フロント,11900,,180475,PD3714013-qq-e-354k,4547726517093,3714013,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,9800,600,7900,4000
スズキ,Kei,HN21S,98/10～01/03,ターボ,フロント,15200,,180489,PD3714017-qq-e-368k,4547726517123,3714017,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Kei,HN22S,01/03～,ターボ<br>ワークス以外,フロント,15200,,180491,PD3714017-qq-e-370k,4547726517123,3714017,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(DJグレード以外),フロント,11900,,180476,PD3714013-qq-e-355k,4547726517093,3714013,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,9800,600,7900,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(グレードDJ),フロント,15200,,180490,PD3714017-qq-e-369k,4547726517123,3714017,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,14400,,180526,PD3714027-qq-e-423k,4547726511992,3714027,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,13000,600,10400,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,フロント,15200,,180492,PD3714017-qq-e-371k,4547726517123,3714017,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,リア,15900,,180641,PD3754008-qq-e-563k,4547726517161,3754008,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14800,600,11900,4000
スズキ,MRワゴン,MF21S,01/12～04/11,NA,フロント,11900,,180479,PD3714013-qq-e-358k,4547726517093,3714013,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,9800,600,7900,4000
スズキ,MRワゴン,MF21S,01/12～05/12,ターボ,フロント,14400,,180451,PD3714011-qq-e-322k,4547726517086,3714011,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,13000,600,10400,4000
スズキ,MRワゴン,MF21S,04/11～05/12,NA,フロント,14400,,180531,PD3714027-qq-e-428k,4547726511992,3714027,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,13000,600,10400,4000
スズキ,MRワゴン,MF22S,06/01～11/01,NA,フロント,14400,,180532,PD3714027-qq-e-429k,4547726511992,3714027,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,13000,600,10400,4000
スズキ,MRワゴン,MF22S,06/01～11/01,ターボ,フロント,14400,,180452,PD3714011-qq-e-323k,4547726517086,3714011,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,13000,600,10400,4000
スズキ,MRワゴン,MF33S,11/01～,NA,フロント,14400,,180533,PD3714027-qq-e-430k,4547726511992,3714027,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,13000,600,10400,4000
スズキ,MRワゴン,MF33S,11/01～,ターボ 4WD<br>ベンチディスク,フロント,15200,,180579,PD3714033-qq-e-478k,4547726516805,3714033,DIXCEL,ブレーキディスク,PD,スリット:×<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
