自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,商品コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,送料,販売価格,工賃
スズキ,Kei,HN11S/HN12S,98/10～01/11,,フロント,17600,,183864,SD3714017-qq-e-59k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,Kei,HN21S,98/10～01/03,NA,フロント,15200,,183851,SD3714013-qq-e-46k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Kei,HN21S,98/10～01/03,ターボ,フロント,17600,,183865,SD3714017-qq-e-60k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,Kei,HN22S,01/03～,ターボ<br>ワークス以外,フロント,17600,,183867,SD3714017-qq-e-62k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(DJグレード以外),フロント,15200,,183852,SD3714013-qq-e-47k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
スズキ,Kei,HN22S,01/03～04/11,NA<br>車台No.→643167(グレードDJ),フロント,17600,,183866,SD3714017-qq-e-61k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,16800,,183886,SD3714027-qq-e-115k,4547726521991,3714027,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,16000,600,12800,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,フロント,17600,,183868,SD3714017-qq-e-63k,4547726527122,3714017,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,17000,600,13600,4000
スズキ,Keiワークス,HN22S,02/11～,ターボ<br>WORKS,リア,18400,,184015,SD3754008-qq-e-253k,4547726527160,3754008,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,18000,600,14400,4000
スズキ,MRワゴン,MF21S,01/12～04/11,NA,フロント,15200,,183855,SD3714013-qq-e-50k,4547726527092,3714013,DIXCEL,ブレーキディスク,SD,スリット:○<br>熱処理:×<br>ハイカーボン材:△,,,14000,600,11200,4000
