自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,フロント,9400,,101293,331140,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,7800,,125666,335036,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ドラム,フロント,9400,,103001,331146,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
イスズ,ジェミニ,MJ2,93/1～,ABS付,フロント,9400,,101294,331140,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
イスズ,ジェミニ,MJ2,93/1～,ABS無,フロント,9400,,77058,331146,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,フロント,9400,,88234,391062,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,リア,7800,,120902,395068,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,フロント,9400,,88235,391062,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,リア,7800,,81605,395068,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Kei,HN11S/HN12S/HN21S,98/10～,,フロント,7800,,93403,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Kei,HN22S,01/03～03/08,NA<br>車台No.→620000,フロント,7800,,106530,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Kei,HN22S,01/03～03/08,ターボ<br>ワークス以外 車台No.→770000,フロント,7800,,93404,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Kei,HN22S,03/08～,ターボ<br>ワークス以外 車台No.770001→,フロント,7800,,112823,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Kei,HN22S,03/08～04/11,NA<br>車台No.620001→643167,フロント,7800,,119441,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,7800,,88549,371082,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,フロント,7800,,126069,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,リア,7800,,106104,335036,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,01/12～03/08,NA,フロント,7800,,126070,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,01/12～03/08,ターボ,フロント,7800,,112824,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,03/08～04/11,NA,フロント,7800,,86770,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,03/08～05/12,ターボ,フロント,7800,,93405,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,04/11～05/12,NA,フロント,7800,,88550,371082,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF22S,06/01～11/01,,フロント,7800,,76424,371082,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF33S,11/01～13/07,NA&ターボ,フロント,7800,,95834,371082,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,MRワゴン,MF33S,13/07～,NA&ターボ,フロント,7800,,76425,371082,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,SX4,YA11S/YB11S/YC11S,06/07～,,フロント,9400,,77048,321482,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
スズキ,SX4,YA41S/YB41S,06/07～,,フロント,9400,,77049,321482,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,7800,,106488,335112,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,X-90,LB11S,95/10～98/12,,フロント,9400,,81582,371020,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,8000,6400,3000
スズキ,アルト,CL21V,90/2～91/8,,フロント,7800,,75386,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CL22V,91/9～94/10,,フロント,7800,,75387,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CM21V,90/2～94/10,,フロント,7800,,107583,371028,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CM22V,90/2～94/10,ワークス以外(NA車)車台No.→250000,フロント,7800,,100964,371028,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CM22V,90/2～94/10,ワークス以外(NA車)車台No.250001→,フロント,7800,,81922,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CN21S,90/2～91/8,NA ABS付,フロント,7800,,88218,371032,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CN21S,90/2～91/8,NA ABS無,フロント,7800,,120884,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CP21S,90/2～91/8,NA,フロント,7800,,107581,371028,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CR22S,91/9～94/10,ワークス以外(NA車),フロント,7800,,101308,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 3ドア車 車台No.→250000,フロント,7800,,100965,371028,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 3ドア車 車台No.250001→,フロント,7800,,120885,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 5ドア車 車台No.→800000,フロント,7800,,81583,371028,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 5ドア車 車台No.800001→,フロント,7800,,81923,371026,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,NA,フロント,7800,,112822,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,フロント,7800,,126067,371054,DIXCEL,ブレーキパッド,EC,材質:NAO(ノンアスベストオーガニック材)<br>適正温度:0～450℃,,6000,4800,3000
