自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,フロント,9400,,99554,331140,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,8000,6400,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,7800,,117583,335036,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ドラム,フロント,9400,,101683,331146,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,8000,6400,3000
イスズ,ジェミニ,MJ2,93/1～,ABS付,フロント,9400,,86396,331140,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,8000,6400,3000
イスズ,ジェミニ,MJ2,93/1～,ABS無,フロント,9400,,101684,331146,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,8000,6400,3000
スズキ,Kei,HN11S/HN12S/HN21S,98/10～,,フロント,7800,,97756,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Kei,HN22S,01/03～03/08,NA<br>車台No.→620000,フロント,7800,,78382,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Kei,HN22S,01/03～03/08,ターボ<br>ワークス以外 車台No.→770000,フロント,7800,,84950,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Kei,HN22S,03/08～,ターボ<br>ワークス以外 車台No.770001→,フロント,7800,,104335,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Kei,HN22S,03/08～04/11,NA<br>車台No.620001→643167,フロント,7800,,123896,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,7800,,107262,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,フロント,7800,,104336,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,リア,7800,,124259,335036,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,01/12～03/08,NA,フロント,7800,,91216,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,01/12～03/08,ターボ,フロント,7800,,78383,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,03/08～04/11,NA,フロント,7800,,91217,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,03/08～05/12,ターボ,フロント,7800,,97758,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF21S,04/11～05/12,NA,フロント,7800,,105817,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF22S,06/01～11/01,,フロント,7800,,112218,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF33S,11/01～13/07,NA&ターボ,フロント,7800,,125051,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,MRワゴン,MF33S,13/07～,NA&ターボ,フロント,7800,,105818,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,SX4,YA11S/YB11S/YC11S,06/07～,,フロント,9400,,95874,321482,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,8000,6400,3000
スズキ,SX4,YA41S/YB41S,06/07～,,フロント,9400,,109106,321482,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,8000,6400,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,7800,,81632,335112,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CL21V,90/2～91/8,,フロント,7800,,86081,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CL22V,91/9～94/10,,フロント,7800,,98903,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CM22V,90/2～94/10,ワークス以外(NA車)車台No.250001→,フロント,7800,,125049,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CN21S,90/2～91/8,NA ABS付,フロント,7800,,117607,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CN21S,90/2～91/8,NA ABS無,フロント,7800,,79514,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CR22S,91/9～94/10,ワークス以外(NA車),フロント,7800,,105813,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 3ドア車 車台No.250001→,フロント,7800,,125050,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,CS22S,91/9～94/10,ワークス以外・NA 5ドア車 車台No.800001→,フロント,7800,,79515,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,NA,フロント,7800,,117613,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,フロント,7800,,78381,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,リア,7800,,91592,335036,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA12V,98/10～04/08,,フロント,7800,,104333,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA23S/HA23V,00/12～03/08,,フロント,7800,,91214,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA23S/HA23V,03/08～04/08,,フロント,7800,,91215,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,7800,,97753,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.135031→,フロント,7800,,113966,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,7800,,97754,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.135031→,フロント,7800,,87915,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,7800,,84949,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.509893→,フロント,7800,,113967,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,7800,,97755,371054,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.104001→,フロント,7800,,87916,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA35S,09/12～,車台No.→140000,フロント,7800,,94135,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA35S,09/12～,車台No.140001→,フロント,7800,,120632,371082,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA36S,14/12～,NA,フロント,7800,,117617,371148,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,7800,,75461,371058,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルト,HA36V,14/12～,,フロント,7800,,84955,371148,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),フロント,7800,,97742,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),リア,7800,,97761,375044,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CN21S,90/2～91/8,WORKS ie(SOHC ターボ),フロント,7800,,98902,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CN21S,90/2～91/8,WORKS RS-X(DOHC ターボ),フロント,7800,,111036,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CP21S,90/2～91/8,WORKS RS-R(DOHC ターボ),フロント,7800,,104717,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)ナビ仕様,フロント,7800,,97744,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.→250000,フロント,7800,,112215,371026,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.250001→,フロント,7800,,97743,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),フロント,7800,,104718,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),リア,7800,,104724,375044,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS ie(SOHC ターボ)車台No.250001→,フロント,7800,,124301,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),フロント,7800,,84938,371032,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),リア,7800,,111051,375044,DIXCEL,ブレーキパッド,ES,材質:ノンアスベストオーガニック材<br>適正温度:0～600℃,,6000,4800,3000
