自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,フロント,15800,,121334,331140,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,15800,,97176,335036,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ドラム,フロント,15800,,97871,331146,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ジェミニ,MJ2,93/1～,ABS付,フロント,15800,,121335,331140,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ジェミニ,MJ2,93/1～,ABS無,フロント,15800,,111156,331146,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,フロント,15800,,108730,391062,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,リア,15800,,102072,395068,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,フロント,15800,,89008,391062,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,リア,15800,,76142,395068,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,16000,12800,3000
スズキ,Kei,HN11S/HN12S/HN21S,98/10～,,フロント,12600,,99613,371054,DIXCEL,ブレーキパッド,M,材質:ノンアスベスト・セラミック複合材<br>適正温度:0～500℃,,12000,9600,3000
