自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スズキ,エスクード,TDA4W/TDB4W,08/06～,,リア,9400,,103570,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
スズキ,ジムニー,JA11C/JA11V/JA12C/JA12V/JA12W/JA22W,90/2～98/8,,フロント,11000,,97961,371900,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,10000,8000,3000
スズキ,ジムニー,JB23W,98/9～,,フロント,11000,,78548,371900,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,10000,8000,3000
スズキ,ジムニーワイド/ジムニーシエラ,JB31W/JB32W,93/5～97/12,,フロント,11000,,114752,371900,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,10000,8000,3000
スズキ,ジムニーワイド/ジムニーシエラ,JB33W/JB43W,97/12～,,フロント,11000,,94959,371900,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,10000,8000,3000
スズキ,ランディ,SC25/SNC25,07/01～10/12,,リア,9400,,123098,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
スズキ,ランディ,SC26/SNC26/SHC26,10/12～,,リア,9400,,77584,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
スバル,WRX,VAB,17/06～,STI(フロント:6ポット),フロント,19000,,88425,9911591,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,20000,16000,3000
スバル,トラヴィック,XM182/XM220,01/08～,リア:LUCAS,フロント,11000,,80697,1411309,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,MID(マルチ・インフォーメーション・ディスプレイ)付車のフロントにはウェアセンサーが装備されています<br>必要な場合は品番「0233-L720」を2本お使い下さい<br>ちなみにセンサーの形状はスバルでいう「互換前」形状になります,10000,8000,3000
スバル,トラヴィック,XM182/XM220,01/08～,リア:LUCAS,リア,9400,,95529,1451681,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,MID(マルチ・インフォーメーション・ディスプレイ)付車のフロントにはウェアセンサーが装備されています<br>必要な場合は品番「0233-L720」を2本お使い下さい<br>ちなみにセンサーの形状はスバルでいう「互換前」形状になります,8000,6400,3000
スバル,トラヴィック,XM182/XM220,01/08～01/10,リア:BOSCH,フロント,11000,,87227,1411309,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,MID(マルチ・インフォーメーション・ディスプレイ)付車のフロントにはウェアセンサーが装備されています<br>必要な場合は品番「0233-L720」を2本お使い下さい<br>ちなみにセンサーの形状はスバルでいう「互換前」形状になります,10000,8000,3000
スバル,トラヴィック,XM182/XM220,01/08～01/10,リア:BOSCH,リア,11000,,81341,1451553,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,MID(マルチ・インフォーメーション・ディスプレイ)付車のフロントにはウェアセンサーが装備されています<br>必要な場合は品番「0233-L720」を2本お使い下さい<br>ちなみにセンサーの形状はスバルでいう「互換前」形状になります,10000,8000,3000
スバル,レガシィセダン/レガシィB4,BL9改,08/06～09/05,S402,フロント,19000,,114429,9911591,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,20000,16000,3000
トヨタ,86,ZN6,12/04～,TRD ブレーキキット ブレンボ 4ポット,リア,12600,,104206,281001,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,12000,9600,3000
トヨタ,FJクルーザー,GSJ15W,10/12～,2006からの並行輸入もパッドは同じ,リア,9400,,125838,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ハイラックスサーフ,GRN210W/KDN210W/RZN210W/TRN210W/VZN210W/GRN215W/KDN215W/RZN215W/TRN215W/VZN215W,02/11～,,リア,9400,,86612,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ランドクルーザープラド,GRJ120W/GRJ121W/GRJ125W/KDJ120W/KDJ121W/KDJ125W/RZJ120W/RZJ121W/RZJ125W/TRJ120W/TRJ121W/TRJ125W/VZJ120W/VZJ121W/VZJ125W,02/09～09/09,,リア,9400,,119307,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ランドクルーザープラド,KZJ71G/KZJ71W/KZJ78G/KZJ78W,93/5～96/4,,リア,9400,,119306,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ランドクルーザープラド,KZJ90W/VZJ90W/RZJ90W/KDJ90W/KZJ95W/VZJ95W/RZJ95W/KDJ95W,96/4～02/11,,リア,9400,,79984,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ランドクルーザープラド,LJ71G,90/4～93/5,,フロント,11000,,119302,311192,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,10000,8000,3000
トヨタ,ランドクルーザープラド,LJ71G,90/4～93/5,,リア,9400,,86613,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ランドクルーザープラド,LJ78G/LJ78W,90/4～93/5,,リア,9400,,86614,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
トヨタ,ランドクルーザープラド,TRJ150W/GRJ150W/GRJ151W/GDJ150W,09/09～,,リア,9400,,99373,315180,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
日産,エクストレイル,HT32/HNT32,15/04～15/08,,リア,9400,,77583,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
日産,エクストレイル,T30/NT30/PNT30,00/11～07/08,,リア,9400,,77581,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
日産,エクストレイル,T31/NT31/TNT31/DNT31,07/08～,,リア,9400,,77582,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
日産,エクストレイル,T32/NT32,13/12～15/08,5人乗り,リア,9400,,123097,325488,DIXCEL,ブレーキパッド,P,材質:セラミック系複合材<br>適正温度:0～500℃,,8000,6400,3000
