自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,フロント,29400,,80059,331140,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,33000,26400,3000
イスズ,ジェミニ,MJ2,93/1～,ABS付,フロント,29400,,125587,331140,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,33000,26400,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,25400,,120361,335112,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,エスクード,TDA4W/TDB4W,08/06～,,リア,25400,,105621,325488,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,キザシ,RE91S/RF91S,09/10～,,リア,25400,,113722,335112,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,スイフト,HT81S,00/01～05/04,,リア,25400,,111871,355257,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,フロント,25400,,125219,351102,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,25400,,93904,335112,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,スイフト,ZC32S,11/12～17/09,,フロント,25400,,125218,351102,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
スズキ,スイフト,ZC33S,17/09～,,フロント,25400,,125220,351102,DIXCEL,ブレーキパッド,RA,材質:カーボンセミメタル<br>適正温度:200～900℃<br>初期μ:0.51<br>平均μ:0.40～0.45,,28000,22400,3000
