自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,23800,,122141,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,リア,23800,,102144,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,23800,,98152,335112,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,リア,23800,,102143,335036,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),リア,23800,,91730,375044,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),リア,23800,,117857,375044,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),リア,23800,,104815,375044,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,カプチーノ,EA11R/EA21R,91/10～,,リア,23800,,124380,375044,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,カルタス/カルタスクレセント/カルタスエスティーム,GC41W,95/1～02/08,,リア,23800,,115058,355042,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,キザシ,RE91S/RF91S,09/10～,,リア,23800,,104805,335112,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,リア,23800,,112344,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,23800,,91966,335112,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC32S,11/12～17/09,,リア,23800,,118920,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC33S,17/09～,,リア,23800,,86241,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC43S,17/01～,SL リア:ディスク,リア,23800,,79701,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC72S,10/09～,XS,リア,23800,,125242,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC72S,10/09～17/01,RS リア:ディスク,リア,23800,,98171,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZC83S,17/01～,RS/XL リア:ディスク,リア,23800,,125243,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZD72S,10/09～17/01,,リア,23800,,118919,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スズキ,スイフト,ZD83S,17/01～,XL リア:ディスク,リア,23800,,105653,375131,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スバル,BRZ,ZC6,12/03～,RAレーシング(GAZOO ONE MAKE RACE 車両),リア,23800,,104809,365085,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スバル,BRZ,ZC6,12/03～,S,リア,23800,,118014,365085,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
スバル,BRZ,ZC6,12/03～13/08,R,リア,23800,,98156,365085,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,SとR・17インチパフォーマンスパッケージのフロントには標準でサーキット対応のスポーツパッドが採用されています,26000,20800,3000
スバル,BRZ,ZC6,12/03～13/08,R ,リア,23800,,105096,365089,DIXCEL,ブレーキパッド,RD,材質:シンタードメタリック<br>有効温度内平均摩擦係数:0.55～0.60,,26000,20800,3000
