自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,17400,,111888,335036,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,リア,17400,,98528,335036,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,17400,,101510,335112,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,リア,17400,,105101,335036,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,アルトワークス,CM22V,90/2～94/10,WORKS R(DOHC ターボ),リア,17400,,77612,375044,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,アルトワークス,CR22S,91/9～94/10,WORKS RS-X(DOHC ターボ),リア,17400,,110264,375044,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,アルトワークス,CS22S,91/9～94/10,WORKS RS-R(DOHC ターボ),リア,17400,,110263,375044,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,カプチーノ,EA11R/EA21R,91/10～,,リア,17400,,103609,375044,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,キザシ,RE91S/RF91S,09/10～,,リア,17400,,121119,335112,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,スイフト,HT81S,00/01～05/04,,リア,17400,,123132,355257,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,スイフト,ZC11S/ZC21S/ZC71S,04/11～10/09,,フロント,19000,,97020,371039,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,20000,16000,3000
スズキ,スイフト,ZC13S/ZC53S/ZD53S,17/01～,,リア,17400,,123135,375131,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,スイフト,ZC31S,05/09～11/12,,フロント,19000,,123134,371039,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,20000,16000,3000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,17400,,114770,335112,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,スイフト,ZC32S,11/12～17/09,,リア,17400,,77613,375131,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,スイフト,ZC33S,17/09～,,リア,17400,,90455,375131,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
スズキ,スイフト,ZC43S,17/01～,SL リア:ディスク,リア,17400,,110265,375131,DIXCEL,ブレーキパッド,RN,材質:ノンアスベスト,,18000,14400,3000
