自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,フロント,32700,,113405,331140,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
イスズ,ジェミニ,MJ2,93/1～,ABS付,フロント,32700,,113406,331140,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,28200,,121719,335112,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スズキ,キザシ,RE91S/RF91S,09/10～,,リア,28200,,121718,335112,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スズキ,スイフト,ZC31S,05/09～11/12,,リア,28200,,76218,335112,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,28000,25200,3000
スバル,BRZ,ZC6,12/03～,RAレーシング(GAZOO ONE MAKE RACE 車両),リア,32700,,91452,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,BRZ,ZC6,12/03～,S,フロント,37200,,76221,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,BRZ,ZC6,12/03～,S,リア,32700,,78598,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,BRZ,ZC6,12/03～13/08,R,リア,32700,,78597,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,SとR・17インチパフォーマンスパッケージのフロントには標準でサーキット対応のスポーツパッドが採用されています,33000,29700,3000
スバル,BRZ,ZC6,12/03～13/08,R 17インチパフォーマンスパッケージ ,フロント,37200,,108474,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,BRZ,ZC6,12/03～13/08,R 標準車,フロント,37200,,82456,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,BRZ,ZC6,12/03～13/08,RA,フロント,37200,,121723,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,BRZ,ZC6,13/08～,R,リア,32700,,124119,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,SとR・17インチパフォーマンスパッケージのフロントには標準でサーキット対応のスポーツパッドが採用されています,33000,29700,3000
スバル,BRZ,ZC6,13/08～,R 15インチブレーキ(リア:ソリッド),フロント,37200,,95572,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,BRZ,ZC6,13/08～,R 16インチブレーキ(リア:ベンチ) ,フロント,37200,,95573,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
スバル,BRZ,ZC6,13/08～,RA,リア,32700,,91451,365085,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,33000,29700,3000
スバル,BRZ,ZC6,13/08～,RA 15インチブレーキ(リア:ソリッド) ,フロント,37200,,101808,361055,DIXCEL,ブレーキパッド,SP-α,材質:カーボンセミメタル<br>初期μ:0.55<br>平均μ:0.43～0.48,,38000,34200,3000
