自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
スズキ,Kei,HN11S/HN12S/HN21S,98/10～,,フロント,24600,,102536,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,Kei,HN22S,01/03～03/08,NA<br>車台No.→620000,フロント,24600,,115416,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,Kei,HN22S,01/03～03/08,ターボ<br>ワークス以外 車台No.→770000,フロント,24600,,115417,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,Kei,HN22S,03/08～,ターボ<br>ワークス以外 車台No.770001→,フロント,24600,,102537,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,Kei,HN22S,03/08～04/11,NA<br>車台No.620001→643167,フロント,24600,,89460,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,Kei,HN22S,04/11～,NA<br>車台No.643168→,フロント,24600,,76942,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,フロント,24600,,109227,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF21S,01/12～03/08,NA,フロント,24600,,109229,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF21S,01/12～03/08,ターボ,フロント,24600,,76635,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF21S,03/08～04/11,NA,フロント,24600,,122162,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF21S,03/08～05/12,ターボ,フロント,24600,,83141,371054,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF21S,04/11～05/12,NA,フロント,24600,,115827,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF22S,06/01～11/01,,フロント,24600,,83145,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
スズキ,MRワゴン,MF33S,11/01～13/07,NA&ターボ,フロント,24600,,115828,371082,DIXCEL,ブレーキパッド,SP-K,材質:グラファイト・メタリック<br>適正温度:50～800℃,,24000,21600,3000
