自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,17400,,124731,335036,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,フロント,19000,,94678,391062,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,リア,17400,,75301,395068,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,フロント,19000,,81833,391062,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,リア,17400,,114493,395068,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,Kei,HN11S/HN12S/HN21S,98/10～,,フロント,15000,,124767,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,Kei,HN22S,01/03～03/08,NA<br>車台No.→620000,フロント,15000,,111520,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,Kei,HN22S,01/03～03/08,ターボ<br>ワークス以外 車台No.→770000,フロント,15000,,79217,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,Kei,HN22S,03/08～,ターボ<br>ワークス以外 車台No.770001→,フロント,15000,,118071,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,Kei,HN22S,03/08～04/11,NA<br>車台No.620001→643167,フロント,15000,,118070,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,フロント,15000,,92058,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,Keiワークス,HN22S,02/11～,ターボ,リア,17400,,92039,335036,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,MRワゴン,MF21S,01/12～03/08,NA,フロント,15000,,124435,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,MRワゴン,MF21S,01/12～03/08,ターボ,フロント,15000,,98222,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,MRワゴン,MF21S,03/08～04/11,NA,フロント,15000,,118073,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,MRワゴン,MF21S,03/08～05/12,ターボ,フロント,15000,,104877,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,SX4,YA11S/YB11S/YC11S,06/07～,,フロント,19000,,91169,321482,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,SX4,YA41S/YB41S,06/07～,,フロント,19000,,78310,321482,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,SX4,YA41S/YB41S,06/07～,,リア,17400,,94276,335112,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,X-90,LB11S,95/10～98/12,,フロント,19000,,78631,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,NA,フロント,15000,,98630,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,フロント,15000,,105187,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA12S/HA22S,98/10～04/08,ターボ,リア,17400,,118061,335036,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,18000,14400,3000
スズキ,アルト,HA12V,98/10～04/08,,フロント,15000,,105186,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA23S/HA23V,00/12～03/08,,フロント,15000,,111518,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA23S/HA23V,03/08～04/08,,フロント,15000,,111519,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA24S,04/08～09/12,E/G/G スペシャル 車台No.→135030,フロント,15000,,105188,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA24S,04/08～09/12,X(4WD)車台No.→135030,フロント,15000,,92056,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA24S,04/08～09/12,X(FF)車台No.→509892,フロント,15000,,98631,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA24V,04/08～09/12,車台No.→104000,フロント,15000,,92057,371054,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,アルト,HA36S,14/12～,ターボ(WORKS&RS),フロント,15000,,90807,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,イグニス,FF21S,16/02～,FF&4WD,フロント,15000,,97056,371058,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,15000,12000,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.800001→810000,フロント,19000,,104601,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.810001→830000,フロント,19000,,78629,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01R,88/5～97/10,車台No.830001→,フロント,19000,,110943,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01V,88/5～97/10,,フロント,19000,,104602,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.800001→830000,フロント,19000,,117492,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
スズキ,エスクード,TA01W,88/5～97/10,車台No.830001→900000,フロント,19000,,104603,371020,DIXCEL,ブレーキパッド,X,材質:グラファイト・メタリック<br>適正温度:0～700℃,,20000,16000,3000
