自動車メーカー,車種,型式,年式,適合詳細,Fr/Rr,SET価格,Camp価格,商品ID,メーカー品番,メーカー名,商品名,種類,仕様,備考,定価,販売価格,工賃
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,フロント,20600,,81510,331140,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,22000,17600,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ディスク,リア,19000,,106828,335036,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,20000,16000,3000
イスズ,ジェミニ,MJ1,93/1～,リア:ドラム,フロント,20600,,116255,331146,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,22000,17600,3000
イスズ,ジェミニ,MJ2,93/1～,ABS付,フロント,20600,,88149,331140,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,22000,17600,3000
イスズ,ジェミニ,MJ2,93/1～,ABS無,フロント,20600,,122893,331146,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,22000,17600,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,フロント,20600,,105719,391062,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,22000,17600,3000
イスズ,ビッグホーン,UBS25/UBS26/UBS69/UBS73,91/12～,,リア,19000,,118650,395068,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,20000,16000,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,フロント,20600,,112087,391062,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,22000,17600,3000
イスズ,ミュー/ミューウィザード,UCS69,93/7～98/4,,リア,19000,,79756,395068,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,20000,16000,3000
スズキ,Kei,HN11S/HN12S/HN21S,98/10～,,フロント,15800,,120507,371054,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,16000,12800,3000
スズキ,Kei,HN22S,01/03～03/08,NA<br>車台No.→620000,フロント,15800,,120508,371054,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,16000,12800,3000
スズキ,Kei,HN22S,01/03～03/08,ターボ<br>ワークス以外 車台No.→770000,フロント,15800,,113853,371054,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,16000,12800,3000
スズキ,Kei,HN22S,03/08～,ターボ<br>ワークス以外 車台No.770001→,フロント,15800,,113854,371054,DIXCEL,ブレーキパッド,Z,材質:グラファイト・メタリック<br>適正温度:0～850℃,,16000,12800,3000
