自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,リア,21800,,270729,CCRg-EP312-qq-e-9627k,CCRg-EP312-qq-e-d-9627k,4515693333121,EP312,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,エスクード/エスクードノマド,YD21S/YE21S,H27/10～,1600,,リア,21800,,271087,CCRg-EP488-qq-e-9628k,CCRg-EP488-qq-e-d-9628k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,リア,21800,,270730,CCRg-EP312-qq-e-9629k,CCRg-EP312-qq-e-d-9629k,4515693333121,EP312,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC11S/ZC21S,H16/11～H22/9,1300～1500,,フロント,21800,,271019,CCRg-EP430-qq-e-5381k,CCRg-EP430-qq-e-d-5381k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC13S,H29/7～,1000,,フロント,21800,,271085,CCRg-EP487-qq-e-5390k,CCRg-EP487-qq-e-d-5390k,4515693334876,EP487,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC13S,H29/7～,1000,,リア,21800,,271092,CCRg-EP488-qq-e-9636k,CCRg-EP488-qq-e-d-9636k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,フロント,21800,,271084,CCRg-EP487-qq-e-5389k,CCRg-EP487-qq-e-d-5389k,4515693334876,EP487,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC43S/ZC83S/ZD83S,H29/2～,1300,4輪ディスク,リア,21800,,271091,CCRg-EP488-qq-e-9635k,CCRg-EP488-qq-e-d-9635k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,フロント,21800,,271083,CCRg-EP487-qq-e-5388k,CCRg-EP487-qq-e-d-5388k,4515693334876,EP487,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC53S/ZD53S,H29/2～,1300,,リア,21800,,271090,CCRg-EP488-qq-e-9634k,CCRg-EP488-qq-e-d-9634k,4515693334883,EP488,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC71S,H19/5～H29/1,1200,リアドラム,フロント,21800,,271022,CCRg-EP430-qq-e-5384k,CCRg-EP430-qq-e-d-5384k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
スズキ,スイフト,ZC72S,H22/9～H29/1,1200,リアドラム,フロント,21800,,271023,CCRg-EP430-qq-e-5385k,CCRg-EP430-qq-e-d-5385k,4515693334302,EP430,ENDLESS,ブレーキパッド,CCRg,ローター適正温度域:50～800℃<br>平均摩擦係数:0.38～0.45<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ワインディング～サーキット,,,28000,20162
