自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,リア,19100,,271226,MX72-EP210-qq-e-9025k,MX72-EP210-qq-e-d-9025k,4515693012101,EP210,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,フロント,19100,,272023,MX72-EP401-qq-e-4383k,MX72-EP401-qq-e-d-4383k,4515693014013,EP401,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,H18/7～H26/11,1500～2000,,リア,19100,,271614,MX72-EP312-qq-e-9022k,MX72-EP312-qq-e-d-9022k,4515693013122,EP312,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,SX4,YC11S,H21/5～H26/11,1500,,フロント,19100,,272024,MX72-EP401-qq-e-4384k,MX72-EP401-qq-e-d-4384k,4515693014013,EP401,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,アルト/アルトワークス,HA22S,H10/10～H17/1,660,ワークス・RS/Z・4輪ディスク,リア,19100,,271225,MX72-EP210-qq-e-9021k,MX72-EP210-qq-e-d-9021k,4515693012101,EP210,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,エスクード/エスクードノマド,YD21S/YE21S,H27/10～,1600,,リア,19100,,272419,MX72-EP488-qq-e-9023k,MX72-EP488-qq-e-d-9023k,4515693014884,EP488,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,フロント,19100,,272306,MX72-EP468-qq-e-4385k,MX72-EP468-qq-e-d-4385k,4515693014686,EP468,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,キザシ,RE91S/RF91S,H21/10～,2400,,リア,19100,,271615,MX72-EP312-qq-e-9024k,MX72-EP312-qq-e-d-9024k,4515693013122,EP312,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,スイフト,ZC11S/ZC21S,H16/11～H22/9,1300～1500,,フロント,19100,,272155,MX72-EP430-qq-e-4386k,MX72-EP430-qq-e-d-4386k,4515693014303,EP430,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
スズキ,スイフト,ZC13S,H29/7～,1000,,フロント,19100,,272417,MX72-EP487-qq-e-4395k,MX72-EP487-qq-e-d-4395k,4515693014877,EP487,ENDLESS,ブレーキパッド,MX72,ローター適正温度域:50～700℃<br>平均摩擦係数:0.37～0.47<br>材質:セミメタル(セラミックカーボンメタル)<br>走行フィールド:ストリート～サーキット<br>ベストマッチタイヤ:ラジアル～ハイグリップラジアル,,,24000,17370
