自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,販売価格
スズキ,Kei,HN11S/HN21S,H10/10～H21/10,660,,フロント,13800,,277062,SSS-EP361-qq-e-2446k,SSS-EP361-qq-e-d-2446k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Kei,HN22S,H10/10～H21/10,660,NA ～620000,フロント,13800,,277065,SSS-EP361-qq-e-2449k,SSS-EP361-qq-e-d-2449k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 620001～643168,フロント,13800,,277066,SSS-EP361-qq-e-2450k,SSS-EP361-qq-e-d-2450k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 643169～,フロント,13800,,277745,SSS-EP441-qq-e-2451k,SSS-EP441-qq-e-d-2451k,4515693094411,EP441,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ 770001～,フロント,13800,,277064,SSS-EP361-qq-e-2448k,SSS-EP361-qq-e-d-2448k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ No.～770000,フロント,13800,,277063,SSS-EP361-qq-e-2447k,SSS-EP361-qq-e-d-2447k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,フロント,13800,,277067,SSS-EP361-qq-e-2452k,SSS-EP361-qq-e-d-2452k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,リア,13800,,275931,SSS-EP210-qq-e-7330k,SSS-EP210-qq-e-d-7330k,4515693092103,EP210,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.～140469)/11181(No.～531118)/11364(No.～354147),フロント,13800,,277060,SSS-EP361-qq-e-2439k,SSS-EP361-qq-e-d-2439k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.140470～163579)/11181(No.531119～)/11364(No.354148～409137)/12362(No.～409137)/12363(No.～163579),フロント,13800,,277061,SSS-EP361-qq-e-2440k,SSS-EP361-qq-e-d-2440k,4515693093612,EP361,ENDLESS,ブレーキパッド,SSS,低ダストタイプ<br>ローター適正温度域:0～480℃<br>平均摩擦係数:0.38～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,ダスト量は使用環境・走行ステージ等によって変化します,16000,11786
