自動車メーカー,車種,型式,年式,排気量,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,種類,仕様,備考,注意事項,定価,掛け,販売価格
スズキ,Kei,HN11S/HN21S,H10/10～H21/10,660,,フロント,11100,,279701,SSY-EP361-qq-e-1333k,SSY-EP361-qq-e-d-1333k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Kei,HN22S,H10/10～H21/10,660,NA ～620000,フロント,11100,,279704,SSY-EP361-qq-e-1336k,SSY-EP361-qq-e-d-1336k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 620001～643168,フロント,11100,,279705,SSY-EP361-qq-e-1337k,SSY-EP361-qq-e-d-1337k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Kei,HN22S,H10/10～H21/10,660,NA 643169～,フロント,11100,,280391,SSY-EP441-qq-e-1338k,SSY-EP441-qq-e-d-1338k,4515693314410,EP441,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ 770001～,フロント,11100,,279703,SSY-EP361-qq-e-1335k,SSY-EP361-qq-e-d-1335k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Kei,HN22S,H10/10～H21/10,660,ターボ No.～770000,フロント,11100,,279702,SSY-EP361-qq-e-1334k,SSY-EP361-qq-e-d-1334k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,フロント,11100,,279706,SSY-EP361-qq-e-1339k,SSY-EP361-qq-e-d-1339k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,Keiワークス,HN22S,H14/11～H21/10,660,,リア,11100,,278571,SSY-EP210-qq-e-6710k,SSY-EP210-qq-e-d-6710k,4515693312102,EP210,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.～140469)/11181(No.～531118)/11364(No.～354147),フロント,11100,,279699,SSY-EP361-qq-e-1321k,SSY-EP361-qq-e-d-1321k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
スズキ,MRワゴン,MF21S,H13/12～H18/1,660,型式指定:11180(No.140470～163579)/11181(No.531119～)/11364(No.354148～409137)/12362(No.～409137)/12363(No.～163579),フロント,11100,,279700,SSY-EP361-qq-e-1322k,SSY-EP361-qq-e-d-1322k,4515693313611,EP361,ENDLESS,ブレーキパッド,SSY,ローター適正温度域:0～400℃<br>平均摩擦係数:0.35～0.45<br>材質:ノンアスベスト<br>走行フィールド:ストリート～ワインディング,,,12000,60,8994
