自動車メーカー,車種,型式,年式,適合詳細,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,セット内容,純正品番(刻印/ラベル品番)フロント,純正品番(刻印/ラベル品番)リア,備考,注意事項,セット内容,定価,販売価格,,取付特記事項
スズキ,Kei,HN21S,98/09～01/03,純正品番が合えばHN11Sも適合可,69700,,306194,KYB-repair-qq-e-n-i-197k,KYB-repair-qq-e-d-n-i-197k,4909500966686<br>4909500966709<br>4549762033384,フロント:KST5355R/KST5355L<br>リア:KSF1153X×2,KYB,補修用ショック,1台分,右:41601-84H50(41601-84H50)<br>左:41602-84H50(41602-84H50),41800-74G01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,45600,53922,,
スズキ,Kei,HN22S,03/08～,純正品番が合えばHN11Sも適合可,69700,,306195,KYB-repair-qq-e-n-i-198k,KYB-repair-qq-e-d-n-i-198k,4909500966686<br>4909500966709<br>4549762033384,フロント:KST5355R/KST5355L<br>リア:KSF1153X×2,KYB,補修用ショック,1台分,右:41601-84H50(41601-84H50)<br>左:41602-84H50(41602-84H50),41800-74G01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,45600,53922,,
スズキ,アルト,HA24S,04/08～,,67000,,306196,KYB-repair-qq-e-n-i-199k,KYB-repair-qq-e-d-n-i-199k,4909500898666<br>4909500898680<br>4909500898567,フロント:KST5285R/KST5285L<br>リア:KSF1170×2,KYB,補修用ショック,1台分,右:41601-72J50(41601-72J50)<br>41601-72J51(41601-72J51)<br>41601-72J60(41601-72J60)<br>41601-72J61(41601-72J61)<br>左:41602-72J50(41602-72J50)<br>41602-72J51(41602-72J51)<br>41602-72J60(41602-72J60)<br>41602-72J61(41602-72J61),41800-72JA0(41800-72JA0)<br>41800-72JB0(41800-72JB0),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,41400,51456,,
スズキ,アルト,HA25S,09/09～,,66600,,306197,KYB-repair-qq-e-n-i-200k,KYB-repair-qq-e-d-n-i-200k,4909500889848<br>4909500889862<br>4909500889824,フロント:KST5439R/KST5439L<br>リア:KSF1105×2,KYB,補修用ショック,1台分,右:41601-64L00(41601-64L00)<br>41601-64L01(41601-64L01)<br>左:41602-64L00(41602-64L00)<br>41602-64L01(41602-64L01),41800-64L00(41800-64L00),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,40800,51104,,
スズキ,エブリイ/キャリイ,DA52V/DB52V,98/12～01/08,,68900,,306198,KYB-repair-qq-e-n-i-201k,KYB-repair-qq-e-d-n-i-201k,4909500860687<br>4909500860700<br>4909500854303,フロント:KST5469R/KST5469L<br>リア:KSA1060×2,KYB,補修用ショック,1台分,右:41601-78A00<br>41601-78A10<br>左:41602-78A00<br>41602-78A10,41700-79A01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,44420,53228,,
スズキ,エブリイ/キャリイ,DA52W/DB52W,98/12～01/08,,68900,,306199,KYB-repair-qq-e-n-i-202k,KYB-repair-qq-e-d-n-i-202k,4909500860687<br>4909500860700<br>4909500854303,フロント:KST5469R/KST5469L<br>リア:KSA1060×2,KYB,補修用ショック,1台分,右:41601-78A00<br>41601-78A10<br>左:41602-78A00<br>41602-78A10,41700-79A01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,44420,53228,,
スズキ,エブリイ/キャリイ,DA62V,01/08～05/08,,70100,,306200,KYB-repair-qq-e-n-i-204k,KYB-repair-qq-e-d-n-i-204k,4909500854327<br>4909500854358<br>4909500854303,フロント:KST5284R/KST5284L<br>リア:KSA1060×2,KYB,補修用ショック,1台分,右:41601-65H10<br>41601-65H50<br>左:41602-65H10<br>41602-65H50,41700-79A01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,46200,54275,,
スズキ,エブリイ/キャリイ,DA62W,01/08～05/08,,70100,,306201,KYB-repair-qq-e-n-i-205k,KYB-repair-qq-e-d-n-i-205k,4909500854327<br>4909500854358<br>4909500854303,フロント:KST5284R/KST5284L<br>リア:KSA1060×2,KYB,補修用ショック,1台分,右:41601-65H10<br>41601-65H50<br>左:41602-65H10<br>41602-65H50,41700-79A01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,46200,54275,,
スズキ,エブリイ/キャリイ,DA64V,05/08～08/04,,67900,,306202,KYB-repair-qq-e-n-i-208k,KYB-repair-qq-e-d-n-i-208k,4909500858950<br>4909500858974<br>4909500858882,フロント:KSD5371R/KSD5371L<br>リア:KSA1095×2,KYB,補修用ショック,1台分,右:41601-68H00<br>左:41602-68H00,41700-68H00<br>41700-68H01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,42800,52278,,
スズキ,エブリイ/キャリイ,DA64V,08/04～,,67900,,306203,KYB-repair-qq-e-n-i-209k,KYB-repair-qq-e-d-n-i-209k,4909500858981<br>4909500859001<br>4909500858882,フロント:KST5435R/KST5435L<br>リア:KSA1095×2,KYB,補修用ショック,1台分,右:41601-68H50<br>左:41602-68H50,41700-68H00<br>41700-68H01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,42800,52278,,
スズキ,ジムニー,JB43W,00/04～,,54200,,306204,KYB-repair-qq-e-n-i-211k,KYB-repair-qq-e-d-n-i-211k,4549762055560<br>4549762130243,フロント:KSA1324×2<br>リア:KSF1347×2,KYB,補修用ショック,1台分,41600-81AB0,41700-81A01,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,21800,39563,,
スズキ,パレット,MK21S,,,68300,,306205,KYB-repair-qq-e-n-i-212k,KYB-repair-qq-e-d-n-i-212k,4549762221163<br>4549762221149<br>4549762222764,フロント:KST5393R/KST5393L<br>リア:KSF1099×2,KYB,補修用ショック,1台分,右:41601-82K51(41601-82K51)<br>左:41602-82K51(41602-82K51),41800-82K00,,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,43400,52630,,
スズキ,ワゴンR,MC11S/MC21S,98/09～00/11,,75700,,306206,KYB-repair-qq-e-n-i-213k,KYB-repair-qq-e-d-n-i-213k,4909500883860<br>4909500883884<br>4909500883785,フロント:KST5491R/KST5491L<br>リア:KSF1153×2,KYB,補修用ショック,1台分,右:41601-76F00(41601-76F00)<br>41601-76F50(41601-76F50)<br>左:41602-76F00(41602-76F00)<br>41602-76F50(41602-76F50),41800-76F01(41800-76F01)<br>41800-76F03(41800-76F03),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,54800,59325,,
スズキ,ワゴンR,MC11S/MC21S,98/09～00/11,,78400,,306207,KYB-repair-qq-e-n-i-214k,KYB-repair-qq-e-d-n-i-214k,4909500883907<br>4909500883921<br>4909500883785,フロント:KST5492R/KST5492L<br>リア:KSF1153×2,KYB,補修用ショック,1台分,右:41601-76F10(41601-76F10)<br>41601-76F60(41601-76F60)<br>左:41602-76F10(41602-76F10)<br>41602-76F60(41602-76F60),41800-76F01(41800-76F01)<br>41800-76F03(41800-76F03),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,59000,61791,,
スズキ,ワゴンR,MC12S,00/11～01/10,,78400,,306208,KYB-repair-qq-e-n-i-215k,KYB-repair-qq-e-d-n-i-215k,4909500883907<br>4909500883921<br>4909500883785,フロント:KST5492R/KST5492L<br>リア:KSF1153×2,KYB,補修用ショック,1台分,右:41601-76F10(41601-76F10)<br>41601-76F60(41601-76F60)<br>左:41602-76F10(41602-76F10)<br>41602-76F60(41602-76F60),41800-76F01(41800-76F01)<br>41800-76F03(41800-76F03),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,59000,61791,,
スズキ,ワゴンR,MC12S,00/11～01/10,,75700,,306209,KYB-repair-qq-e-n-i-216k,KYB-repair-qq-e-d-n-i-216k,4909500884188<br>4909500884201<br>4909500883785,フロント:KST5493R/KST5493L<br>リア:KSF1153×2,KYB,補修用ショック,1台分,右:41601-76F01(41601-76F01)<br>41601-76F51(41601-76F51)<br>41601-76F52(41601-76F52)<br>左:41602-76F01(41602-76F01)<br>41602-76F51(41602-76F51)<br>41602-76F52(41602-76F52),41800-76F01(41800-76F01)<br>41800-76F03(41800-76F03),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,54800,59325
スズキ,ワゴンR,MC12S,00/11～01/10,,75700,,306210,KYB-repair-qq-e-n-i-217k,KYB-repair-qq-e-d-n-i-217k,4909500884188<br>4909500884201<br>4909500883808,フロント:KST5493R/KST5493L<br>リア:KSF1154×2,KYB,補修用ショック,1台分,右:41601-76F01(41601-76F01)<br>41601-76F51(41601-76F51)<br>41601-76F52(41601-76F52)<br>左:41602-76F01(41602-76F01)<br>41602-76F51(41602-76F51)<br>41602-76F52(41602-76F52),41800-76F12(41800-76F12)<br>41800-76F14(41800-76F14),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,54800,59325
スズキ,ワゴンR,MC22S,00/11～02/03,,75700,,306211,KYB-repair-qq-e-n-i-218k,KYB-repair-qq-e-d-n-i-218k,4909500884188<br>4909500884201<br>4909500883808,フロント:KST5493R/KST5493L<br>リア:KSF1154×2,KYB,補修用ショック,1台分,右:41601-76F01(41601-76F01)<br>41601-76F51(41601-76F51)<br>41601-76F52(41601-76F52)<br>左:41602-76F01(41602-76F01)<br>41602-76F51(41602-76F51)<br>41602-76F52(41602-76F52),41800-76F12(41800-76F12)<br>41800-76F14(41800-76F14),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,54800,59325
スズキ,ワゴンR,MC22S,02/04～02/08,,78400,,306212,KYB-repair-qq-e-n-i-219k,KYB-repair-qq-e-d-n-i-219k,4909500884225<br>4909500884249<br>4909500883808,フロント:KST5494R/KST5494L<br>リア:KSF1154×2,KYB,補修用ショック,1台分,右:41601-76F61(41601-76F61)<br>41601-76F62(41601-76F62)<br>左:41602-76F61(41602-76F61)<br>41602-76F62(41602-76F62),41800-76F12(41800-76F12)<br>41800-76F14(41800-76F14),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,59000,61791
スズキ,ワゴンR,MC22S,02/08～03/09,,78400,,306213,KYB-repair-qq-e-n-i-220k,KYB-repair-qq-e-d-n-i-220k,4909500884225<br>4909500884249<br>4909500883822,フロント:KST5494R/KST5494L<br>リア:KSF1155×2,KYB,補修用ショック,1台分,右:41601-76F61(41601-76F61)<br>41601-76F62(41601-76F62)<br>左:41602-76F61(41602-76F61)<br>41602-76F62(41602-76F62),41800-83H00(41800-83H00),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,59000,61791
スズキ,ワゴンR,MC22S,02/08～03/09,,78400,,306214,KYB-repair-qq-e-n-i-221k,KYB-repair-qq-e-d-n-i-221k,4909500884225<br>4909500884249<br>4909500883846,フロント:KST5494R/KST5494L<br>リア:KSF1156×2,KYB,補修用ショック,1台分,右:41601-76F61(41601-76F61)<br>41601-76F62(41601-76F62)<br>左:41602-76F61(41602-76F61)<br>41602-76F62(41602-76F62),41800-83H10(41800-83H10),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,59000,61791
スズキ,ワゴンR,MH21S,03/09～04/12,,69300,,306215,KYB-repair-qq-e-n-i-222k,KYB-repair-qq-e-d-n-i-222k,4909500885321<br>4909500885345<br>4909500885246,フロント:KST5308R/KST5308L<br>リア:KSF1158×2,KYB,補修用ショック,1台分,右:41601-58J50(41601-58J50)<br>41601-58J60(41601-58J60)<br>左:41602-58J50(41602-58J50)<br>41602-58J60(41602-58J60),41800-58J00(41800-58J00)<br>41800-58J01(41800-58J01),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,45000,53570
スズキ,ワゴンR,MH21S,03/09～04/12,,69300,,306216,KYB-repair-qq-e-n-i-223k,KYB-repair-qq-e-d-n-i-223k,4909500885321<br>4909500885345<br>4909500885260,フロント:KST5308R/KST5308L<br>リア:KSF1159×2,KYB,補修用ショック,1台分,右:41601-58J50(41601-58J50)<br>41601-58J60(41601-58J60)<br>左:41602-58J50(41602-58J50)<br>41602-58J60(41602-58J60),41800-58J10(41800-58J10)<br>41800-58J11(41800-58J11),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,45000,53570
スズキ,ワゴンR,MH21S,03/09～04/12,,69200,,306217,KYB-repair-qq-e-n-i-224k,KYB-repair-qq-e-d-n-i-224k,4909500885321<br>4909500885345<br>4909500885284,フロント:KST5308R/KST5308L<br>リア:KSF1160×2,KYB,補修用ショック,1台分,右:41601-58J50(41601-58J50)<br>41601-58J60(41601-58J60)<br>左:41602-58J50(41602-58J50)<br>41602-58J60(41602-58J60),41800-58JA0(41800-58JA0)<br>41800-58JA1(41800-58JA1),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,44800,53453
スズキ,ワゴンR,MH21S,03/09～04/12,,69900,,306218,KYB-repair-qq-e-n-i-225k,KYB-repair-qq-e-d-n-i-225k,4909500885321<br>4909500885345<br>4909500885307,フロント:KST5308R/KST5308L<br>リア:KSF1161×2,KYB,補修用ショック,1台分,右:41601-58J50(41601-58J50)<br>41601-58J60(41601-58J60)<br>左:41602-58J50(41602-58J50)<br>41602-58J60(41602-58J60),41800-58JB0(41800-58JB0)<br>41800-58JB1(41800-58JB1),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,46000,54157
スズキ,ワゴンR,MH21S,04/12～05/08,,69200,,306219,KYB-repair-qq-e-n-i-226k,KYB-repair-qq-e-d-n-i-226k,4909500885369<br>4909500885383<br>4909500885284,フロント:KST5325R/KST5325L<br>リア:KSF1160×2,KYB,補修用ショック,1台分,右:41601-58J00(41601-58J00)<br>41601-58J10(41601-58J10)<br>41601-58J20(41601-58J20)<br>左:41602-58J00(41602-58J00)<br>41602-58J10(41602-58J10)<br>41602-58J20(41602-58J20),41800-58JA0(41800-58JA0)<br>41800-58JA1(41800-58JA1)<br>41800-58JC0(41800-58JC0)<br>41800-58JC1(41800-58JC1),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,44800,53453
スズキ,ワゴンR,MH21S,04/12～05/08,,69900,,306220,KYB-repair-qq-e-n-i-227k,KYB-repair-qq-e-d-n-i-227k,4909500885369<br>4909500885383<br>4909500885307,フロント:KST5325R/KST5325L<br>リア:KSF1161×2,KYB,補修用ショック,1台分,右:41601-58J00(41601-58J00)<br>41601-58J10(41601-58J10)<br>41601-58J20(41601-58J20)<br>左:41602-58J00(41602-58J00)<br>41602-58J10(41602-58J10)<br>41602-58J20(41602-58J20),41800-58JB0(41800-58JB0)<br>41800-58JB1(41800-58JB1),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,46000,54157
スズキ,ワゴンR,MH21S,05/08～07/06,,69200,,306221,KYB-repair-qq-e-n-i-228k,KYB-repair-qq-e-d-n-i-228k,4909500885369<br>4909500885383<br>4909500885284,フロント:KST5325R/KST5325L<br>リア:KSF1160×2,KYB,補修用ショック,1台分,右:41601-58J70(41601-58J70)<br>41601-58J71(41601-58J71)<br>41601-58J80(41601-58J80)<br>41601-58J81(41601-58J81)<br>41601-58J90(41601-58J90)<br>41601-58J91(41601-58J91)<br>左:41602-58J70(41602-58J70)<br>41602-58J71(41602-58J71)<br>41602-58J80(41602-58J80)<br>41602-58J81(41602-58J81)<br>41602-58J90(41602-58J90)<br>41602-58J91(41602-58J91),41800-58JA1(41800-58JA1)<br>41800-58JC1(41800-58JC1),,選択肢のない減衰力をご希望の場合には、ご注文前にお問い合わせください。<br>ご注文の際は、純正/刻印/ラベル番号からの適合確認をお願いいたします。(車両情報は参考となります。),商品<br>ネオチューン施工,44800,53453
