メーカー,車種,年式,排ガス記号,車輌型式,エンジン型式,備考,SET価格,Camp価格,メーカー品番
スズキ,アルトワークス,98/10-00/12,GF-,HA22S,K6A,Turbo専用<br>2WD/4WD共通<br>ビーム下,30200,29700,69004
スズキ,エブリィワゴン,01/09-02/11,GH-,DA62W,K6A,Turbo専用<br>2WD/4WD共通<br>ビーム上<br>スポーツ未確認,33800,33300,69040
スズキ,エブリィワゴン,05/08-10/03,ABA-,DA64W,K6A,Turbo専用<br>2WD専用<br>ビーム下純正リアアンダー装着車専用<br>2010年4月1日以降に製造された車両に適応される新制度には適合しません<br>2009年1月1日以降に製造された車両に適応される外装の技術基準には適合しません,31640,31140,69034
スズキ,ラパン,02/01-07/05,LA-,HE21S,K6A,NA専用<br>2WD専用<br>ビーム下<br>07/05-装着不可,30200,29700,69030
スズキ,ラパン,02/01-07/05,UA-,HE21S,K6A,NA専用<br>2WD専用<br>ビーム下<br>07/05-装着不可,30200,29700,69030
スズキ,ラパン,02/01-07/05,TA-,HE21S,K6A,Turbo専用<br><br>2WD専用<br>SS共通<br>ビーム下<br>07/05-装着不可,30200,29700,69006
スズキ,ワゴンR,98/10-00/12,GF-,MC21S,K6A,1・2型専用<br>Turbo専用<br>2WD/4WD専用<br>ビーム下<br>Low Down車装着不可,30200,29700,69005
スズキ,ワゴンR,00/12-02/09,TA-,MC22S,K6A,3・4型専用<br>Turbo専用<br>2WD/4WD専用<br>ビーム下<br>Low Down車装着不可,30200,29700,69004
スズキ,ワゴンR,02/09-03/09,UA-,MC22S,K6A,5・6型専用<br>NA専用<br>2WD専用<br>ビーム下<br>Low Down車装着不可,30200,29700,69032
スズキ,ワゴンR,03/09-04/12,UA-,MH21S,K6A,1・2型専用<br><br>直噴Turbo専用<br>2WD専用<br>ビーム下<br>04/12-装着不可,30200,29700,69020
スズキ,ワゴンR,04/12-05/09,CBA-,MH21S,K6A,3型専用<br>NA専用<br>2WD専用<br>ビーム下,30200,29700,69033
