自動車メーカー,車種,型式,年式,エンジン型式,重複追記,SET価格,Camp価格
スズキ,アルトターボRS,HA36S,15/03～,R06A,2WD専用,46760,46260
スズキ,アルトターボRS,HA36S,15/03～,R06A,4WD専用,44600,44100
スズキ,アルトワークス,HA36S,15/12～,R06A,2WD専用,46760,46260
スズキ,アルトワークス,HA36S,15/12～,R06A,4WD専用,44600,44100
スズキ,エブリイワゴン,DA17W,15/02～,K6A,,50360,49860
スズキ,ハスラー,MR31S,14/01～15/11,R06A,,61160,60660
スズキ,バレーノ,WB42S,16/05～,K10C,,38120,37620
スズキ,ワゴンRスティングレー,MH23S,08/09～,K6A,,38120,37620
スズキ,ワゴンRスティングレー,MH34S,12/09～,R06A,,38120,37620
スバル,WRX S4,VAG,14/08～,FA20,Quad Model,118760,118260
スバル,WRX STI,VAB,14/08～,EJ20,Quad Model,118760,118260
スバル,WRX STI,VAF,14～,EJ25,Quad Model,118760,118260
スバル,フォレスター,SJG,12/11～,FA20,,53960,53460
スバル,レヴォーグ,VM4,14/06～,FB16,,68360,67860
スバル,レヴォーグ,VMG,14/06～,FA20,,68360,67860
ダイハツ,ウェイク,LA700S,14/11～,KF-DET,,30200,29700
ダイハツ,キャストスポーツ,LA260S,15/10～,KF-DET,,62600,62100
ダイハツ,コペンエクスプレイ,LA400K,14/11～,KF,,49640,49140
ダイハツ,コペンセロ,LA400K,15/06～,KF,,49640,49140
ダイハツ,コペンローブ,LA400K,14/06～,KF,BLITZ Rear Diffuser専用,49640,49140
ダイハツ,コペンローブ,LA400K,14/06～,KF,純正バンパー装着車,49640,49140
トヨタ,アクア,NHP10,11/12～12/08,1NZ-FXE,,41000,40500
トヨタ,アルファード,ANH20W,11/11～,2AZ-FE,,39560,39060
トヨタ,アルファード,GGH20W,08/05～15/01,2GR-FE,,39560,39060
トヨタ,アルファードハイブリッド,ATH20W,11/11～15/01,2AZ-FE,,39560,39060
