自動車メーカー,車種,型式,年式,エンジン型式,備考,SET価格,Camp価格,メーカー品番
スズキ,アルトターボRS,HA36S,15/03～,R06A,2WD専用,53960,53460,63521V
スズキ,アルトターボRS,HA36S,15/03～,R06A,4WD専用,51800,51300,63522V
スズキ,アルトワークス,HA36S,15/12～,R06A,2WD専用,53960,53460,63521V
スズキ,アルトワークス,HA36S,15/12～,R06A,4WD専用,51800,51300,63522V
スズキ,エブリィワゴン,DA17W,15/02～,K6A,,57560,57060,63526V
スズキ,エブリィワゴン,DA64W,05/08～,K6A,,35960,35460,63134V
スズキ,ジムニー,JB23W,00/05～04/09,K6A,,38120,37620,63139V
スズキ,ジムニー,JB23W,04/10～10/03,K6A,,38120,37620,63139V
スズキ,ジムニー,JB23W,98/10～99/09,K6A,,38120,37620,63139V
スズキ,ジムニー,JB23W,99/10～00/04,K6A,,38120,37620,63139V
スズキ,スイフト,ZC11S,07/05～10/03,M13A,,38120,37620,63090V
スズキ,スイフト,ZC71S,07/05～10/03,K12B,,38120,37620,63090V
スズキ,スイフトスポーツ,ZC31S,05/09～10/03,M16A,,68360,67860,63091V
スズキ,バレーノ,WB42S,16/05～,K10C,,53960,53460,63530V
スズキ,ワゴンRスティングレー,MH23S,08/09～10/03,K6A,,38120,37620,63148V
スバル,R1,RJ1,05/01～10/03,EN07,排ガス記号：ABA-,35960,35460,63121V
スバル,R1,RJ1,05/01～10/03,EN07,排ガス記号：CBA-,35960,35460,63121V
スバル,R1,RJ1,05/01～10/03,EN07,排ガス記号：DBA-,35960,35460,63121V
スバル,R1,RJ2,05/01～10/03,EN07,排ガス記号：ABA-,35960,35460,63121V
スバル,R1,RJ2,05/01～10/03,EN07,排ガス記号：CBA-,35960,35460,63121V
スバル,R1,RJ2,05/01～10/03,EN07,排ガス記号：DBA-,35960,35460,63121V
スバル,R2,RC1,03/12～10/03,EN07,排ガス記号：CBA-,35960,35460,63121V
スバル,R2,RC1,03/12～10/03,EN07,排ガス記号：DBA-,35960,35460,63121V
スバル,R2,RC1,03/12～10/03,EN07,排ガス記号：UA-,35960,35460,63121V
スバル,R2,RC2,03/12～10/03,EN07,排ガス記号：CBA-,35960,35460,63121V
スバル,R2,RC2,03/12～10/03,EN07,排ガス記号：DBA-,35960,35460,63121V
スバル,R2,RC2,03/12～10/03,EN07,排ガス記号：UA-,35960,35460,63121V
スバル,インプレッサ,GC8,92/11～00/08,EJ20,排ガス記号：E-,61160,60660,62116V
スバル,インプレッサ,GC8,92/11～00/08,EJ20,排ガス記号：GF-,61160,60660,62116V
スバル,インプレッサ,GDB,00/08～04/06,EJ20,,68360,67860,62117V
スバル,インプレッサスポーツワゴン,GF8,92/11～00/08,EJ20,排ガス記号：E-,61160,60660,62116V
スバル,インプレッサスポーツワゴン,GF8,92/11～00/08,EJ20,排ガス記号：GF-,61160,60660,62116V
スバル,フォレスター,SJG,12/11～,FA20,,61160,60660,63157V
スバル,レヴォーグ,VM4,14/06～,FB16,,75560,75060,62135V
スバル,レヴォーグ,VMG,14/06～,FA20,,75560,75060,62135V
スバル,レガシィツーリングワゴン,BR9,09/05～,EJ25,,98600,98100,62077V
スバル,レガシィツーリングワゴン,BRG,12/05～,FA20,,98600,98100,62077V
ダイハツ,ウェイク,LA700S,14/11～,KF-DET,,37400,36900,63518V
ダイハツ,キャストスポーツ,LA260S,15/10～,KF-DET,,69800,69300,63529V
ダイハツ,コペン,L880K,02/06～10/03,JB-DET,,59000,58500,63118V
ダイハツ,コペンエクスプレイ,LA400K,14/11～,KF,,66200,65700,63159V
ダイハツ,コペンセロ,LA400K,15/06～,KF,,66200,65700,63159V
ダイハツ,コペンローブ,LA400K,14/06～,KF,BLITZ Rear Diffuser専用,66200,65700,63160V
ダイハツ,コペンローブ,LA400K,14/06～,KF,純正バンパー装着車専用,66200,65700,63159V
ダイハツ,ミラジーノ,L700S,99/03～04/10,EF-VE,,44600,44100,63152V
トヨタ,アクア,NHP10,11/12～12/08,1NZ-FXE,,46760,46260,62126V
トヨタ,ウィッシュ,ZGE20G/ZGE20W,09/04～15/04,2ZR-FAE,,51080,50580,63087V
