メーカー,車種,車輌型式,備考,セット価格,Camp価格,品番
スズキ,MRワゴン,MF33S,NA<br>2WD,43360,42860,740-80531
スズキ,MRワゴン,MF33S,ターボ<br>2WD,43360,42860,750-80532
スズキ,アルト セダン,HA25S,NA<br>2WD,43360,42860,750-80283
スズキ,アルト ラパン,HE22S,NA<br>2WD,43360,42860,750-80282
スズキ,アルト ラパン,HE22S,ターボ<br>2WD,43360,42860,750-80281
スズキ,アルトターボ RS,HA36S,2WD専用<br>純正マフラー要切断加工,51900,51400,740-80181
スズキ,アルトターボ RS,HA36S,4WD専用,46160,45660,750-80182
スズキ,アルトワークス,HA36S,2WD専用<br>純正マフラー要切断加工,51900,51400,740-80181
スズキ,アルトワークス,HA36S,4WD専用,46160,45660,750-80182
スズキ,エブリィ バン,DA17V,ターボ<br>2WD/4WD,50360,49860,750-80421
スズキ,エブリィ バン,DA64V,NA<br>2WD/4WD,47000,46500,750-80412
スズキ,エブリィ バン,DA64V,ターボ<br>2WD/4WD<br>90φラウンドOストレート,50500,50000,750-80415
スズキ,エブリィ バン,DA64V,ターボ<br>2WD/4WD<br>94φラウンドスラッシュ,47000,46500,750-80413
スズキ,エブリィ ワゴン,DA17W,ターボ<br>2WD/4WD,50360,49860,750-80421
スズキ,エブリィ ワゴン,DA64W,ターボ<br>2WD/4WD<br>90φラウンドOストレート,50500,50000,750-80414
スズキ,エブリィ ワゴン,DA64W,ターボ<br>2WD/4WD<br>94φラウンドスラッシュ,43360,42860,750-80411
スズキ,ジムニー,JB23W,ターボ<br>90φスラッシュ,57500,57000,760-80911
スズキ,ジムニー,JB23W,ターボ<br>90φラウンドOストレート,40000,39500,760-80917
スズキ,ジムニー,JB23W,ターボ<br>純正バンパー不可<br>90φラウンドOストレート,40000,39500,750-80916
スズキ,ジムニー,JB64W,運転席側サイド出し,68000,67500,740-81908
スズキ,ジムニー,JB64W,標準バンパー専用<br>マットフラップ装着者は取り外しまたは要加工,37760,37260,750-81901
スズキ,ジムニーシエラ,JB43W,MT,40000,39500,750-80916
スズキ,ジムニーシエラ,JB74W,標準バンパー専用<br>マットフラップ装着者は取り外しまたは要加工,37760,37260,750-81901
スズキ,スペーシア カスタム,MK32S,NA<br>2WD,43360,42860,750-81912
スズキ,スペーシア カスタム,MK32S,ターボ<br>2WD,43360,42860,750-81911
スズキ,ハスラー,MR31S,NA<br>2WD<br>CVT車専用,43360,42860,750-81413
スズキ,ハスラー,MR31S,NA<br>4WD<br>CVT車専用,43360,42860,750-81413
スズキ,ハスラー,MR31S,ターボ<br>2WD<br>76.3φラウンドストレート,43360,42860,750-81411
スズキ,ハスラー,MR31S,ターボ<br>2WD<br>90φラウンドOストレート,41960,41460,740-81412
スズキ,ハスラー,MR31S,ターボ<br>4WD<br>76.3φラウンドストレート,43360,42860,750-81411
スズキ,ハスラー,MR31S,ターボ<br>4WD<br>90φラウンドOストレート,41960,41460,740-81412
スズキ,ハスラー,MR31S,ハイブリッド<br>ターボ<br>2WD<br>76.3φラウンドストレート,43360,42860,750-81411
スズキ,ハスラー,MR31S,ハイブリッド<br>ターボ<br>4WD<br>76.3φラウンドストレート,43360,42860,750-81411
