メーカー,車種,車輌型式,グレード等,SET価格,Camp価格,税抜定価,工賃,品番
スズキ,アルトラパン,HE21S,SS 2WD(6型),63800,63300,84000,5000,150-80621
スズキ,カプチーノ,EA11R/EA21R,,40000,39500,50000,5000,150-80313
スズキ,スイフト,ZC11S,1.3 2WD,33700,33200,41000,5000,150-81521
スズキ,ワゴンR,CT21S,ターボ 2WD,38600,38100,48000,5000,160-80216
スズキ,ワゴンR,MC21S,RR 2WD,38600,38100,48000,5000,160-80234
スズキ,ワゴンR,MC22S,RR 2WD,38600,38100,48000,5000,160-80234
スズキ,ワゴンR,MH21S,RR 2WD・RR-DI 2WD(3型),63800,63300,84000,5000,150-80276
スズキ,ワゴンR,MH21S,RR･RR-DI 2WD,63800,63300,84000,5000,150-80276
スズキ,ワゴンR,MH21S,RR-DI 2WD(4型),63800,63300,84000,5000,150-80276
スズキ,ワゴンR,MH22S,RR-DI 2WD(5型),63800,63300,84000,5000,150-80276
スズキ,ワゴンR,MH22S,スティングレー DI 2WD(4型),63800,63300,84000,5000,150-80276
スズキ,ワゴンR,MH22S,スティングレー DI 2WD(5型),63800,63300,84000,5000,150-80276
スバル,インプレッサ,GC8,WRX(A-C),113300,112800,154700,5000,100-63015
スバル,インプレッサ,GC8,WRX(D-G),113300,112800,154700,5000,100-63015
スバル,インプレッサ,GDA,WRX M/C後,50500,50000,65000,5000,100-63043
スバル,インプレッサ,GDA,WRX M/C前,65200,64700,86000,5000,100-63032
スバル,インプレッサ,GDB,WRX STi,65200,64700,86000,5000,100-63032
スバル,インプレッサ,GDB,WRX STi 04M/C後,65200,64700,86000,5000,100-63044
スバル,インプレッサ,GDB,WRX STi 05M/C後,65200,64700,86000,5000,100-63051
スバル,インプレッサ,GDB,WRX STi 06M/C後,65200,64700,86000,5000,100-63051
スバル,インプレッサ,GDB,WRX STi M/C後,65200,64700,86000,5000,100-63032
スバル,インプレッサ,GGA,スポーツワゴン20K,65200,64700,86000,5000,100-63032
スバル,インプレッサ,GGB,スポーツワゴンSTi,65200,64700,86000,5000,100-63032
スバル,インプレッサスポーツワゴン,GF8,WRX,113300,112800,154700,5000,100-63015
スバル,インプレッサスポーツワゴン,GF8,WRX,113300,112800,154700,5000,100-63015
スバル,インプレッサスポーツワゴン,GGA,WRX M/C後,50500,50000,65000,5000,100-63043
スバル,ヴィヴィオ,KK4,スーパーチャージャー 4WD,62400,61900,82000,5000,160-60113
スバル,レガシィ,BE5,B4 ターボ,50500,50000,65000,5000,100-64053
スバル,レガシィ,BE5,B4 ターボ M/C後,50500,50000,65000,5000,100-64053
スバル,レガシィツーリングワゴン,BH5,GT-B,50500,50000,65000,5000,100-64051
スバル,レガシィツーリングワゴン,BH5,GT-B M/C後,50500,50000,65000,5000,100-64051
スバル,レガシィツーリングワゴン,BH5,ブリッツェン2002モデル,50500,50000,65000,5000,100-64051
ダイハツ,YRV,M201G,ターボ 2WD,62400,61900,82000,5000,160-71513
ダイハツ,アトレーワゴンカスタム,S320G,ターボ 2WD,49100,48600,63000,5000,150-70623
ダイハツ,ネイキッド,L750S/L760S,ターボ 2WD・4WD,62400,61900,82000,5000,150-70704
ダイハツ,ムーヴ,L900S,エアロダウンRS 4WD,62400,61900,82000,5000,150-70161
ダイハツ,ムーヴ,L900S,エアロダウンRS・カスタムターボ 2WD,62400,61900,82000,5000,150-70164
ダイハツ,ムーヴ,L900S,エアロダウンカスタム 2WD,62400,61900,82000,5000,150-70161
ダイハツ,ムーヴ,L902S,エアロRS･エアロダウンカスタムリミテッド 2WD,62400,61900,82000,5000,150-70164
ダイハツ,ムーヴ,L902S,エアロダウンカスタム 2WD,62400,61900,82000,5000,150-70161
ダイハツ,ムーヴ,L910S,エアロダウンRS 4WD,62400,61900,82000,5000,150-70161
ダイハツ,ムーヴ,L910S,エアロダウンRS・カスタムターボ 4WD,62400,61900,82000,5000,150-70164
ダイハツ,ムーヴ,L910S,エアロダウンカスタム 4WD,62400,61900,82000,5000,150-70161
ダイハツ,ムーヴカスタム,L152S,ターボ 2WD,62400,61900,82000,5000,150-70171
ダイハツ,ムーヴカスタム,L152S,ターボ 2WD,62400,61900,82000,5000,150-70171
ダイハツ,ムーヴカスタム,L160S,ターボ 4WD,62400,61900,82000,5000,150-70172
トヨタ,bB,NCP30,1.3 2WD,39900,39400,49800,5000,150-21614
トヨタ,bB,NCP30,1.3 2WD M/C後,39900,39400,49800,5000,150-21618
トヨタ,bB,NCP31,1.5 2WD,39900,39400,49800,5000,150-21614
トヨタ,bB,NCP31,1.5 2WD M/C後,39900,39400,49800,5000,150-21618
トヨタ,bB,NCP35,1.5 4WD,44200,43700,56000,5000,160-21615
トヨタ,bB,QNC20,1.3 2WD,59600,59100,78000,5000,150-21622
トヨタ,bB,QNC20,1.3 2WD M/C後,59600,59100,78000,5000,150-21622
トヨタ,MR2,AW11,スーパーチャージャー,57400,56900,72000,5000,160-23512
トヨタ,MR2,SW20,ツインカム16V AT,57400,56900,72000,5000,160-23523
トヨタ,MR2,SW20,ツインカム16V MT,57400,56900,72000,5000,160-23523
トヨタ,MR-S,ZZW30,,58100,57600,73000,5000,160-23533
トヨタ,アイシスプラタナ,ANM10W,2.0 2WD,45600,45100,58000,5000,150-22911
トヨタ,アイシスプラタナ,ZNM10W,1.8 2WD,45600,45100,58000,5000,150-22911
トヨタ,アルテッツア,GXE10,AS200,45600,45100,58000,5000,160-23815
