メーカー,車種,型式,エンジン,年式,セット価格,Camp価格,税抜定価,工賃,メーカー品番
スズキ,Kei Works,HN22S,K6A(TURBO),02/11-09/09,32300,31800,39000,5000,31006-AS008
スズキ,Keiスポーツ,HN22S,K6A,01/04-03/09,32300,31800,39000,5000,31006-AS008
スズキ,アルトワークス,HA22S,K6A(TURBO),98/10-00/12,32300,31800,39000,5000,31006-AS008
スズキ,ジムニー,JA11V/JA11C,F6A,91/06-95/01,34400,33900,42000,5000,31006-AS011
スズキ,ジムニー,JA22W/JA12W,"K6A, F6A",95/11-98/09,32300,31800,39000,5000,31006-AS010
スズキ,ラパンSS,HE21S,K6A(TURBO),03/09-07/04,32300,31800,39000,5000,31006-AS009
スズキ,ワゴンR,MC11S,F6A(TURBO),98/10-00/11,32300,31800,39000,5000,31006-AS008
スズキ,ワゴンR,MC12S,F6A(TURBO),00/12-02/08,32300,31800,39000,5000,31006-AS008
スズキ,ワゴンR,MC21S,K6A(TURBO),98/10-00/11,32300,31800,39000,5000,31006-AS008
スズキ,ワゴンR,MC22S,K6A(TURBO),00/12-02/08,32300,31800,39000,5000,31006-AS008
スズキ,ワゴンR,MC22S,K6A(TURBO),02/09-03/08,32300,31800,39000,5000,31006-AS009
スズキ,ワゴンR,MH21S,K6A(TURBO),03/09-04/11,32300,31800,39000,5000,31006-AS009
スバル,インプレッサ,GC8,EJ20(TURBO),92/11-99/08,47000,46500,60000,5000,31006-AF009
スバル,プレオ,RA1,EN07(S/C),98/10-01/09,36500,36000,45000,5000,32003-AF002
ダイハツ,ムーヴ,L150S,EF-DET,02/10-06/09,28100,27600,33000,5000,31006-AD008
ダイハツ,ムーヴ,L152S,JB-DET,02/10-06/09,28100,27600,33000,5000,31006-AD008
トヨタ,MR2,SW20,3S-GTE,89/10-99/09,49800,49300,64000,5000,31006-AT008
トヨタ,ヴィッツ,SCP10,1SZ-FE,99/01-05/01,29500,29000,35000,5000,32003-AT012
トヨタ,ヴィッツRS,NCP13/NCP10,"1NZ-FE, 2NZ-FE",00/10-05/01,35100,34600,43000,5000,32003-AT013
トヨタ,ヴィッツRS,NCP91,1NZ-FE,05/02-10/12,40000,39500,50000,5000,32003-AT016
トヨタ,クレスタ,JZX100,1JZ-GTE,96/09-98/07,50500,50000,65000,5000,31006-AT006
トヨタ,クレスタ,JZX100,1JZ-GTE,98/08-00/10,50500,50000,65000,5000,31006-AT007
トヨタ,クレスタ,JZX90,1JZ-GTE,92/10-96/08,50500,50000,65000,5000,31006-AT005
トヨタ,スープラ,JZA80,2JZ-GE,93/06-99/07,48400,47900,62000,5000,32003-AT009
トヨタ,チェイサー,JZX100,1JZ-GTE,96/09-98/07,50500,50000,65000,5000,31006-AT006
トヨタ,チェイサー,JZX100,1JZ-GTE,98/08-00/09,50500,50000,65000,5000,31006-AT007
トヨタ,チェイサー,JZX90,1JZ-GTE,92/10-96/08,50500,50000,65000,5000,31006-AT005
トヨタ,トレノ,AE86,4A-GE,83/05-87/04,48400,47900,62000,5000,32003-AT011
トヨタ,ファンカーゴ,NCP20/NCP21,"2NZ-FE, 1NZ-FE",99/08-05/09,37200,36700,46000,5000,32003-AT014
トヨタ,マーク2,JZX100,1JZ-GTE,96/09-98/07,50500,50000,65000,5000,31006-AT006
トヨタ,マーク2,JZX100,1JZ-GTE,98/08-00/09,50500,50000,65000,5000,31006-AT007
トヨタ,マーク2,JZX90,1JZ-GTE,92/10-96/08,50500,50000,65000,5000,31006-AT005
