メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
スズキ,MRワゴン,MF33S,R06A(NA),11/01-,2WD・グレード「G」「X」用。2013/7MCモデル適合。グレード「ECO-L」「ECO-X」適合外,52600,52100,68000,5000,31013-AS007
スズキ,エブリィ,DA64V,K6A(TURBO),05/09-15/01,TURBO専用（NA不可）、2WD/4WD共通、4WDの5MT適合外,38600,38100,48000,5000,31013-AS015
スズキ,エブリィワゴン,DA17W,K6A(TURBO),15/02-20/05,TURBO専用（NA不可）、4WD加速認証適合外、3BA-DA17W未確認,38600,38100,48000,5000,31013-AS013
スズキ,エブリィワゴン,DA64W,R06A(TURBO),05/08-15/02,TURBO専用（NA不可）、2WD/4WD共通,38600,38100,48000,5000,31013-AS014
スズキ,カプチーノ,EA11R,F6A(TURBO),91/10-95/05,MT車のみ,38600,38100,48000,5000,3301-SS007
スズキ,カプチーノ,EA21R,K6A(TURBO),95/05-98/10,MT車のみ,38600,38100,48000,5000,3301-SS007
スズキ,ジムニー,JA11V,F6A(TURBO),90/03-95/10,バン、パノラマ用,27400,26900,32000,5000,3301-SS003
スズキ,ジムニー,JB23W,K6A(TURBO),98/10-,8型（10/09以降）未確認,29500,29000,35000,5000,31013-AS009
スズキ,ジムニー,JB64W,R06A(TURBO),18/07-,マッドフラップ装着者テールが干渉するためマッドフラップの切り取り加工が必要です,29500,29000,35000,5000,31013-AS017
スズキ,ジムニーシエラ,JB74W,K15B,18/07-,,29500,29000,35000,5000,31013-AS017
スズキ,ワゴンR,MH23S,K6A(NA),08/09-12/09,「グレード「リミテッド」「リミテッドII」「FX-Sリミテッド」取付不可。2010/4以降の4WD適合外。 ※リミテッド系グレードは純正エアロとテールが干渉するため取付不可。,44200,43700,56000,5000,31013-AS007
スズキ,ワゴンRスティングレー,MH23S,K6A(TURBO/NA),08/09-12/08,"2010/4以降の4WD(NA), DBA- 4WD(TURBO)は適合外",44200,43700,56000,5000,31013-AS007
スバル,ステラ,RN1/RN2,EN07(S/C),06/06-,グレード「カスタムRS」・純正リアアンダースポイラー装着車取付可・FF、4WDともに対応,33000,32500,40000,5000,32008-AF002
