メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,品番
スズキ,ジムニー,JB64W,R06A(TURBO),18/07-,,85500,85000,115000,5000,31021-AS004
スズキ,ジムニーシエラ,JB74W,K15B,18/07-,,85500,85000,115000,5000,32018-AS006
スズキ,スイフトスポーツ,ZC31S,M16A,05/09-11/12,,52600,52100,68000,5000,32018-AS003
スズキ,スイフトスポーツ,ZC32S,M16A,11/12-,メインのみ、純正オプションリアアンダースポイラー取付可、純正オプションマッドガード取付可,52600,52100,68000,5000,32018-AS004
スズキ,スイフトスポーツ,ZC32S,M16A,11/12-,中間パイプ付、純正オプションリアアンダースポイラー取付可、純正オプションマッドガード取付可,82000,81500,110000,5000,32018-AS005
スズキ,スイフトスポーツ,ZC33S,K14C(TURBO),17/09-,,70100,69600,93000,5000,321021-AS003
スバル,BRZ,ZC6,FA20,12/03-,メインのみ,73600,73100,98000,5000,32018-AT039
スバル,BRZ,ZC6,FA20,12/03-16/07,メイン＋中間パイプ付,94600,94100,128000,5000,32018-AT040
スバル,BRZ,ZC6,FA20,16/08-,メインのみ、後期専用,73600,73100,98000,5000,32018-AT058
スバル,WRX S4,VAG,FA20(TURBO),14/08-20/07,メインのみ、3BA-VAG(20/08-)適合外,89000,88500,120000,5000,31021-AF024
スバル,XV,GP7,FB20,12/10-,純正オプションリヤバンパーパネル装着車取付不可,47000,46500,60000,5000,32018-AF012
スバル,XVハイブリッド,GPE,FB20-MA1,13/06-,純正オプションリヤバンパーパネル装着車取付不可,47000,46500,60000,5000,32018-AF012
スバル,インプレッサ,GH8,EJ20(TURBO),07/06-,センターパイプ付、「S-GT スポーツパッケージ」「標準車」「年改B GT」取付可,77800,77300,104000,5000,31021-AF016
スバル,インプレッサ,GH8,EJ20(TURBO),07/06-,メインのみ、「S-GT スポーツパッケージ」「標準車」「年改B GT」取付可,53300,52800,69000,5000,31021-AF015
スバル,インプレッサ,GRB,EJ20(TURBO),07/10-14/08,センターパイプ付、純正オプションSTIエキゾーストフィニッシャー取付可、10/4以降の「R205」および「SPEC-C」適合外,111400,110900,152000,5000,31021-AF014
スバル,インプレッサ,GRB,EJ20(TURBO),07/10-14/08,メインのみ、純正オプションSTIエキゾーストフィニッシャー取付可・10/4以降の「R205」および「SPEC-C」適合外,89000,88500,120000,5000,31021-AF013
スバル,インプレッサ,GRF,EJ25(TURBO),09/02-14/08,センターパイプ付,111400,110900,152000,5000,31021-AF014
スバル,インプレッサ,GRF,EJ25(TURBO),09/02-14/08,メインのみ,89000,88500,120000,5000,31021-AF013
スバル,インプレッサ,GVB,EJ20(TURBO),10/07-14/08,センターパイプ付、「tS」「tS Type RA」および「SPEC C」取付可。「S206」取付不可,124000,123500,170000,5000,31021-AF022
スバル,インプレッサ,GVB,EJ20(TURBO),10/07-14/08,メインのみ、「tS」「tS Type RA」「SPEC C」および「S206」取付不可,89000,88500,120000,5000,31021-AF021
スバル,インプレッサ,GVF,EJ25(TURBO),10/07-14/08,センターパイプ付、「tS」可,124000,123500,170000,5000,31021-AF022
スバル,インプレッサ,GVF,EJ25(TURBO),10/07-14/08,メインのみ、「tS」可,89000,88500,120000,5000,31021-AF021
スバル,インプレッサG4,GK6,FB20,16/10-,メインのみ、10/4以降R205及びSPEC-C適合外,43500,43000,55000,5000,32018-AF016
スバル,インプレッサスポーツ,GP7,FB20,11/11-16/09,,50500,50000,65000,5000,32018-AF013
スバル,インプレッサスポーツ,GPE,FB20-MA1,15/06-16/09,標準バンパー車適合外,47000,46500,60000,5000,32018-AF012
スバル,インプレッサスポーツ,GPE,FB20-MA1,15/06-16/09,リアバンパースカート適合外,50500,50000,65000,5000,32018-AF013
スバル,インプレッサスポーツ,GT6,FB20,16/10-,2WD,50500,50000,65000,5000,32018-AF014
スバル,インプレッサスポーツ,GT7,FB20,16/10-,4WD,50500,50000,65000,5000,32018-AF014
スバル,フォレスター,SJ5,FB20(NA),12/11-18/06,NA専用、MT車適合外,40000,39500,50000,5000,32018-AF015
スバル,フォレスター,SJG,FA20(TURBO),12/11-18/06,センターパイプ付、純正リアバンパースカート取付不可,101600,101100,138000,5000,31021-AF023
スバル,フォレスター,SKE,FB20,18/09-,ハイブリッド,43500,43000,55000,5000,32018-AF017
スバル,レガシィB4,BM9,EJ25(NA),09/05-,NA用・左右出し・運転席側のマフラーメインシェル位置にステーがない車輌は別売のボディブラケット(34005-AF001)が必要。「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,106500,106000,145000,5000,32018-AF008
スバル,レガシィB4,BMM,FB25(NA),12/05-,専用ボディブラケット付き,112100,111600,153000,5000,32018-AF011
スバル,レガシィツーリングワゴン,BR9,EJ25(NA),09/05-,NA用・左右出し・運転席側のマフラーメインシェル位置にステーがない車輌は別売のボディブラケット(34005-AF001)が必要。「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,113500,113000,155000,5000,32018-AF007
スバル,レガシィツーリングワゴン,BR9,EJ25(NA),09/05-,NA用・片側出し・「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,45600,45100,58000,5000,32018-AF005
スバル,レガシィツーリングワゴン,BR9,EJ25(TURBO),09/05-,ターボ用、センターパイプ付、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可、「tS」可,122600,122100,168000,5000,31021-AF019
スバル,レガシィツーリングワゴン,BR9,EJ25(TURBO),09/05-,ターボ用、メインのみ、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可、「tS」可,71500,71000,95000,5000,31021-AF017
スバル,レガシィツーリングワゴン,BRG,FA20(TURBO),12/05-,「2.0GT DIT」、センターパイプ付、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,122600,122100,168000,5000,31021-AF019
スバル,レガシィツーリングワゴン,BRG,FA20(TURBO),12/05-,「2.0GT DIT」、メインのみ、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,71500,71000,95000,5000,31021-AF017
スバル,レガシィツーリングワゴン,BRM,FB25(NA),12/05-,専用ボディブラケット付き,112100,111600,153000,5000,32018-AF010
