メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
スズキ,Kei Works,HN22S,K6A(TURBO),02/11-09/09,,35800,35300,44000,5000,31019-AS002
スズキ,Keiスポーツ,HN22S,K6A,01/04-03/09,,35800,35300,44000,5000,31019-AS002
スズキ,アルトターボRS,HA36S,R06A(TURBO),15/03-18/11,2WD専用、4WD取付不可、純正マフラーを切断しスリップジョイントで接続,50500,50000,65000,5000,31019-AS005
スズキ,アルトワークス,HA22S,K6A(TURBO),98/10-00/12,ビーム下・4WD可,35800,35300,44000,5000,31019-AS002
スズキ,アルトワークス,HA36S,R06A(TURBO),15/12-20/09,2WD専用、4WD取付不可、純正マフラーを切断しスリップジョイントで接続,50500,50000,65000,5000,31019-AS005
スズキ,イグニス,FF21S,K12C-WA05A,16/02-20/01,,31600,31100,38000,5000,32016-AS003
スズキ,クロスビー,MN71S,K10C(TURBO),17/12-,2WD専用,36500,36000,45000,5000,31019-AS010
スズキ,スイフト,ZC11S,M13A,04/11-10/03,純正リアアンダースポイラー装着車可,40000,39500,50000,5000,32016-AS002
スズキ,スイフト,ZC13S,K10C(TURBO),17/01-,RSt用、中間パイプ付,54000,53500,70000,5000,31019-AS008
スズキ,スイフト,ZC13S,K10C(TURBO),17/01-,RSt用、メインのみ,31600,31100,38000,5000,31019-AS007
スズキ,スイフト,ZC21S,M15A,04/11-09/03,純正リアアンダースポイラー装着車可,40000,39500,50000,5000,32016-AS002
スズキ,スイフト,ZC71S,K12B,07/05-10/08,グレード「XE」「XG」取付可,40000,39500,50000,5000,32016-AS002
スズキ,ワゴンR,MC11S,F6A(TURBO),98/10-00/11,純正リアアンダースポイラー未確認・ビーム下,35800,35300,44000,5000,31019-AS002
スズキ,ワゴンR,MC12S,F6A(TURBO),00/12-02/08,純正リアアンダースポイラー装着車取付不可・ビーム下,35800,35300,44000,5000,31019-AS002
スズキ,ワゴンR,MC21S,K6A(TURBO),98/10-00/11,「RR」「RRリミテッド」用・純正リアアンダースポイラー装着車取付不可・ビーム下,35800,35300,44000,5000,31019-AS002
スズキ,ワゴンR,MC22S,K6A(TURBO),00/12-02/08,「RR」「RRリミテッド」用・純正リアアンダースポイラー装着車取付不可・ビーム下,35800,35300,44000,5000,31019-AS002
スバル,インプレッサ,GC8,EJ20(TURBO),92/11-00/07,2ドア可・純正リアバンパスカート装着車未確認,61000,60500,80000,5000,31019-AF022
スバル,インプレッサ,GDA,EJ20(TURBO),00/08-02/10,年改A・B型用,61000,60500,80000,5000,31019-AF023
スバル,インプレッサ,GDB,EJ20(TURBO),00/10-04/05,年改A～D型用・純正リアアンダースカート装着車取付可・「SPEC-C」可,61000,60500,80000,5000,31019-AF023
スバル,インプレッサ,GDB,EJ20(TURBO),04/06-07/06,年改E・F型用・純正リアアンダースカート装着車取付可・「Sti SPEC-C」「SPEC-C WR-Limited 2004」未確認,57500,57000,75000,5000,31019-AF015
スバル,インプレッサ,GRB,EJ20(TURBO),07/10-14/08,純正オプションSTIエキゾーストフィニッシャー取付可・「specC（～10/3）」取付可、「R205」はリアバンパーとのクリアランス不足のため適合外。,89000,88500,120000,5000,31019-AF026
