メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
トヨタ,クラウン,GRS180/GRS181,4GR-FSE,03/12-08/01,純正オプションリアバンパースポイラー（TOM'S、モデリスタ）取付不可・Styling Package Ver.A取付不可,122500,121800,165000,7000,32023-AT002
トヨタ,クラウン,GRS182/GRS183,3GR-FSE,03/12-08/01,純正オプションリアバンパースポイラー（TOM'S、モデリスタ）取付不可・Styling Package Ver.A取付不可,122500,121800,165000,7000,32023-AT002
トヨタ,クラウン,GRS184,2GR-FSE,05/10-08/01,純正オプションリアバンパースポイラー（TOM'S、モデリスタ）取付不可・Styling Package Ver.A取付不可,122500,121800,165000,7000,32023-AT002
日産,フェアレディ Z ロードスター,HZ33,VQ35DE,02/07-05/08,294ps車輌、バージョン ニスモ未確認・HKS製エキマニ+メタルキャタライザー装着車輌及びGTスーパーチャージャー+メタルキャタライザー装着車輌は保安基準適合外,138600,137900,188000,7000,32023-AN001
日産,フェアレディ Z ロードスター,HZ33,VQ35HR,07/01-08/11,メタルキャタライザー(33005-AN004）との併用は保安基準適合外。,138600,137900,188000,7000,32023-AN002
日産,フェアレディ Z ロードスター,HZ34,VQ37VHR,09/10-,6MT車専用、純正ヒートインシュレーター要加工,159600,158900,218000,7000,32023-AN005
日産,フェアレディ Z ロードスター,HZ34,VQ37VHR,09/10-,AT車専用　6MT車適合外,138600,137900,188000,7000,32023-AN003
日産,フェアレディZ,Z33,VQ35DE,02/07-05/08,294ps車輌、バージョン ニスモ未確認・HKS製エキマニ+メタルキャタライザー装着車輌及びGTスーパーチャージャー+メタルキャタライザー装着車輌は保安基準適合外,138600,137900,188000,7000,32023-AN001
日産,フェアレディZ,Z33,VQ35HR,07/02-08/11,「Version NISMO」取付不可、メタルキャタライザー(33005-AN004）との併用は保安基準適合外。,138600,137900,188000,7000,32023-AN002
日産,フェアレディZ,Z34,VQ37VHR,08/12-,6MT車専用、純正ヒートインシュレーター要加工,159600,158900,218000,7000,32023-AN005
日産,フェアレディZ,Z34,VQ37VHR,08/12-,AT車専用　6MT車適合外,138600,137900,188000,7000,32023-AN003
ホンダ,S2000,AP1,F20C,99/04-05/10,,136600,136100,188000,5000,32023-AH001
ホンダ,S2000,AP2,F22C,05/11-09/09,,136600,136100,188000,5000,32023-AH001
レクサス,IS F,USE20,2UR-GSE,07/10-,メタルキャタライザー装着時の近接排気騒音L90 R88,182000,181300,250000,7000,32023-AT001
