メーカー,車種,型式,エンジン,年式,備考,SET価格,Camp価格,税抜定価,工賃,メーカー品番
スズキ,アルトターボRS,HA36S,R06A(TURBO),15/03-18/11,2WD専用、4WD取付不可、純正マフラーを切断しスリップジョイントで接続、リアバンパーを一部切断加工しバンパープロテクター装着,82700,82200,111000,5000,31029-AS001
スズキ,アルトワークス,HA36S,R06A(TURBO),15/12-20/09,2WD専用、4WD取付不可、純正マフラーを切断しスリップジョイントで接続、リアバンパーを一部切断加工しバンパープロテクター装着,82700,82200,111000,5000,31029-AS001
スズキ,ジムニー,JB23W,K6A(TURBO),98/10-18/06,社外ショートバンパー専用品(タニグチ・アピオ確認済)、ノーマルバンパー不可,58900,58400,77000,5000,31029-AS002
スズキ,ジムニー,JB64W,R06A(TURBO),18/07-,マッドフラップ装着車要切り取り加工,58900,58400,77000,5000,31029-AS004
スズキ,スイフト・スポーツ,ZC33S,K14C(TURBO),17/09-,4BA-ZC33S(20/5-)適合可,104400,103900,142000,5000,31029-AS003
スバル,WRX S4,VAG,FA20(TURBO),14/08-20/07,3BA-VAG(20/08-)適合外,114900,114400,157000,5000,31029-AF012
スバル,WRX S4,VAG,FA20(TURBO),14/08-20/07,Ti-1(Titan)、3BA-VAG(20/08-)適合外,147800,147300,204000,5000,31029-AF013
スバル,WRX STI,VAB,FA20(TURBO),14/08-,Ti-1(Titan)、S207対応,147800,147300,204000,5000,31029-AF013
スバル,WRX STI,VAB,FA20(TURBO),14/08-,センターパイプ付、S207適合外,119100,118600,163000,5000,31029-AF011
スバル,インプレッサ,GDB,EJ20(TURBO),00/10-04/05,年改A～D型用,82700,82200,111000,5000,31029-AF002
スバル,インプレッサ,GDB,EJ20(TURBO),04/06-07/06,年改E～G型用,82700,82200,111000,5000,31029-AF001
スバル,インプレッサ,GRB,EJ20(TURBO),07/10-14/08,センターパイプ付、純正オプションSTIエキゾーストフィニッシャー取付可。「SPEC C」取付可。「R205」未確認,114900,114400,157000,5000,31029-AF005
スバル,インプレッサ,GRF,EJ25(TURBO),09/02-14/08,センターパイプ付、純正オプションSTIエキゾーストフィニッシャー取付可,114900,114400,157000,5000,31029-AF005
スバル,インプレッサ,GVB,EJ20(TURBO),10/07-14/08,Ti-1(Titan)、「tS」「tS Type RA」および「SPEC C」適合、「S206」適合外,147800,147300,204000,5000,31029-AF013
スバル,インプレッサ,GVB,EJ20(TURBO),10/07-14/08,センターパイプ付、「tS」「tS Type RA」および「SPEC C」取付可。「S206」取付不可,119100,118600,163000,5000,31029-AF008
スバル,インプレッサ,GVF,EJ25(TURBO),10/07-14/08,センターパイプ付、「tS」可,119100,118600,163000,5000,31029-AF008
スバル,レヴォーグ,VM4,FB16(TURBO),14/06-,センターパイプ付。※テールカラーはシルバー。ブルーグラデーションではありません。,114900,114400,157000,5000,31029-AF010
スバル,レヴォーグ,VMG,FA20(TURBO),14/06-,センターパイプ付。※テールカラーはシルバー。ブルーグラデーションではありません。,119100,118600,163000,5000,31029-AF009
スバル,レガシィB4,BL5,EJ20(TURBO),03/06-09/04,メイン+中間パイプ、純正リアバンパースカート装着車取付可、純正エキゾーストフィニッシャー装着車取付可,119100,118600,163000,5000,31029-AF004
スバル,レガシィB4,BL9改,EJ25(TURBO),08/06-09/05,メイン+中間パイプ、グレード「S402」,119100,118600,163000,5000,31029-AF004
スバル,レガシィB4,BM9,EJ25(TURBO),09/05-,センターパイプ付、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,119100,118600,163000,5000,31029-AF007
スバル,レガシィツーリングワゴン,BP5,EJ20(TURBO),03/05-09/04,メイン+中間パイプ、純正リアバンパースカート装着車取付可、純正エキゾーストフィニッシャー装着車取付可,119100,118600,163000,5000,31029-AF003
スバル,レガシィツーリングワゴン,BR9,EJ25(TURBO),09/05-,センターパイプ付、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,119100,118600,163000,5000,31029-AF006
スバル,レガシィツーリングワゴン,BRG,FA20(TURBO),12/05-,センターパイプ付、「メーカーオプションリアアンダースカート」「スタイリッシュパッケージ」取付不可,119100,118600,163000,5000,31029-AF006
トヨタ,クラウン,ARS220,8AR-FTS,18/06-,2.0Lターボ、RS専用,136600,136100,188000,5000,31029-AT002
トヨタ,クレスタ,JZX100,1JZ-GTE,96/09-98/07,純正リアアンダースポイラー可,82700,82200,111000,5000,31029-AT001
トヨタ,クレスタ,JZX100,1JZ-GTE,98/08-00/10,純正リアアンダースポイラー可,82700,82200,111000,5000,31029-AT001
トヨタ,チェイサー,JZX100,1JZ-GTE,96/09-98/07,純正リアアンダースポイラー可,82700,82200,111000,5000,31029-AT001
トヨタ,チェイサー,JZX100,1JZ-GTE,98/08-00/09,純正リアアンダースポイラー可,82700,82200,111000,5000,31029-AT001
トヨタ,マーク2,JZX100,1JZ-GTE,96/09-98/07,純正リアアンダースポイラー可,82700,82200,111000,5000,31029-AT001
トヨタ,マーク2,JZX100,1JZ-GTE,98/08-00/09,純正リアアンダースポイラー可,82700,82200,111000,5000,31029-AT001
日産,シルビア,S15,SR20DET,99/01-02/08,,82700,82200,111000,5000,31029-AN004
日産,スカイライン,ER34,RB25DET,98/05-01/05,4ドア用,82700,82200,111000,5000,31029-AN005
日産,スカイライン,RV37,VR30DDTT,19/09-,400R専用,206600,206100,288000,5000,31029-AN006
日産,スカイラインGT-R,BCNR33,RB26DETT,95/01-98/12,,82700,82200,111000,5000,31029-AN002
日産,スカイラインGT-R,BNR32,RB26DETT,89/08-94/12,,82700,82200,111000,5000,31029-AN001
日産,スカイラインGT-R,BNR34,RB26DETT,99/01-02/08,標準車&Vスペック可,82700,82200,111000,5000,31029-AN003
マツダ,RX-7,FD3S,13B-REW,91/12-02/08,,61000,60500,80000,5000,31029-AZ001
三菱,ランサーエボリューション,CT9A (IX、IX MR),4G63(MIVEC TURBO),05/03-07/09,,82700,82200,111000,5000,31029-AM001
三菱,ランサーエボリューション,CT9A (VIII、VIII MR),4G63(TURBO),03/02-05/02,,82700,82200,111000,5000,31029-AM002
三菱,ランサーエボリューション,CT9A(VII),4G63(TURBO),01/02-03/01,,82700,82200,111000,5000,31029-AM002
三菱,ランサーエボリューション,CZ4A,4B11(TURBO),07/10-,センターパイプセット,114900,114400,157000,5000,31029-AM004
三菱,ランサーエボリューションワゴン,CT9W,4G63(TURBO),05/09-07/09,GT-A取付可,82700,82200,111000,5000,31029-AM002
