自動車メーカー,車種,型式,年式,エンジン型式,適合詳細,タイプ,SET価格,Camp価格,商品ID,物販コード,取付コード,JANコード,メーカー品番,メーカー名,商品名,仕様,備考,注意事項,定価,販売価格
スズキ,アルトターボRS,HA36S,15/03～,R06A,ターボ,Release,27400,,260130,70694-qq-e-183k,70694-qq-e-d-183k,4959094706946,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,23929
スズキ,アルトワークス,HA22S,98/10～,K6A,,Release,27400,,260131,70660-qq-e-184k,70660-qq-e-d-184k,4959094706601,70660,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,23929
スズキ,アルトワークス,HA36S,15/12～,R06A,ターボ,Release,27400,,260132,70694-qq-e-185k,70694-qq-e-d-185k,4959094706946,70694,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,23929
スズキ,エブリイワゴン,DA17V/DA17W,15/02～,R06A,ターボ,Release,29600,,260133,70696-qq-e-186k,70696-qq-e-d-186k,4959094706960,70696,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,26256
スズキ,エブリイワゴン,DA17V/DA17W,15/02～,R06A,ターボ,Return,34100,,260134,70796-qq-e-187k,70796-qq-e-d-187k,4959094707967,70796,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,30727
スズキ,カプチーノ,EA11R/EA21R,91/11～,F6A/K6A,,Release,27400,,260135,70661-qq-e-188k,70661-qq-e-d-188k,4959094706618,70661,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,29800,23929
スズキ,スイフトスポーツ,ZC33S,17/09～,K14C,ターボ,Release,29600,,260136,70678-qq-e-189k,70678-qq-e-d-189k,4959094706786,70678,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,26256
スズキ,スペーシアカスタム,MK53S,17/12～,R06A,ターボ,Release,29600,,260137,70679-qq-e-190k,70679-qq-e-d-190k,4959094706793,70679,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,26256
スズキ,スペーシアカスタム,MK53S,17/12～,R06A,ターボ,Return,34100,,260138,70779-qq-e-191k,70779-qq-e-d-191k,4959094707790,70779,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,30727
スズキ,スペーシアギア,MK53S,18/12～,R06A,ターボ,Release,29600,,260139,70677-qq-e-192k,70677-qq-e-d-192k,4959094706779,70677,BLITZ,SUPER SOUND BLOW OFF VALVE BR,大気開放タイプ<br>アクセルオフ時に逆流した過給圧を大気へ開放するタイプ,,,32800,26256
スズキ,スペーシアギア,MK53S,18/12～,R06A,ターボ,Return,34100,,260140,70777-qq-e-193k,70777-qq-e-d-193k,4959094707776,70777,BLITZ,SUPER SOUND BLOW OFF VALVE BR,サクションリターンタイプ<br>アクセルオフ時に逆流した過給圧をホースを通じて純正同様にサクション側へリターンさせるタイプ<br>車検時も問題なし,,,38800,30727
