車両メーカー,車種,車輌型式,F/R,外径,SET価格
スズキ,スイフト,ZC11S,Fr,23φ,24000
スズキ,スイフトスポーツ,HT81S,Fr,24φ,31400
スズキ,スイフトスポーツ,ZC31S,Fr,23φ,24000
スズキ,スイフトスポーツ,ZC32S,Fr,25φ,47400
スズキ,スペーシア/スペーシアカスタム,MK32S,Fr,24φ,28000
スズキ,ハスラー,MR31S,Fr,24φ,28000
スズキ,ワゴンR（スティングレー）,MH23S,Fr,24φ,28000
スズキ,ワゴンR（スティングレー）,MH34S,Fr,24φ,28000
スバル,BRZ,ZC6,Fr,16φ,20600
スバル,BRZ,ZC6,Fr,20φ,20600
スバル,BRZ,ZC6,Rr,14φ,19000
スバル,BRZ,ZC6,Rr,16φ,19000
スバル,WRX S4,VAG,Fr,26φ,28800
スバル,WRX S4,VAG,Rr,22φ,24800
スバル,WRX STI,VAB,Fr,26φ,23800
スバル,WRX STI,VAB,Rr,22φ,24800
スバル,XV,GP7,Fr,26φ,23800
スバル,XV,GP7,Rr,20φ,24800
スバル,XV HV,GPE,Fr,26φ,23800
スバル,XV HV,GPE,Rr,20φ,19800
スバル,インプレッサ,GC8,Fr,21φ,22400
スバル,インプレッサ,GC8,Fr,22φ,22400
スバル,インプレッサ,GC8,Rr,19φ,22400
スバル,インプレッサ,GC8,Rr,21φ,22400
スバル,インプレッサ,GDA,Fr,21φ,22400
スバル,インプレッサ,GDA,Fr,22φ,22400
スバル,インプレッサ,GDA,Rr,22φ,22400
スバル,インプレッサ,GDB,Fr,21φ,22400
スバル,インプレッサ,GDB,Fr,22φ,22400
スバル,インプレッサ,GDB,Rr,22φ,22400
スバル,インプレッサ,GH7,Rr,20φ,24800
スバル,インプレッサ,GH8,Fr,23φ,24000
スバル,インプレッサ,GH8,Rr,20φ,24800
スバル,インプレッサ,GRB,Fr,23φ,24800
スバル,インプレッサ,GRB,Rr,20φ,24800
スバル,インプレッサ,GVB,Fr,23φ,24800
スバル,インプレッサ,GVB,Rr,20φ,24800
スバル,インプレッサ G4,GJ7,Fr,24φ,23000
スバル,インプレッサ G4,GJ7,Rr,20φ,24800
スバル,インプレッサスポーツ,GP7,Fr,24φ,23000
スバル,インプレッサスポーツ,GP7,Rr,20φ,24800
スバル,インプレッサスポーツワゴン,GF8,Fr,21φ,22400
スバル,インプレッサスポーツワゴン,GF8,Fr,22φ,22400
スバル,インプレッサスポーツワゴン,GGA(A-G),Fr,21φ,22400
スバル,インプレッサスポーツワゴン,GGA(A-G),Fr,22φ,22400
スバル,インプレッサスポーツワゴン,GGA(A-G),Rr,22φ,22400
スバル,エクシーガ,YA5,Fr,23φ,24800
スバル,エクシーガ,YA5,Rr,20φ,24800
スバル,エクシーガ,YA9,Fr,23φ,24000
スバル,デックス,M401F,Fr,27φ,27400
スバル,デックス,M401F,Rr,19φ,25400
スバル,トレジア,NSP120X/NCP120X,Fr,26φ,47400
スバル,フォレスター,SF5,Fr,21φ,22400
スバル,フォレスター,SF5,Fr,22φ,22400
スバル,フォレスター,SF5,Rr,16φ,22400
スバル,フォレスター,SG5/SG9,Fr,23φ,24000
スバル,フォレスター,SG5/SG9,Rr,19φ,22400
スバル,フォレスター,SH5,Fr,23φ,24800
スバル,フォレスター,SH5,Rr,20φ,24800
スバル,フォレスター,SJG,Fr,26φ,28800
スバル,フォレスター,SJG,Rr,20φ,24800
スバル,プレオ,RA1/2,Fr,21φ,23000
スバル,レヴォーグ,VM4,Fr,26φ,28800
スバル,レヴォーグ,VM4,Rr,22φ,19800
スバル,レヴォーグ,VMG,Fr,26φ,28800
スバル,レヴォーグ,VMG,Rr,22φ,19800
スバル,レガシィB4,BE5,Fr,22φ,22400
スバル,レガシィB4,BE5,Rr,18φ,22400
スバル,レガシィB4,BL5,Fr,23φ,24000
スバル,レガシィB4,BL5,Rr,21φ,19400
スバル,レガシィB4,BLE,Fr,23φ,24000
スバル,レガシィB4,BLE,Rr,21φ,19400
スバル,レガシィB4,BM9,Fr,28φ,52400
スバル,レガシィB4,BM9,Rr,20φ,24800
スバル,レガシィB4,BMG,Fr,28φ,52400
スバル,レガシィB4,BMG,Rr,20φ,24800
スバル,レガシィアウトバック,BPE,Fr,23φ,24000
スバル,レガシィアウトバック,BPE,Rr,21φ,19400
スバル,レガシィアウトバック,BRF,Fr,26φ,28800
スバル,レガシィアウトバック,BRF,Rr,20φ,24800
スバル,レガシィツーリングワゴン,BF5,Fr,21φ,22400
スバル,レガシィツーリングワゴン,BF5,Rr,19φ,22400
スバル,レガシィツーリングワゴン,BG5,Fr,21φ,22400
スバル,レガシィツーリングワゴン,BG5,Fr,22φ,22400
スバル,レガシィツーリングワゴン,BG5,Rr,19φ,22400
スバル,レガシィツーリングワゴン,BG5,Rr,21φ,22400
スバル,レガシィツーリングワゴン,BH5,Fr,21φ,22400
スバル,レガシィツーリングワゴン,BH5,Fr,22φ,22400
スバル,レガシィツーリングワゴン,BH5,Rr,18φ,22400
スバル,レガシィツーリングワゴン,BP5,Fr,23φ,24000
スバル,レガシィツーリングワゴン,BP5,Rr,21φ,19400
スバル,レガシィツーリングワゴン,BP9,Fr,23φ,24000
スバル,レガシィツーリングワゴン,BP9,Rr,21φ,19400
スバル,レガシィツーリングワゴン,BPE,Fr,23φ,24000
スバル,レガシィツーリングワゴン,BPE,Rr,21φ,19400
スバル,レガシィツーリングワゴン,BR9,Fr,28φ,52400
スバル,レガシィツーリングワゴン,BR9,Rr,20φ,24800
スバル,レガシィツーリングワゴン,BRG,Fr,28φ,52400
スバル,レガシィツーリングワゴン,BRG,Rr,20φ,24800
ダイハツ,クー,M402S,Fr,27φ,27400
ダイハツ,クー,M402S,Rr,19φ,25400
ダイハツ,コペン ローブ,LA400K,Fr,24φ,28800
ダイハツ,ブーン,M301S,Fr,27φ,27400
ダイハツ,ブーン X4,M312S,Fr,27φ,27400
ダイハツ,ブーン X4,M312S,Rr,18φ,19000
トヨタ,86,ZN6,Fr,16φ,20600
トヨタ,86,ZN6,Fr,20φ,20600
トヨタ,86,ZN6,Rr,14φ,19000
トヨタ,86,ZN6,Rr,16φ,19000
トヨタ,bB,NCP30/31,Fr,28φ,47400
トヨタ,bB,QNC21,Fr,27φ,27400
トヨタ,bB,QNC21,Rr,19φ,25400
トヨタ,FJクルーザー,GSJ15W,Fr,32φ,34400
トヨタ,FJクルーザー,GSJ15W,Rr,22φ,28000
トヨタ,MR-S,ZZW30,Fr,22φ,21000
トヨタ,MR-S,ZZW30,Rr,18φ,21000
トヨタ,アクア,NHP10,Fr,26φ,47400
トヨタ,アリスト,JZS161,Fr,32φ,32000
トヨタ,アリスト,JZS161,Rr,18φ,24000
トヨタ,アルテッツァ,SXE10/GXE10,Fr,30φ,32000
トヨタ,アルテッツァ,SXE10/GXE10,Rr,16φ,22400
トヨタ,アルファード,ANH10W/MNH10W,Fr,30φ,37400
トヨタ,アルファードHV/ヴェルファイアHV,ATH20W,Fr,30φ,44000
トヨタ,アルファードHV/ヴェルファイアHV,AYH30W,Fr,30φ,44000
トヨタ,アルファードHV/ヴェルファイアHV,AYH30W,Rr,24φ,52400
トヨタ,イスト,NCP60/61,Fr,28φ,47400
トヨタ,ウィッシュ,ZGE20W,Rr,22φ,19000
トヨタ,ウィッシュ,ZNE10G/ANE10G,Rr,23φ,19000
トヨタ,ヴィッツ,NSP130/NCP131,Fr,26φ,47400
トヨタ,ヴィッツ,SCP90/NCP91,Fr,26φ,47400
トヨタ,ヴェルファイア,AGH30W,Fr,30φ,44000
トヨタ,ヴェルファイア,AGH30W,Rr,24φ,37400
トヨタ,ヴェルファイア,ANH20W,Fr,30φ,32000
トヨタ,ヴェルファイア,ANH25W,Fr,30φ,32000
トヨタ,ヴェルファイア,GGH20W,Fr,30φ,44000
トヨタ,ヴェルファイア,GGH25W,Fr,30φ,44000
トヨタ,ヴェルファイア,GGH30W,Fr,30φ,44000
トヨタ,ヴェルファイア,GGH30W,Rr,24φ,37400
トヨタ,エスティマ,ACR30W/MCR30W,Fr,30φ,37400
トヨタ,エスティマ,ACR40W/MCR40W,Fr,28φ,52400
トヨタ,エスティマ,ACR50W,Fr,30φ,32000
トヨタ,エスティマ,ACR55W/GSR55W,Fr,30φ,44000
トヨタ,エスティマ,GSR50W,Fr,30φ,44000
トヨタ,エスティマ,TCR10/11/20/21W,Fr,29φ,28000
トヨタ,エスティマ エミーナ/ルシーダ,TCR10G/TCR20G,Fr,30φ,28000
トヨタ,エスティマ エミーナ/ルシーダ,TCR11G/TCR21G,Fr,30φ,28000
トヨタ,エスティマHV,AHR20W,Fr,30φ,32000
トヨタ,カルディナ,ST215G,Fr,25φ,25600
トヨタ,カルディナ,ST215G,Rr,19φ,19000
トヨタ,カローラ・フィールダー,ZZE123G,Rr,23φ,19000
トヨタ,カローラランクス/アレックス,ZZE123,Rr,23φ,19000
トヨタ,カローラルミオン,ZRE152N/NZE151N,Fr,30φ,44000
トヨタ,クラウン,GRS180,Fr,30φ,25400
トヨタ,クラウン,GRS180,Rr,19φ,19000
トヨタ,クラウン,GRS182,Fr,30φ,25400
トヨタ,クラウン,GRS182,Rr,19φ,19000
トヨタ,クラウン,GRS200/204,Fr,30φ,25400
トヨタ,クラウン,GRS200/204,Rr,19φ,19000
トヨタ,クラウン,GRS210,Fr,30φ,25400
トヨタ,クラウン,GRS210,Rr,19φ,19000
トヨタ,クラウン,GRS214,Fr,30φ,25400
トヨタ,クラウン,GRS214,Rr,19φ,19000
トヨタ,クラウンHV,AWS210,Fr,30φ,25400
トヨタ,クラウンHV,AWS210,Rr,19φ,19000
