自動車メーカー,車種,型式,年式,駆動方式,適合詳細,取付位置,SET価格,Camp価格,商品ID,物販コード,取付コード,メーカー名,商品名,入数,ボルトサイズ,調整範囲,備考,注意事項,定価,物販売価,,規格1,パターン数,管理用コード
ALFAROMEO,GTV,916C1,1997/06～2001/08,2WD,,フロント,6800,,248897,01060177012-qq-7,01060177012-qq-d-7,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
ALFAROMEO,MiTo,955,2011/04～,2WD,,フロント,6800,,248843,01060177012-qq-115,01060177012-qq-d-115,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
FIAT,グランデプント,199141/199142,2006/06～2010/06,2WD,,フロント,6800,,248857,01060177012-qq-13,01060177012-qq-d-13,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
HYUNDAI,ジェネシスクーペ,,2010～,2WD,,フロント,6800,,248919,01060177014-qq-201,01060177014-qq-d-201,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
MERCEDESBENZ,Aクラス,W169,2005/02～2010/08,2WD,,フロント,6800,,248923,01060177014-qq-206,01060177014-qq-d-206,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
MERCEDESBENZ,Aクラス,W176 A180/A250,2012/11～,A180:2WD<br>A250:4WD,,フロント,6800,,248962,01060177014-qq-260,01060177014-qq-d-260,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
MERCEDESBENZ,Bクラス,W245/W246,W245:2006/01～2012/03<br>W246:2012/04～,2WD,,フロント,6800,,248931,01060177014-qq-215,01060177014-qq-d-215,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
MERCEDESBENZ,CLAクラス,C117,2013/07～,2WD,,フロント,6800,,248960,01060177014-qq-258,01060177014-qq-d-258,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
MERCEDESBENZ,GLAクラス,X156,2014/05～,4WD,,フロント,6800,,248969,01060177014-qq-270,01060177014-qq-d-270,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
PEUGEOT,308,T7,2008/08～,2WD,,フロント,6800,,248880,01060177012-qq-159,01060177012-qq-d-159,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
PEUGEOT,RCZ,T7R,2010/07～,2WD,,フロント,6800,,248898,01060177012-qq-74,01060177012-qq-d-74,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
VOLKSWAGEN,ルポ,6E/6X,2001/07～2006/04,2WD,,フロント,6800,,248867,01060177012-qq-140,01060177012-qq-d-140,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
VOLVO,S60,RB5244/RB5244T/RB5234/RB5254,2001/01～2009/05,2WD,,フロント,6800,,248933,01060177014-qq-218,01060177014-qq-d-218,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
VOLVO,V40,4B,1997/10～2004/04,2WD,,フロント,6800,,248861,01060177012-qq-133,01060177012-qq-d-133,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
VOLVO,V70,SB5244W/SB5244T/SB5234/SB5254W,2000/04～2008/03,2WD,,フロント,6800,,248968,01060177014-qq-269,01060177014-qq-d-269,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800,,,,
スズキ,SX4,YA11S/YA41S/YB11S/YB41S,,YA11S/YA41S:2WD<br>YB11S/YB41S:4WD,,フロント,6800,,248961,01060177014-qq-259,01060177014-qq-d-259,Largus,キャンバーボルト,2本,14mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,アルト/アルトワークス/アルトターボRS,HA36S,,アルト/アルトターボRS:2WD<br>アルトワークス:2WD/4WD,,フロント,6800,,248901,01060177012-qq-82,01060177012-qq-d-82,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,アルトラパン,HE33S,,2WD,,フロント,6800,,248900,01060177012-qq-79,01060177012-qq-d-79,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,イグニス,FF21S,,2WD,,フロント,6800,,248902,01060177012-qq-86,01060177012-qq-d-86,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,クロスビー,MN71S,2017/12～,2WD,,フロント,6800,,248895,01060177012-qq-4k,01060177012-qq-d-4k,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,スイフト,HT51S/ZC11S/ZC21S/ZC71S/ZC72S/ZC83S/ZD11S/ZD21S,,HT51S/ZC11S/ZC21S/ZC71S/ZC72S/ZC83S:2WD<br>ZD11S/ZD21S:4WD,,フロント,6800,,248877,01060177012-qq-151,01060177012-qq-d-151,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,スイフトスポーツ,HT81S/ZC31S/ZC32S/ZC33S,,2WD,,フロント,6800,,248878,01060177012-qq-153,01060177012-qq-d-153,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,スペーシア,MK42S,,2WD,,フロント,6800,,248882,01060177012-qq-18,01060177012-qq-d-18,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,ソリオ,MA15S/MA26S,,2WD,,フロント,6800,,248887,01060177012-qq-24,01060177012-qq-d-24,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,ハスラー,MR31S/MR41S,,2WD,,フロント,6800,,248899,01060177012-qq-75,01060177012-qq-d-75,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,パレット,MK21S,,2WD,,フロント,6800,,248831,01060177012-qq-101,01060177012-qq-d-101,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,ワゴンR,MH22S/MH23S/MH34S,,2WD,,フロント,6800,,248875,01060177012-qq-149,01060177012-qq-d-149,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スズキ,ワゴンRハイブリッド,MH55S,,2WD,,フロント,6800,,248876,01060177012-qq-15,01060177012-qq-d-15,Largus,キャンバーボルト,2本,12mm,±1.75°,,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スバル,BRZ,ZC6,,2WD,,フロント,6800,,248925,01060177014-qq-208,01060177014-qq-d-208,Largus,キャンバーボルト,2本,14mm,±1.75°,下側のボルトを交換,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スバル,WRX STI,VAB,,4WD,,フロント,6800,,248917,01060177014-qq-197,01060177014-qq-d-197,Largus,キャンバーボルト,2本,14mm,±1.75°,下側のボルトを交換,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
スバル,XV,GP7,,4WD,,フロント,6800,,248918,01060177014-qq-198,01060177014-qq-d-198,Largus,キャンバーボルト,2本,14mm,±1.75°,下側のボルトを交換,【商品+取付+特殊調整セット】は、アライメントを含むメニューと同時購入限定の特別価格となります,3800,3800
